Unnamed: 0,Url link,Room Type,Guests nb,Price,Breakfast,Cancellation
0,https://www.booking.com/hotel/kg/281-hostel.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ApmY67AGwAIB0gIkZjA3ZmYzNmYtM2EwZi00YTA0LTk2YzUtNThhZGQxMzU5MzNi2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=96a3808cddea0299&srepoch=1713032219&all_sr_blocks=916667002_363178499_1_2_0&highlighted_blocks=916667002_363178499_1_2_0&matching_block_id=916667002_363178499_1_2_0&sr_pri_blocks=916667002_363178499_1_2_0__1200&from=searchresults#hotelTmpl,Bed in 6-Bed Female Dormitory Room,1.0,11.0,5.0,1.0
1,https://www.booking.com/hotel/kg/281-hostel.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ApmY67AGwAIB0gIkZjA3ZmYzNmYtM2EwZi00YTA0LTk2YzUtNThhZGQxMzU5MzNi2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=96a3808cddea0299&srepoch=1713032219&all_sr_blocks=916667002_363178499_1_2_0&highlighted_blocks=916667002_363178499_1_2_0&matching_block_id=916667002_363178499_1_2_0&sr_pri_blocks=916667002_363178499_1_2_0__1200&from=searchresults#hotelTmpl,Bed in 8-Bed Dormitory Room,1.0,11.0,5.0,1.0
2,https://www.booking.com/hotel/uz/5woodhotel-amp-spa.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ApaY67AGwAIB0gIkYjAxODZiYWQtNzRlZC00MDczLWE0ZjktNzc4Y2I5OWQ5OGE52AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=3421808b86bb00a2&srepoch=1713032215&all_sr_blocks=1001637402_384416050_1_1_0&highlighted_blocks=1001637402_384416050_1_1_0&matching_block_id=1001637402_384416050_1_1_0&sr_pri_blocks=1001637402_384416050_1_1_0__5482&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Standard Twin Room,1.0,52.0,0.0,1.0
3,https://www.booking.com/hotel/uz/5woodhotel-amp-spa.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ApaY67AGwAIB0gIkYjAxODZiYWQtNzRlZC00MDczLWE0ZjktNzc4Y2I5OWQ5OGE52AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=3421808b86bb00a2&srepoch=1713032215&all_sr_blocks=1001637402_384416050_1_1_0&highlighted_blocks=1001637402_384416050_1_1_0&matching_block_id=1001637402_384416050_1_1_0&sr_pri_blocks=1001637402_384416050_1_1_0__5482&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Standard Twin Room,2.0,53.0,0.0,1.0
4,https://www.booking.com/hotel/uz/5woodhotel-amp-spa.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ApaY67AGwAIB0gIkYjAxODZiYWQtNzRlZC00MDczLWE0ZjktNzc4Y2I5OWQ5OGE52AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=3421808b86bb00a2&srepoch=1713032215&all_sr_blocks=1001637402_384416050_1_1_0&highlighted_blocks=1001637402_384416050_1_1_0&matching_block_id=1001637402_384416050_1_1_0&sr_pri_blocks=1001637402_384416050_1_1_0__5482&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Standard Twin Room,1.0,61.0,0.0,1.0
5,https://www.booking.com/hotel/uz/5woodhotel-amp-spa.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ApaY67AGwAIB0gIkYjAxODZiYWQtNzRlZC00MDczLWE0ZjktNzc4Y2I5OWQ5OGE52AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=3421808b86bb00a2&srepoch=1713032215&all_sr_blocks=1001637402_384416050_1_1_0&highlighted_blocks=1001637402_384416050_1_1_0&matching_block_id=1001637402_384416050_1_1_0&sr_pri_blocks=1001637402_384416050_1_1_0__5482&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Standard Twin Room,2.0,63.0,0.0,1.0
6,https://www.booking.com/hotel/uz/5woodhotel-amp-spa.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ApaY67AGwAIB0gIkYjAxODZiYWQtNzRlZC00MDczLWE0ZjktNzc4Y2I5OWQ5OGE52AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=3421808b86bb00a2&srepoch=1713032215&all_sr_blocks=1001637402_384416050_1_1_0&highlighted_blocks=1001637402_384416050_1_1_0&matching_block_id=1001637402_384416050_1_1_0&sr_pri_blocks=1001637402_384416050_1_1_0__5482&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Standard Double Room,1.0,66.0,0.0,1.0
7,https://www.booking.com/hotel/uz/5woodhotel-amp-spa.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ApaY67AGwAIB0gIkYjAxODZiYWQtNzRlZC00MDczLWE0ZjktNzc4Y2I5OWQ5OGE52AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=3421808b86bb00a2&srepoch=1713032215&all_sr_blocks=1001637402_384416050_1_1_0&highlighted_blocks=1001637402_384416050_1_1_0&matching_block_id=1001637402_384416050_1_1_0&sr_pri_blocks=1001637402_384416050_1_1_0__5482&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Standard Double Room,2.0,56.0,0.0,0.0
8,https://www.booking.com/hotel/uz/5woodhotel-amp-spa.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ApaY67AGwAIB0gIkYjAxODZiYWQtNzRlZC00MDczLWE0ZjktNzc4Y2I5OWQ5OGE52AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=3421808b86bb00a2&srepoch=1713032215&all_sr_blocks=1001637402_384416050_1_1_0&highlighted_blocks=1001637402_384416050_1_1_0&matching_block_id=1001637402_384416050_1_1_0&sr_pri_blocks=1001637402_384416050_1_1_0__5482&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Standard Double Room,2.0,69.0,0.0,1.0
9,https://www.booking.com/hotel/uz/5woodhotel-amp-spa.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ApaY67AGwAIB0gIkYjAxODZiYWQtNzRlZC00MDczLWE0ZjktNzc4Y2I5OWQ5OGE52AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=3421808b86bb00a2&srepoch=1713032215&all_sr_blocks=1001637402_384416050_1_1_0&highlighted_blocks=1001637402_384416050_1_1_0&matching_block_id=1001637402_384416050_1_1_0&sr_pri_blocks=1001637402_384416050_1_1_0__5482&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Standard Double Room,1.0,60.0,0.0,1.0
