Unnamed: 0,Url link,Room Type,Guests nb,Price,Breakfast,Cancellation
0,https://www.booking.com/hotel/zw/12-fleetwood.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AumU67AGwAIB0gIkYTQ1NjQxMWUtMTc0Zi00ZTgyLWFkYjMtOWYxNzNlYzFkZGZl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=c2557fb43fb70145&srepoch=1713031787&all_sr_blocks=178566909_265081662_0_41_0&highlighted_blocks=178566909_265081662_0_41_0&matching_block_id=178566909_265081662_0_41_0&sr_pri_blocks=178566909_265081662_0_41_0__13855&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Junior Suite with Balcony,2.0,130.0,0.0,1.0
1,https://www.booking.com/hotel/zw/12-fleetwood.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AumU67AGwAIB0gIkYTQ1NjQxMWUtMTc0Zi00ZTgyLWFkYjMtOWYxNzNlYzFkZGZl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=c2557fb43fb70145&srepoch=1713031787&all_sr_blocks=178566909_265081662_0_41_0&highlighted_blocks=178566909_265081662_0_41_0&matching_block_id=178566909_265081662_0_41_0&sr_pri_blocks=178566909_265081662_0_41_0__13855&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Double or Twin Room with Balcony,1.0,130.0,0.0,1.0
2,https://www.booking.com/hotel/zw/12-fleetwood.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AumU67AGwAIB0gIkYTQ1NjQxMWUtMTc0Zi00ZTgyLWFkYjMtOWYxNzNlYzFkZGZl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=c2557fb43fb70145&srepoch=1713031787&all_sr_blocks=178566909_265081662_0_41_0&highlighted_blocks=178566909_265081662_0_41_0&matching_block_id=178566909_265081662_0_41_0&sr_pri_blocks=178566909_265081662_0_41_0__13855&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Double or Twin Room with Balcony,2.0,130.0,9.0,0.0
3,https://www.booking.com/hotel/zw/12-fleetwood.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AumU67AGwAIB0gIkYTQ1NjQxMWUtMTc0Zi00ZTgyLWFkYjMtOWYxNzNlYzFkZGZl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=c2557fb43fb70145&srepoch=1713031787&all_sr_blocks=178566909_265081662_0_41_0&highlighted_blocks=178566909_265081662_0_41_0&matching_block_id=178566909_265081662_0_41_0&sr_pri_blocks=178566909_265081662_0_41_0__13855&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Double or Twin Room with Balcony,2.0,138.0,9.0,1.0
4,https://www.booking.com/hotel/zw/12-fleetwood.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AumU67AGwAIB0gIkYTQ1NjQxMWUtMTc0Zi00ZTgyLWFkYjMtOWYxNzNlYzFkZGZl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=c2557fb43fb70145&srepoch=1713031787&all_sr_blocks=178566909_265081662_0_41_0&highlighted_blocks=178566909_265081662_0_41_0&matching_block_id=178566909_265081662_0_41_0&sr_pri_blocks=178566909_265081662_0_41_0__13855&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Double or Twin Room with Balcony,2.0,163.0,0.0,1.0
5,https://www.booking.com/hotel/zw/12-fleetwood.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AumU67AGwAIB0gIkYTQ1NjQxMWUtMTc0Zi00ZTgyLWFkYjMtOWYxNzNlYzFkZGZl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=c2557fb43fb70145&srepoch=1713031787&all_sr_blocks=178566909_265081662_0_41_0&highlighted_blocks=178566909_265081662_0_41_0&matching_block_id=178566909_265081662_0_41_0&sr_pri_blocks=178566909_265081662_0_41_0__13855&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Family Room - Disability Access,1.0,141.0,0.0,1.0
6,https://www.booking.com/hotel/zw/12-fleetwood.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AumU67AGwAIB0gIkYTQ1NjQxMWUtMTc0Zi00ZTgyLWFkYjMtOWYxNzNlYzFkZGZl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=c2557fb43fb70145&srepoch=1713031787&all_sr_blocks=178566909_265081662_0_41_0&highlighted_blocks=178566909_265081662_0_41_0&matching_block_id=178566909_265081662_0_41_0&sr_pri_blocks=178566909_265081662_0_41_0__13855&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Family Room - Disability Access,2.0,163.0,0.0,1.0
7,https://www.booking.com/hotel/zw/12-fleetwood.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AumU67AGwAIB0gIkYTQ1NjQxMWUtMTc0Zi00ZTgyLWFkYjMtOWYxNzNlYzFkZGZl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=c2557fb43fb70145&srepoch=1713031787&all_sr_blocks=178566909_265081662_0_41_0&highlighted_blocks=178566909_265081662_0_41_0&matching_block_id=178566909_265081662_0_41_0&sr_pri_blocks=178566909_265081662_0_41_0__13855&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Deluxe Double or Twin Room with Balcony,2.0,174.0,0.0,1.0
8,https://www.booking.com/hotel/zw/amanzi-lodge.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AumU67AGwAIB0gIkYTQ1NjQxMWUtMTc0Zi00ZTgyLWFkYjMtOWYxNzNlYzFkZGZl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=c2557fb43fb70145&srepoch=1713031787&all_sr_blocks=178647905_363141926_1_1_0&highlighted_blocks=178647905_363141926_1_1_0&matching_block_id=178647905_363141926_1_1_0&sr_pri_blocks=178647905_363141926_1_1_0__21035&from=searchresults#hotelTmpl,Standard Double Room,1.0,198.0,0.0,1.0
9,https://www.booking.com/hotel/zw/amanzi-lodge.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AumU67AGwAIB0gIkYTQ1NjQxMWUtMTc0Zi00ZTgyLWFkYjMtOWYxNzNlYzFkZGZl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=c2557fb43fb70145&srepoch=1713031787&all_sr_blocks=178647905_363141926_1_1_0&highlighted_blocks=178647905_363141926_1_1_0&matching_block_id=178647905_363141926_1_1_0&sr_pri_blocks=178647905_363141926_1_1_0__21035&from=searchresults#hotelTmpl,Standard Double Room,2.0,241.0,0.0,1.0
