Unnamed: 0,Url link,Room Type,Guests nb,Price,Breakfast,Cancellation
0,https://www.booking.com/hotel/au/a-by-adina-sydney.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4At_f67AGwAIB0gIkMGQyZTc4MGQtMjM3YS00OTNjLTg2ZjQtNTU3Y2Y3NmIxODcx2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=b3c9926f59930142&srepoch=1713041377&all_sr_blocks=641445202_384740304_2_2_0&highlighted_blocks=641445202_384740304_2_2_0&matching_block_id=641445202_384740304_2_2_0&sr_pri_blocks=641445202_384740304_2_2_0__51900&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Studio King,2.0,316.0,18.0,1.0
1,https://www.booking.com/hotel/au/a-by-adina-sydney.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4At_f67AGwAIB0gIkMGQyZTc4MGQtMjM3YS00OTNjLTg2ZjQtNTU3Y2Y3NmIxODcx2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=b3c9926f59930142&srepoch=1713041377&all_sr_blocks=641445202_384740304_2_2_0&highlighted_blocks=641445202_384740304_2_2_0&matching_block_id=641445202_384740304_2_2_0&sr_pri_blocks=641445202_384740304_2_2_0__51900&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Studio King,2.0,316.0,18.0,1.0
2,https://www.booking.com/hotel/au/a-by-adina-sydney.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4At_f67AGwAIB0gIkMGQyZTc4MGQtMjM3YS00OTNjLTg2ZjQtNTU3Y2Y3NmIxODcx2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=b3c9926f59930142&srepoch=1713041377&all_sr_blocks=641445202_384740304_2_2_0&highlighted_blocks=641445202_384740304_2_2_0&matching_block_id=641445202_384740304_2_2_0&sr_pri_blocks=641445202_384740304_2_2_0__51900&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"One Bedroom Apartment with Destination A Package - incl. A la carte breakfast, grazing box, $25 mini bar credit",1.0,428.0,18.0,1.0
3,https://www.booking.com/hotel/au/a-by-adina-sydney.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4At_f67AGwAIB0gIkMGQyZTc4MGQtMjM3YS00OTNjLTg2ZjQtNTU3Y2Y3NmIxODcx2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=b3c9926f59930142&srepoch=1713041377&all_sr_blocks=641445202_384740304_2_2_0&highlighted_blocks=641445202_384740304_2_2_0&matching_block_id=641445202_384740304_2_2_0&sr_pri_blocks=641445202_384740304_2_2_0__51900&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"One Bedroom Apartment with Destination A Package - incl. A la carte breakfast, grazing box, $25 mini bar credit",2.0,447.0,18.0,1.0
4,https://www.booking.com/hotel/au/a-by-adina-sydney.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4At_f67AGwAIB0gIkMGQyZTc4MGQtMjM3YS00OTNjLTg2ZjQtNTU3Y2Y3NmIxODcx2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=b3c9926f59930142&srepoch=1713041377&all_sr_blocks=641445202_384740304_2_2_0&highlighted_blocks=641445202_384740304_2_2_0&matching_block_id=641445202_384740304_2_2_0&sr_pri_blocks=641445202_384740304_2_2_0__51900&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Twin Studio,2.0,316.0,18.0,1.0
5,https://www.booking.com/hotel/au/a-by-adina-sydney.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4At_f67AGwAIB0gIkMGQyZTc4MGQtMjM3YS00OTNjLTg2ZjQtNTU3Y2Y3NmIxODcx2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=b3c9926f59930142&srepoch=1713041377&all_sr_blocks=641445202_384740304_2_2_0&highlighted_blocks=641445202_384740304_2_2_0&matching_block_id=641445202_384740304_2_2_0&sr_pri_blocks=641445202_384740304_2_2_0__51900&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Executive Studio,2.0,322.0,18.0,1.0
6,https://www.booking.com/hotel/au/a-by-adina-sydney.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4At_f67AGwAIB0gIkMGQyZTc4MGQtMjM3YS00OTNjLTg2ZjQtNTU3Y2Y3NmIxODcx2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=b3c9926f59930142&srepoch=1713041377&all_sr_blocks=641445202_384740304_2_2_0&highlighted_blocks=641445202_384740304_2_2_0&matching_block_id=641445202_384740304_2_2_0&sr_pri_blocks=641445202_384740304_2_2_0__51900&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,One-Bedroom Apartment,2.0,340.0,18.0,1.0
7,https://www.booking.com/hotel/au/a-by-adina-sydney.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4At_f67AGwAIB0gIkMGQyZTc4MGQtMjM3YS00OTNjLTg2ZjQtNTU3Y2Y3NmIxODcx2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=b3c9926f59930142&srepoch=1713041377&all_sr_blocks=641445202_384740304_2_2_0&highlighted_blocks=641445202_384740304_2_2_0&matching_block_id=641445202_384740304_2_2_0&sr_pri_blocks=641445202_384740304_2_2_0__51900&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,One-Bedroom Apartment with Balcony,2.0,352.0,18.0,1.0
8,https://www.booking.com/hotel/nz/camelot-arms-motor-lodge.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AuLf67AGwAIB0gIkMjIzOWUwZDAtOTdlNi00ZjdhLWEwOTAtZDM4NjgwY2Y5Nzhi2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=26&hapos=26&sr_order=popularity&srpvid=20549271dbe9023a&srepoch=1713041380&all_sr_blocks=23587605_232590202_0_0_0&highlighted_blocks=23587605_232590202_0_0_0&matching_block_id=23587605_232590202_0_0_0&sr_pri_blocks=23587605_232590202_0_0_0__17300&from=searchresults#hotelTmpl,Executive Studio,2.0,97.0,1.0,1.0
9,https://www.booking.com/hotel/nz/camelot-arms-motor-lodge.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AuLf67AGwAIB0gIkMjIzOWUwZDAtOTdlNi00ZjdhLWEwOTAtZDM4NjgwY2Y5Nzhi2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=26&hapos=26&sr_order=popularity&srpvid=20549271dbe9023a&srepoch=1713041380&all_sr_blocks=23587605_232590202_0_0_0&highlighted_blocks=23587605_232590202_0_0_0&matching_block_id=23587605_232590202_0_0_0&sr_pri_blocks=23587605_232590202_0_0_0__17300&from=searchresults#hotelTmpl,Executive Deluxe Studio,2.0,103.0,3.0,1.0
