Unnamed: 0,Url link,Room Type,Guests nb,Price,Breakfast,Cancellation
0,https://www.booking.com/hotel/sn/casino-du-cap-vert.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AtDV67AGwAIB0gIkOTQyNDYwY2QtZmZiNS00ZTQ4LWFjZTktMGFiNTNiZmY2Y2Mw2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=2a3d8fe8e9fb002f&srepoch=1713040082&all_sr_blocks=57980802_277599406_2_2_0&highlighted_blocks=57980802_277599406_2_2_0&matching_block_id=57980802_277599406_2_2_0&sr_pri_blocks=57980802_277599406_2_2_0__8000000&from=searchresults#hotelTmpl,Superior Double Room,2.0,122.0,10.0,1.0
1,https://www.booking.com/hotel/sn/casino-du-cap-vert.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AtDV67AGwAIB0gIkOTQyNDYwY2QtZmZiNS00ZTQ4LWFjZTktMGFiNTNiZmY2Y2Mw2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=2a3d8fe8e9fb002f&srepoch=1713040082&all_sr_blocks=57980802_277599406_2_2_0&highlighted_blocks=57980802_277599406_2_2_0&matching_block_id=57980802_277599406_2_2_0&sr_pri_blocks=57980802_277599406_2_2_0__8000000&from=searchresults#hotelTmpl,Twin Room with Pool View,2.0,122.0,10.0,1.0
2,https://www.booking.com/hotel/sn/casino-du-cap-vert.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AtDV67AGwAIB0gIkOTQyNDYwY2QtZmZiNS00ZTQ4LWFjZTktMGFiNTNiZmY2Y2Mw2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=2a3d8fe8e9fb002f&srepoch=1713040082&all_sr_blocks=57980802_277599406_2_2_0&highlighted_blocks=57980802_277599406_2_2_0&matching_block_id=57980802_277599406_2_2_0&sr_pri_blocks=57980802_277599406_2_2_0__8000000&from=searchresults#hotelTmpl,Suite (2 Adults),2.0,152.0,10.0,1.0
3,https://www.booking.com/hotel/sn/appartement-luxueux-dakar2.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AtDV67AGwAIB0gIkOTQyNDYwY2QtZmZiNS00ZTQ4LWFjZTktMGFiNTNiZmY2Y2Mw2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=2a3d8fe8e9fb002f&srepoch=1713040082&all_sr_blocks=968534701_372854694_2_0_0&highlighted_blocks=968534701_372854694_2_0_0&matching_block_id=968534701_372854694_2_0_0&sr_pri_blocks=968534701_372854694_2_0_0__3300000&from=searchresults#hotelTmpl,Three-Bedroom Apartment,2.0,50.0,-1.0,1.0
4,https://www.booking.com/hotel/sn/appartement-luxueux-dakar2.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AtDV67AGwAIB0gIkOTQyNDYwY2QtZmZiNS00ZTQ4LWFjZTktMGFiNTNiZmY2Y2Mw2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=2a3d8fe8e9fb002f&srepoch=1713040082&all_sr_blocks=968534701_372854694_2_0_0&highlighted_blocks=968534701_372854694_2_0_0&matching_block_id=968534701_372854694_2_0_0&sr_pri_blocks=968534701_372854694_2_0_0__3300000&from=searchresults#hotelTmpl,Three-Bedroom Apartment,3.0,53.0,-1.0,1.0
5,https://www.booking.com/hotel/sn/appartement-luxueux-dakar2.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AtDV67AGwAIB0gIkOTQyNDYwY2QtZmZiNS00ZTQ4LWFjZTktMGFiNTNiZmY2Y2Mw2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=2a3d8fe8e9fb002f&srepoch=1713040082&all_sr_blocks=968534701_372854694_2_0_0&highlighted_blocks=968534701_372854694_2_0_0&matching_block_id=968534701_372854694_2_0_0&sr_pri_blocks=968534701_372854694_2_0_0__3300000&from=searchresults#hotelTmpl,Three-Bedroom Apartment,6.0,56.0,-1.0,1.0
6,https://www.booking.com/hotel/sn/appartement-luxueux-dakar2.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AtDV67AGwAIB0gIkOTQyNDYwY2QtZmZiNS00ZTQ4LWFjZTktMGFiNTNiZmY2Y2Mw2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=2a3d8fe8e9fb002f&srepoch=1713040082&all_sr_blocks=968534701_372854694_2_0_0&highlighted_blocks=968534701_372854694_2_0_0&matching_block_id=968534701_372854694_2_0_0&sr_pri_blocks=968534701_372854694_2_0_0__3300000&from=searchresults#hotelTmpl,Three-Bedroom Apartment,7.0,63.0,-1.0,1.0
7,https://www.booking.com/hotel/pt/atalaia-sol.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AtbV67AGwAIB0gIkMzk5ZjFlMTktMGYzMy00M2QzLTk1OWItNjM1NjNlZTI2OTZh2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=61e28febb05b0332&srepoch=1713040087&all_sr_blocks=4072919_345857425_2_2_0&highlighted_blocks=4072919_345857425_2_2_0&matching_block_id=4072919_345857425_2_2_0&sr_pri_blocks=4072919_345857425_2_2_0__7800&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Studio with Garden View,2.0,78.0,11.0,0.0
8,https://www.booking.com/hotel/pt/atalaia-sol.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AtbV67AGwAIB0gIkMzk5ZjFlMTktMGYzMy00M2QzLTk1OWItNjM1NjNlZTI2OTZh2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=61e28febb05b0332&srepoch=1713040087&all_sr_blocks=4072919_345857425_2_2_0&highlighted_blocks=4072919_345857425_2_2_0&matching_block_id=4072919_345857425_2_2_0&sr_pri_blocks=4072919_345857425_2_2_0__7800&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Studio with Garden View,2.0,100.0,0.0,0.0
9,https://www.booking.com/hotel/pt/atalaia-sol.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AtbV67AGwAIB0gIkMzk5ZjFlMTktMGYzMy00M2QzLTk1OWItNjM1NjNlZTI2OTZh2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=61e28febb05b0332&srepoch=1713040087&all_sr_blocks=4072919_345857425_2_2_0&highlighted_blocks=4072919_345857425_2_2_0&matching_block_id=4072919_345857425_2_2_0&sr_pri_blocks=4072919_345857425_2_2_0__7800&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Studio with Garden View,2.0,107.0,0.0,1.0
