Continent,Region,Execution time (minutes)
Africa,Eastern Africa,8.12687265475591
Africa,Northern Africa,18.17539775768916
Africa,Southern Africa,12.131858634948731
Africa,Western Africa,3.176997228463491
America,Caribbean,6.418102598190307
America,Central America,12.096546065807342
America,Northern America,146.7419320265452
America,South America,23.509482856591543
Asia,Central Asia,6.822071818510691
Asia,Eastern Asia,38.15446639855703
Asia,South-Eastern Asia,19.76101052761078
Asia,Southern Asia,33.71654280026754
Asia,Western Asia,19.43965561389923
Europe,Eastern Europe,43.80957576433818
Europe,Northern Europe,64.97572289705276
Europe,Southern Europe,83.39732777674993
Europe,Western Europe,61.9157350619634
Oceania,Oceania,10.59983252286911
