city,city_ascii,City_lat,City_lng,Capital_Type,City_Population
Tokyo,Tokyo,35.6897,139.6922,primary,37732000.0
Jakarta,Jakarta,-6.175,106.8275,primary,33756000.0
Delhi,Delhi,28.61,77.23,admin,32226000.0
Guangzhou,Guangzhou,23.13,113.26,admin,26940000.0
Mumbai,Mumbai,19.0761,72.8775,admin,24973000.0
Manila,Manila,14.5958,120.9772,primary,24922000.0
Shanghai,Shanghai,31.2286,121.4747,admin,24073000.0
São Paulo,Sao Paulo,-23.55,-46.6333,admin,23086000.0
Seoul,Seoul,37.56,126.99,primary,23016000.0
Mexico City,Mexico City,19.4333,-99.1333,primary,21804000.0
Cairo,Cairo,30.0444,31.2358,primary,20296000.0
New York,New York,40.6943,-73.9249,Not a Capital,18908608.0
Dhaka,Dhaka,23.7639,90.3889,primary,18627000.0
Beijing,Beijing,39.9067,116.3975,primary,18522000.0
Kolkāta,Kolkata,22.5675,88.37,admin,18502000.0
Bangkok,Bangkok,13.7525,100.4942,primary,18007000.0
Shenzhen,Shenzhen,22.5415,114.0596,minor,17619000.0
Moscow,Moscow,55.7558,37.6172,primary,17332000.0
Buenos Aires,Buenos Aires,-34.6033,-58.3817,primary,16710000.0
Lagos,Lagos,6.455,3.3841,minor,16637000.0
Istanbul,Istanbul,41.0136,28.955,admin,16079000.0
Karachi,Karachi,24.86,67.01,admin,15738000.0
Bangalore,Bangalore,12.9789,77.5917,admin,15386000.0
Ho Chi Minh City,Ho Chi Minh City,10.7756,106.7019,admin,15136000.0
Ōsaka,Osaka,34.6939,135.5022,admin,15126000.0
Chengdu,Chengdu,30.66,104.0633,admin,14645000.0
Tehran,Tehran,35.6892,51.3889,primary,14148000.0
Kinshasa,Kinshasa,-4.3219,15.3119,primary,12836000.0
Rio de Janeiro,Rio de Janeiro,-22.9111,-43.2056,admin,12592000.0
Chennai,Chennai,13.0825,80.275,admin,12395000.0
Xi’an,Xi'an,34.2611,108.9422,admin,12328000.0
Lahore,Lahore,31.5497,74.3436,admin,12306000.0
Chongqing,Chongqing,29.5637,106.5504,admin,12135000.0
Los Angeles,Los Angeles,34.1141,-118.4068,Not a Capital,11922389.0
Baoding,Baoding,38.874,115.464,minor,11544036.0
London,London,51.5072,-0.1275,primary,11262000.0
Paris,Paris,48.8567,2.3522,primary,11060000.0
Linyi,Linyi,35.1038,118.3564,Not a Capital,11018365.0
Dongguan,Dongguan,23.021,113.752,minor,10646000.0
Hyderābād,Hyderabad,17.3617,78.4747,admin,10494000.0
Tianjin,Tianjin,39.1336,117.2054,admin,10368000.0
Lima,Lima,-12.06,-77.0375,primary,10320000.0
Wuhan,Wuhan,30.5934,114.3046,admin,10251000.0
Nanyang,Nanyang,32.9987,112.5292,Not a Capital,9713112.0
Hangzhou,Hangzhou,30.267,120.153,admin,9523000.0
Foshan,Foshan,23.0214,113.1216,minor,9498863.0
Nagoya,Nagoya,35.1833,136.9,admin,9197000.0
Tongshan,Tongshan,34.204,117.284,minor,9083790.0
Luanda,Luanda,-8.8383,13.2344,primary,9051000.0
Zhoukou,Zhoukou,33.625,114.6418,minor,9026015.0
Ganzhou,Ganzhou,25.831,114.933,minor,8970014.0
Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,primary,8911000.0
Heze,Heze,35.2343,115.4796,minor,8795939.0
Quanzhou,Quanzhou,24.8744,118.6757,minor,8782285.0
Johannesburg,Johannesburg,-26.2044,28.0456,admin,8500000.0
Chicago,Chicago,41.8375,-87.6866,Not a Capital,8497759.0
Nanjing,Nanjing,32.0608,118.7789,admin,8422000.0
Jining,Jining,35.4151,116.5871,Not a Capital,8357897.0
Hanoi,Hanoi,21.0,105.85,primary,8246600.0
Pune,Pune,18.5203,73.8567,Not a Capital,8231000.0
Fuyang,Fuyang,32.89,115.814,Not a Capital,8200264.0
Ahmedabad,Ahmedabad,23.0225,72.5714,minor,8009000.0
Bogotá,Bogota,4.7111,-74.0722,primary,7968095.0
