Unnamed: 0,Name,City,Country,Region,Continent,Location,Rating,Score,NbReviews,Distance from center,Stars,Url link,Staff_rating,Facilities_rating,Cleanliness_rating,Comfort_rating,Value_for_money_rating,Location_rating
0,12 FLEETWOOD,Harare,Zimbabwe,Eastern Africa,Africa,Harare,Good,7.8,133.0,4.3,3,https://www.booking.com/hotel/zw/12-fleetwood.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AumU67AGwAIB0gIkYTQ1NjQxMWUtMTc0Zi00ZTgyLWFkYjMtOWYxNzNlYzFkZGZl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=c2557fb43fb70145&srepoch=1713031787&all_sr_blocks=178566909_265081662_0_41_0&highlighted_blocks=178566909_265081662_0_41_0&matching_block_id=178566909_265081662_0_41_0&sr_pri_blocks=178566909_265081662_0_41_0__13855&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.0,8.1,8.5,8.2,8.0,8.8
1,Amanzi Lodge,Harare,Zimbabwe,Eastern Africa,Africa,Harare,Excellent,8.8,57.0,11.8,0,https://www.booking.com/hotel/zw/amanzi-lodge.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AumU67AGwAIB0gIkYTQ1NjQxMWUtMTc0Zi00ZTgyLWFkYjMtOWYxNzNlYzFkZGZl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=c2557fb43fb70145&srepoch=1713031787&all_sr_blocks=178647905_363141926_1_1_0&highlighted_blocks=178647905_363141926_1_1_0&matching_block_id=178647905_363141926_1_1_0&sr_pri_blocks=178647905_363141926_1_1_0__21035&from=searchresults#hotelTmpl,9.4,9.1,9.2,9.2,8.7,8.7
2,Argyle Grand Hotel Nairobi Airport,Nairobi,Kenya,Eastern Africa,Africa,Nairobi,Excellent,8.7,144.0,11.6,5,https://www.booking.com/hotel/ke/argyle-grand-nairobi-airport.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AvGU67AGwAIB0gIkNjhlNmE3YzUtYThiYy00ZmMyLWEzY2YtZWVkNmEyMWM3N2M52AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=52687fb81bf401b3&srepoch=1713031796&all_sr_blocks=1113971701_384322324_1_42_0&highlighted_blocks=1113971701_384322324_1_42_0&matching_block_id=1113971701_384322324_1_42_0&sr_pri_blocks=1113971701_384322324_1_42_0__16245&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.2,9.1,9.5,9.4,8.5,9.1
3,Aura Suites,Dar es Salaam,Tanzania,Eastern Africa,Africa,"Upanga East, Dar es Salaam",Wonderful,9.0,396.0,0.3,4,https://www.booking.com/hotel/tz/aura-suites-dar-es-salaam1.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AuyU67AGwAIB0gIkZDU2ZmM5YWEtZmQyYi00MTc1LTgxMzktM2FiODRlY2Y4ZTJi2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=c80d7fb6ad7d01b5&srepoch=1713031790&all_sr_blocks=822800001_346547112_0_2_0&highlighted_blocks=822800001_346547112_0_2_0&matching_block_id=822800001_346547112_0_2_0&sr_pri_blocks=822800001_346547112_0_2_0__13500&from=searchresults#hotelTmpl,9.2,9.2,9.4,9.5,9.0,9.2
4,Best Western Plus Addis Ababa,Addis Ababa,Ethiopia,Eastern Africa,Africa,"Bole, Addis Ababa",Very Good,8.0,363.0,3.9,4,https://www.booking.com/hotel/et/bestwestern-plus-bole.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Au-U67AGwAIB0gIkZjdjMzEwMDctYWIwYy00MzhmLWIxNzItOTUwNGY0ZDAwYjJl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=350c7fb7a3f400a2&srepoch=1713031793&all_sr_blocks=258676418_346754840_1_0_0&highlighted_blocks=258676418_346754840_1_0_0&matching_block_id=258676418_346754840_1_0_0&sr_pri_blocks=258676418_346754840_1_0_0__9800&from=searchresults#hotelTmpl,8.9,8.1,8.3,8.4,7.8,8.8
5,Best Western Plus Pearl Addis,Addis Ababa,Ethiopia,Eastern Africa,Africa,"Bole, Addis Ababa",Very Good,8.0,1073.0,3.7,4,https://www.booking.com/hotel/et/best-western-plus-pearl-addis.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Au-U67AGwAIB0gIkZjdjMzEwMDctYWIwYy00MzhmLWIxNzItOTUwNGY0ZDAwYjJl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=350c7fb7a3f400a2&srepoch=1713031793&all_sr_blocks=620346002_241934931_2_41_0&highlighted_blocks=620346002_241934931_2_41_0&matching_block_id=620346002_241934931_2_41_0&sr_pri_blocks=620346002_241934931_2_41_0__8800&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.0,8.0,8.5,8.4,8.3,8.7
6,CBD Hotel,Dar es Salaam,Tanzania,Eastern Africa,Africa,"Mchafukoge, Dar es Salaam",Good,7.9,664.0,1.3,4,https://www.booking.com/hotel/tz/best-western-plus-colosseum.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AuyU67AGwAIB0gIkZDU2ZmM5YWEtZmQyYi00MTc1LTgxMzktM2FiODRlY2Y4ZTJi2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=c80d7fb6ad7d01b5&srepoch=1713031790&all_sr_blocks=117586501_89107357_1_41_0&highlighted_blocks=117586501_89107357_1_41_0&matching_block_id=117586501_89107357_1_41_0&sr_pri_blocks=117586501_89107357_1_41_0__9350&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.9,8.2,8.4,8.4,7.900000000000001,8.0
7,Capital Hotel and Spa,Addis Ababa,Ethiopia,Eastern Africa,Africa,"Yeka, Addis Ababa",Very Good,8.1,204.0,2.5,5,https://www.booking.com/hotel/et/capital-and-spa.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Au-U67AGwAIB0gIkZjdjMzEwMDctYWIwYy00MzhmLWIxNzItOTUwNGY0ZDAwYjJl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=350c7fb7a3f400a2&srepoch=1713031793&all_sr_blocks=118832401_90110715_1_0_0&highlighted_blocks=118832401_90110715_1_0_0&matching_block_id=118832401_90110715_1_0_0&sr_pri_blocks=118832401_90110715_1_0_0__9350&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.0,8.1,8.6,8.5,8.1,8.3
8,Check Inn Hotel Addis Ababa,Addis Ababa,Ethiopia,Eastern Africa,Africa,"Bole, Addis Ababa",Excellent,8.6,269.0,2.5,4,https://www.booking.com/hotel/et/checkinn-addis-ababa.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Au-U67AGwAIB0gIkZjdjMzEwMDctYWIwYy00MzhmLWIxNzItOTUwNGY0ZDAwYjJl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=350c7fb7a3f400a2&srepoch=1713031793&all_sr_blocks=725391001_352847258_0_41_0&highlighted_blocks=725391001_352847258_0_41_0&matching_block_id=725391001_352847258_0_41_0&sr_pri_blocks=725391001_352847258_0_41_0__6210&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.1,8.8,9.1,9.0,8.9,7.6
9,Colosseum Boutique Hotel & Spa,Dar es Salaam,Tanzania,Eastern Africa,Africa,"Oyster Bay, Dar es Salaam",Good,7.6,530.0,4.6,4,https://www.booking.com/hotel/tz/colosseum-boutique-hotel-and-spa.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AuyU67AGwAIB0gIkZDU2ZmM5YWEtZmQyYi00MTc1LTgxMzktM2FiODRlY2Y4ZTJi2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=c80d7fb6ad7d01b5&srepoch=1713031790&all_sr_blocks=43060901_122833109_1_1_0&highlighted_blocks=43060901_122833109_1_1_0&matching_block_id=43060901_122833109_1_1_0&sr_pri_blocks=43060901_122833109_1_1_0__8550&from=searchresults#hotelTmpl,8.6,7.8,8.1,8.1,7.8,8.6
