Unnamed: 0,Name,City,Country,Region,Continent,Location,Rating,Score,NbReviews,Distance from center,Stars,Url link,Staff_rating,Facilities_rating,Cleanliness_rating,Comfort_rating,Value_for_money_rating,Location_rating
0,AFRIC HOTEL- Casbah,Algiers,Algeria,Northern Africa,Africa,Alger,Very Good,8.1,769.0,2.1,0,https://www.booking.com/hotel/dz/afric.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AoOV67AGwAIB0gIkMzQxZmMyYTAtZWRjYi00MzQ4LThmMWEtNjdhZjBmNjg5ODBl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=e0507fc143da0160&srepoch=1713031813&all_sr_blocks=935988701_366081910_1_1_0&highlighted_blocks=935988701_366081910_1_1_0&matching_block_id=935988701_366081910_1_1_0&sr_pri_blocks=935988701_366081910_1_1_0__790000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.3,7.599999999999999,8.0,7.8,8.5,9.3
1,AZ Hôtels Kouba,Algiers,Algeria,Northern Africa,Africa,Alger,Good,7.8,349.0,4.4,4,https://www.booking.com/hotel/dz/az-kouba.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AoOV67AGwAIB0gIkMzQxZmMyYTAtZWRjYi00MzQ4LThmMWEtNjdhZjBmNjg5ODBl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=e0507fc143da0160&srepoch=1713031813&all_sr_blocks=177278003_296505385_1_42_0&highlighted_blocks=177278003_296505385_1_42_0&matching_block_id=177278003_296505385_1_42_0&sr_pri_blocks=177278003_296505385_1_42_0__1540000&from=searchresults#hotelTmpl,8.6,7.8,8.1,8.2,7.3,8.0
2,AZ Hôtels Vieux Kouba,Algiers,Algeria,Northern Africa,Africa,Alger,Good,7.1,275.0,4.5,4,https://www.booking.com/hotel/dz/az-hotel-vieux-kouba.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AoOV67AGwAIB0gIkMzQxZmMyYTAtZWRjYi00MzQ4LThmMWEtNjdhZjBmNjg5ODBl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=e0507fc143da0160&srepoch=1713031813&all_sr_blocks=0_0_1_0_0&highlighted_blocks=0_0_1_0_0&matching_block_id=0_0_1_0_0&sr_pri_blocks=0_0_1_0_0__993335&from=searchresults#hotelTmpl,7.7,7.5,7.8,8.0,6.8,7.7
3,Agadir Beach Club,Agadir,Morocco,Northern Africa,Africa,"Agadir Bay, Agadir",Good,7.3,3261.0,1.3,4,https://www.booking.com/hotel/ma/agadir-beach-club.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AviU67AGwAIB0gIkOTU4MTNiMjUtYTEyNy00MTIxLTlkZjgtMTQzZDRhYzRkMTQz2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=34447fbc93b90048&srepoch=1713031802&all_sr_blocks=28956059_389290819_1_41_0&highlighted_blocks=28956059_389290819_1_41_0&matching_block_id=28956059_389290819_1_41_0&sr_pri_blocks=28956059_389290819_1_41_0__8770&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.5,7.1,7.6,7.6,7.2,9.0
4,Allegro Agadir,Agadir,Morocco,Northern Africa,Africa,"Agadir Bay, Agadir",Good,7.8,2072.0,1.4,4,https://www.booking.com/hotel/ma/allegro-agadir.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AviU67AGwAIB0gIkOTU4MTNiMjUtYTEyNy00MTIxLTlkZjgtMTQzZDRhYzRkMTQz2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=34447fbc93b90048&srepoch=1713031802&all_sr_blocks=9823121_245115245_1_1_0&highlighted_blocks=9823121_245115245_1_1_0&matching_block_id=9823121_245115245_1_1_0&sr_pri_blocks=9823121_245115245_1_1_0__6158&from=searchresults#hotelTmpl,8.6,7.9,8.3,8.4,7.9,8.8
5,Amadil Ocean Club,Agadir,Morocco,Northern Africa,Africa,"Agadir Bay, Agadir",Very Good,8.1,5649.0,1.2,4,https://www.booking.com/hotel/ma/atlas-amadil-beach.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AviU67AGwAIB0gIkOTU4MTNiMjUtYTEyNy00MTIxLTlkZjgtMTQzZDRhYzRkMTQz2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=34447fbc93b90048&srepoch=1713031802&all_sr_blocks=30559702_88806580_1_41_0&highlighted_blocks=30559702_88806580_1_41_0&matching_block_id=30559702_88806580_1_41_0&sr_pri_blocks=30559702_88806580_1_41_0__8032&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.5,8.1,8.3,8.3,8.0,9.2
6,Ambre Epices Medina Riad,Marrakech,Morocco,Northern Africa,Africa,"Medina, Marrakesh",Wonderful,9.4,1100.0,0.6,4,https://www.booking.com/hotel/ma/riad-ambre-et-epices.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AvWU67AGwAIB0gIkMDkzYjAzZGEtMThhMC00NjU2LTgzOTYtNmRjZjBmN2E3YTJl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=c8247fbaca4b0105&srepoch=1713031799&all_sr_blocks=9882407_278569311_0_41_0&highlighted_blocks=9882407_278569311_0_41_0&matching_block_id=9882407_278569311_0_41_0&sr_pri_blocks=9882407_278569311_0_41_0__13450&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.8,9.4,9.6,9.6,9.2,9.3
7,Amigo Pyramids INN,Cairo,Egypt,Northern Africa,Africa,"Giza, Cairo",Exceptional,9.7,63.0,11.6,4,https://www.booking.com/hotel/eg/amigo-pyramids-inn-al-haram.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AoiV67AGwAIB0gIkZWRjMWEwYzMtZDY4YS00NDcyLTkwZGUtZGQ1YmQ2ZGIwZDAw2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=44fb7fc4ffb80228&srepoch=1713031818&all_sr_blocks=1145488402_387385005_1_1_0&highlighted_blocks=1145488402_387385005_1_1_0&matching_block_id=1145488402_387385005_1_1_0&sr_pri_blocks=1145488402_387385005_1_1_0__1725&from=searchresults#hotelTmpl,9.7,9.6,9.8,9.7,9.8,9.9
8,Appart-Hotel SOFINES,Agadir,Morocco,Northern Africa,Africa,"Founty, Agadir",Excellent,8.6,1142.0,0.6,4,https://www.booking.com/hotel/ma/sofines.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AviU67AGwAIB0gIkOTU4MTNiMjUtYTEyNy00MTIxLTlkZjgtMTQzZDRhYzRkMTQz2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=34447fbc93b90048&srepoch=1713031802&all_sr_blocks=375263401_121855987_0_1_0&highlighted_blocks=375263401_121855987_0_1_0&matching_block_id=375263401_121855987_0_1_0&sr_pri_blocks=375263401_121855987_0_1_0__6400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.5,8.4,9.0,8.9,8.9,8.3
9,Appart-Hôtel Tagadirt,Agadir,Morocco,Northern Africa,Africa,"Agadir Bay, Agadir",Review score,6.1,3133.0,1.5,3,https://www.booking.com/hotel/ma/appart-tagadirt.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AviU67AGwAIB0gIkOTU4MTNiMjUtYTEyNy00MTIxLTlkZjgtMTQzZDRhYzRkMTQz2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=34447fbc93b90048&srepoch=1713031802&all_sr_blocks=9831401_240029423_0_2_0&highlighted_blocks=9831401_240029423_0_2_0&matching_block_id=9831401_240029423_0_2_0&sr_pri_blocks=9831401_240029423_0_2_0__3534&from=searchresults#hotelTmpl,7.7,5.9,6.4,6.3,7.1,8.3
10,Atlantic Hotel Agadir,Agadir,Morocco,Northern Africa,Africa,Agadir,Very Good,8.1,1444.0,1.6,4,https://www.booking.com/hotel/ma/atlantic-agadir.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AviU67AGwAIB0gIkOTU4MTNiMjUtYTEyNy00MTIxLTlkZjgtMTQzZDRhYzRkMTQz2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=34447fbc93b90048&srepoch=1713031802&all_sr_blocks=30912702_94877433_0_41_0&highlighted_blocks=30912702_94877433_0_41_0&matching_block_id=30912702_94877433_0_41_0&sr_pri_blocks=30912702_94877433_0_41_0__16490&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.8,8.2,8.8,8.7,8.2,8.1
