Unnamed: 0,Name,City,Country,Region,Continent,Location,Rating,Score,NbReviews,Distance from center,Stars,Url link,Staff_rating,Facilities_rating,Cleanliness_rating,Comfort_rating,Value_for_money_rating,Location_rating
0,314 on Clark Guest House,Pretoria,South Africa,Southern Africa,Africa,"Brooklyn, Pretoria",Excellent,8.9,503.0,5.2,4,https://www.booking.com/hotel/za/314-on-clark-guest-house.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Ap6V67AGwAIB0gIkZmI4YjAzYzAtOTMwOC00ZTMyLWJmZmYtZGYxNzA0NjE4MDY42AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=af2b7fcfe7cd02ca&srepoch=1713031840&all_sr_blocks=24189519_145404557_1_33_0&highlighted_blocks=24189519_145404557_1_33_0&matching_block_id=24189519_145404557_1_33_0&sr_pri_blocks=24189519_145404557_1_33_0__79500&from=searchresults#hotelTmpl,9.5,9.0,9.4,9.2,9.3,9.3
1,37 On Anderson,Pretoria,South Africa,Southern Africa,Africa,"Brooklyn, Pretoria",Excellent,8.8,279.0,3.6,4,https://www.booking.com/hotel/za/37-on-anderson.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Ap6V67AGwAIB0gIkZmI4YjAzYzAtOTMwOC00ZTMyLWJmZmYtZGYxNzA0NjE4MDY42AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=af2b7fcfe7cd02ca&srepoch=1713031840&all_sr_blocks=897751805_365326550_1_2_0&highlighted_blocks=897751805_365326550_1_2_0&matching_block_id=897751805_365326550_1_2_0&sr_pri_blocks=897751805_365326550_1_2_0__84000&from=searchresults#hotelTmpl,9.2,9.1,9.3,9.4,9.2,9.6
2,54 Brecher,Pretoria,South Africa,Southern Africa,Africa,"Sunnyside, Pretoria",Good,7.3,340.0,1.9,3,https://www.booking.com/hotel/za/54-brecher-pretoria.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Ap6V67AGwAIB0gIkZmI4YjAzYzAtOTMwOC00ZTMyLWJmZmYtZGYxNzA0NjE4MDY42AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=af2b7fcfe7cd02ca&srepoch=1713031840&all_sr_blocks=906246210_361713547_2_0_0&highlighted_blocks=906246210_361713547_2_0_0&matching_block_id=906246210_361713547_2_0_0&sr_pri_blocks=906246210_361713547_2_0_0__50000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.3,7.6,8.1,7.799999999999999,8.1,8.4
3,84 on Fourth Guest House,Johannesburg,South Africa,Southern Africa,Africa,"Melville, Johannesburg",Excellent,8.6,258.0,4.6,4,https://www.booking.com/hotel/za/84-on-fourth-johannesburg.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ApeV67AGwAIB0gIkYjhlM2QxMGQtMDM1Ny00ZmEzLTgwOGQtZWM3ODk1MWY5MWIx2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=aefd7fcbb5fb00a3&srepoch=1713031833&all_sr_blocks=132397805_363914278_2_33_0&highlighted_blocks=132397805_363914278_2_33_0&matching_block_id=132397805_363914278_2_33_0&sr_pri_blocks=132397805_363914278_2_33_0__85000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.4,8.5,8.8,8.9,8.8,9.1
4,A&A Guesthouse,Port Elizabeth,South Africa,Southern Africa,Africa,Port Elizabeth,Excellent,8.6,367.0,2.4,3,https://www.booking.com/hotel/za/a-amp-a-guesthouse.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ApuV67AGwAIB0gIkYWQ3MWZhM2EtNmI1MC00YmFmLWIwZGEtNzQyMThjZGE3NTUy2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=03b37fcdde80004c&srepoch=1713031837&all_sr_blocks=81560501_364653432_1_42_0&highlighted_blocks=81560501_364653432_1_42_0&matching_block_id=81560501_364653432_1_42_0&sr_pri_blocks=81560501_364653432_1_42_0__84000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.8,8.8,9.0,9.0,8.7,8.9
5,ANEW Hotel Parktonian Johannesburg,Johannesburg,South Africa,Southern Africa,Africa,"Downtown Johannesburg, Johannesburg",Good,7.9,1567.0,1.3,4,https://www.booking.com/hotel/za/protea-parktonian-all-suite.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ApeV67AGwAIB0gIkYjhlM2QxMGQtMDM1Ny00ZmEzLTgwOGQtZWM3ODk1MWY5MWIx2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=aefd7fcbb5fb00a3&srepoch=1713031833&all_sr_blocks=25183403_390436738_2_34_0&highlighted_blocks=25183403_390436738_2_34_0&matching_block_id=25183403_390436738_2_34_0&sr_pri_blocks=25183403_390436738_2_34_0__115899&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.7,8.1,8.5,8.5,8.2,8.0
6,Abay Lodge,Durban,South Africa,Southern Africa,Africa,"Durban City Center, Durban",Good,7.5,6.0,0.7,0,https://www.booking.com/hotel/za/abay-lodge.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ApSV67AGwAIB0gIkMWNjYzBhYzQtOTA0Ni00MzU3LTg0OTMtMWExNTVkYWFjOGQx2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=3e797fca4ca60047&srepoch=1713031829&all_sr_blocks=1172109501_389745459_1_0_0&highlighted_blocks=1172109501_389745459_1_0_0&matching_block_id=1172109501_389745459_1_0_0&sr_pri_blocks=1172109501_389745459_1_0_0__45000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,6.3,7.5,7.5,7.1,6.7,5.0
7,Abigail's Studio Apartment @ Trift Tower,Windhoek,Namibia,Southern Africa,Africa,Windhoek,Excellent,8.9,23.0,0.3,3,https://www.booking.com/hotel/na/abigails-studio-apartment-trift-tower.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AqKV67AGwAIB0gIkOGRiZjJhZDAtYTNjMy00ZjAxLThmYjMtOTBiNmQ2ZTUyMjhi2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=cc937fd142650436&srepoch=1713031843&all_sr_blocks=975067601_369884786_0_0_0&highlighted_blocks=975067601_369884786_0_0_0&matching_block_id=975067601_369884786_0_0_0&sr_pri_blocks=975067601_369884786_0_0_0__100000&from=searchresults#hotelTmpl,9.3,9.2,9.1,9.1,9.2,9.7
8,Acorn B&B,Durban,South Africa,Southern Africa,Africa,"Essenwood, Durban",Excellent,8.9,21.0,1.7,4,https://www.booking.com/hotel/za/acorn-b-amp-b-in-durban.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ApSV67AGwAIB0gIkMWNjYzBhYzQtOTA0Ni00MzU3LTg0OTMtMWExNTVkYWFjOGQx2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=3e797fca4ca60047&srepoch=1713031829&all_sr_blocks=550468205_390323784_2_42_0&highlighted_blocks=550468205_390323784_2_42_0&matching_block_id=550468205_390323784_2_42_0&sr_pri_blocks=550468205_390323784_2_42_0__69900&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.0,8.8,9.2,9.2,8.9,8.9
9,Admiralty Beach House,Port Elizabeth,South Africa,Southern Africa,Africa,"Summerstrand, Port Elizabeth",Wonderful,9.4,312.0,6.5,4,https://www.booking.com/hotel/za/admiralty-beach-house.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ApuV67AGwAIB0gIkYWQ3MWZhM2EtNmI1MC00YmFmLWIwZGEtNzQyMThjZGE3NTUy2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=03b37fcdde80004c&srepoch=1713031837&all_sr_blocks=36444403_353866472_1_1_0&highlighted_blocks=36444403_353866472_1_1_0&matching_block_id=36444403_353866472_1_1_0&sr_pri_blocks=36444403_353866472_1_1_0__221350&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.8,9.5,9.7,9.7,9.4,9.3
