Unnamed: 0,Name,City,Country,Region,Continent,Location,Rating,Score,NbReviews,Distance from center,Stars,Url link,Staff_rating,Facilities_rating,Cleanliness_rating,Comfort_rating,Value_for_money_rating,Location_rating
0,Airport Hotel Casino du Cap-vert,Dakar,Senegal,Western Africa,Africa,Dakar,Very Good,8.0,472.0,11.9,3,https://www.booking.com/hotel/sn/casino-du-cap-vert.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AtDV67AGwAIB0gIkOTQyNDYwY2QtZmZiNS00ZTQ4LWFjZTktMGFiNTNiZmY2Y2Mw2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=2a3d8fe8e9fb002f&srepoch=1713040082&all_sr_blocks=57980802_277599406_2_2_0&highlighted_blocks=57980802_277599406_2_2_0&matching_block_id=57980802_277599406_2_2_0&sr_pri_blocks=57980802_277599406_2_2_0__8000000&from=searchresults#hotelTmpl,8.8,8.1,8.5,8.5,7.8,8.4
1,Appartement Luxueux,Dakar,Senegal,Western Africa,Africa,Dakar,Very Good,8.1,20.0,9.4,3,https://www.booking.com/hotel/sn/appartement-luxueux-dakar2.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AtDV67AGwAIB0gIkOTQyNDYwY2QtZmZiNS00ZTQ4LWFjZTktMGFiNTNiZmY2Y2Mw2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=2a3d8fe8e9fb002f&srepoch=1713040082&all_sr_blocks=968534701_372854694_2_0_0&highlighted_blocks=968534701_372854694_2_0_0&matching_block_id=968534701_372854694_2_0_0&sr_pri_blocks=968534701_372854694_2_0_0__3300000&from=searchresults#hotelTmpl,9.3,7.9,8.1,8.4,8.5,8.2
2,Atalaia Sol Aparthotel - tennis & heated pool in winter,Lagos,Nigeria,Western Africa,Africa,Lagos,Wonderful,9.0,855.0,2.2,4,https://www.booking.com/hotel/pt/atalaia-sol.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AtbV67AGwAIB0gIkMzk5ZjFlMTktMGYzMy00M2QzLTk1OWItNjM1NjNlZTI2OTZh2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=61e28febb05b0332&srepoch=1713040087&all_sr_blocks=4072919_345857425_2_2_0&highlighted_blocks=4072919_345857425_2_2_0&matching_block_id=4072919_345857425_2_2_0&sr_pri_blocks=4072919_345857425_2_2_0__7800&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.5,9.0,9.3,9.3,9.0,8.6
3,BOMA LifeStyle Hotel,Dakar,Senegal,Western Africa,Africa,Dakar,Excellent,8.9,612.0,12.0,4,https://www.booking.com/hotel/sn/boma-dakar.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AtDV67AGwAIB0gIkOTQyNDYwY2QtZmZiNS00ZTQ4LWFjZTktMGFiNTNiZmY2Y2Mw2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=2a3d8fe8e9fb002f&srepoch=1713040082&all_sr_blocks=682440302_298234398_2_2_0&highlighted_blocks=682440302_298234398_2_2_0&matching_block_id=682440302_298234398_2_2_0&sr_pri_blocks=682440302_298234398_2_2_0__16900000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.5,9.1,9.3,9.3,8.5,8.8
4,Bays Boutique Apartment,Accra,Ghana,Western Africa,Africa,Accra,Excellent,8.6,111.0,11.3,3,https://www.booking.com/hotel/gh/bays-boutique-apartment.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AtPV67AGwAIB0gIkMjEyMjNhYTEtZGQ3MS00MTQzLWJkOTgtMGQ4ZGNiYjc2ODcx2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=a1aa8fe936b7006d&srepoch=1713040085&all_sr_blocks=693780302_287996795_1_1_0&highlighted_blocks=693780302_287996795_1_1_0&matching_block_id=693780302_287996795_1_1_0&sr_pri_blocks=693780302_287996795_1_1_0__3700&from=searchresults#hotelTmpl,8.9,9.0,9.1,9.1,8.8,8.2
5,"Bays Lodge, Accra",Accra,Ghana,Western Africa,Africa,Accra,Very Good,8.3,129.0,12.9,0,https://www.booking.com/hotel/gh/bays-lodge.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AtPV67AGwAIB0gIkMjEyMjNhYTEtZGQ3MS00MTQzLWJkOTgtMGQ4ZGNiYjc2ODcx2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=a1aa8fe936b7006d&srepoch=1713040085&all_sr_blocks=213554109_361004740_2_9_0&highlighted_blocks=213554109_361004740_2_9_0&matching_block_id=213554109_361004740_2_9_0&sr_pri_blocks=213554109_361004740_2_9_0__3600&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.8,8.2,8.6,8.6,8.3,8.1
6,Boavista Golf & Spa - Bela Colina Village,Lagos,Nigeria,Western Africa,Africa,Lagos,Wonderful,9.1,3730.0,3.2,5,https://www.booking.com/hotel/pt/boavista-golf-resort-spa.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AtbV67AGwAIB0gIkMzk5ZjFlMTktMGYzMy00M2QzLTk1OWItNjM1NjNlZTI2OTZh2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=61e28febb05b0332&srepoch=1713040087&all_sr_blocks=28009615_327188846_2_2_0&highlighted_blocks=28009615_327188846_2_2_0&matching_block_id=28009615_327188846_2_2_0&sr_pri_blocks=28009615_327188846_2_2_0__9000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.2,9.3,9.4,9.4,8.9,8.7
7,Café de Rome,Dakar,Senegal,Western Africa,Africa,Dakar,Good,7.8,408.0,0.5,3,https://www.booking.com/hotel/sn/cafe-de-rome.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AtDV67AGwAIB0gIkOTQyNDYwY2QtZmZiNS00ZTQ4LWFjZTktMGFiNTNiZmY2Y2Mw2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=2a3d8fe8e9fb002f&srepoch=1713040082&all_sr_blocks=57981403_269948212_2_42_0&highlighted_blocks=57981403_269948212_2_42_0&matching_block_id=57981403_269948212_2_42_0&sr_pri_blocks=57981403_269948212_2_42_0__8100000&from=searchresults#hotelTmpl,8.9,7.599999999999999,8.1,8.1,7.599999999999999,9.1
8,Casa Djoko,Dakar,Senegal,Western Africa,Africa,"Parcelles Assaines, Dakar",Very Good,8.1,87.0,10.7,3,https://www.booking.com/hotel/sn/maison-djoko.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AtDV67AGwAIB0gIkOTQyNDYwY2QtZmZiNS00ZTQ4LWFjZTktMGFiNTNiZmY2Y2Mw2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=2a3d8fe8e9fb002f&srepoch=1713040082&all_sr_blocks=944558105_366851395_0_2_0&highlighted_blocks=944558105_366851395_0_2_0&matching_block_id=944558105_366851395_0_2_0&sr_pri_blocks=944558105_366851395_0_2_0__2012500&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.3,8.0,8.2,8.2,8.3,8.3
9,Cocktail and Dreams Hotel,Accra,Ghana,Western Africa,Africa,Accra,Good,7.5,122.0,5.6,0,https://www.booking.com/hotel/gh/cocktail-and-dreams.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AtPV67AGwAIB0gIkMjEyMjNhYTEtZGQ3MS00MTQzLWJkOTgtMGQ4ZGNiYjc2ODcx2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=a1aa8fe936b7006d&srepoch=1713040085&all_sr_blocks=194690805_332343350_0_1_0&highlighted_blocks=194690805_332343350_0_1_0&matching_block_id=194690805_332343350_0_1_0&sr_pri_blocks=194690805_332343350_0_1_0__7600&from=searchresults#hotelTmpl,8.1,7.900000000000001,8.2,8.2,7.8,7.400000000000001
