Unnamed: 0,Name,City,Country,Region,Continent,Location,Rating,Score,NbReviews,Distance from center,Stars,Url link,Staff_rating,Facilities_rating,Cleanliness_rating,Comfort_rating,Value_for_money_rating,Location_rating
0,AC Hotel by Marriott San Juan Condado,San Juan,Puerto Rico,Caribbean,America,"Condado, San Juan",Very Good,8.2,1398.0,5.3,4,https://www.booking.com/hotel/pr/ac-hotel-marriott-san-juan.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ArCV67AGwAIB0gIkOWFhZjBlZWQtOWFmMy00YWQ3LTkyYmItMTg2YTVlYmUwOGNk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=16807fd8f10f0367&srepoch=1713031858&all_sr_blocks=49422310_246431629_2_2_0&highlighted_blocks=49422310_246431629_2_2_0&matching_block_id=49422310_246431629_2_2_0&sr_pri_blocks=49422310_246431629_2_2_0__36406&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.7,8.5,8.7,8.7,7.799999999999999,8.9
1,Aloft San Juan,San Juan,Puerto Rico,Caribbean,America,San Juan,Excellent,8.9,994.0,2.8,3,https://www.booking.com/hotel/pr/aloft-san-juan.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ArCV67AGwAIB0gIkOWFhZjBlZWQtOWFmMy00YWQ3LTkyYmItMTg2YTVlYmUwOGNk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=16807fd8f10f0367&srepoch=1713031857&all_sr_blocks=568000005_216404769_0_2_0&highlighted_blocks=568000005_216404769_0_2_0&matching_block_id=568000005_216404769_0_2_0&sr_pri_blocks=568000005_216404769_0_2_0__48532&nad_id=464ea281-2d05-4507-9840-e7c826181f1a_0&nad_cpc=0.94&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6InloUnBKbTBJNzVSY00vRnJqRFlpY3RLSVV5YzMzcTJZUmZJMC9FSGxTdXlLYk8xdWY1U3dvVmVvNkc3RXRlakNmS0Y5ak5jSExjQlFiR05FZkVEczEzczQxUng4R3FzSFdMRXFwSitGV0ZiTVluclA2NTFjYkI0cHdrdVlSWURHdHdJQmExSUs1UUI5ZEJOS3dHdHNiaWRRTDUvUGJNVEhHT2crNDB0TDB4KytvUDJac1pucDZKSXN6OUlrdE12M3g2aGMvRi9PaktPdnVMemhOcGR2ZmNMUVpPSG1obDF5cTNMNnlCaGRXTkxhelZVZ0pZTm4raDl4b3l2dWdQYzBKMXV0cmpGbFBCQmZzZ0ZJRDBLRlBNcXFOa2d0N2UwUitCSXplMUhOdHlmVVNvTHNSMUplR2FheHVFaG92eUdIbWFMeVEyOFF0VGszc1kyd3lHUk5kZzlKWDdYbjlTRk41WXFBMXZOaGlTaDhweS9ZNm9EbjZHSlJGdlcva2VOUU5xOWdZT1ozdHp6azRUZDNuQ0tQeUhNZzdTZHZlM1dLYVFlcC9Ba2x2bFphdHM1QXlST2tnd1ZwOVBwU0o4SFlwc0k2cnVXdXhDTWpYS1U2YUVQYlR0U25EZkgrbzRLdEcrNjQwZjlxYXlqQTJEN2Z1RFJLc1A0b0lNMklpUENhZXhTK0l5cE5DcVYyd25WRU85U254OGRwYzVKQVhIbG8yamJudEtBSlNQTWZSR3FSc2tueTJjT1dJWlU5MGdNdXRvNHJvVHd2UU1DNFkyZlI3Zm52L0MyZDkxN3Z3cDJFNEJqM1M1YjVtZ3NlMm4wVUszNnFqdmhubjFtQjNwb2FFUmVva3d5NGprYzZmZE5QRE5tWElUNkFvU2QvL3F1MzBCYm16d3B5ZDR6Tk9VK1E3RlBQSzUyU1Y1aWplSEpCMGh1b1Iycm9KbkhJZjBZcEgzN3dIZ1g2UklSNGtRN2RlRDZGUkk3dVRQTGplbSt0N05PajlvRDdKbWlnc2x3UXFtQmpJRCt1K0pUK1JlZzBjWEJBbUZrVEM3dzFoRFVpRUNTbWdjVjdnVWI0YnN3MGJlWUlDdFV1ZC9EMzVEL0xsK3NaQlUwTkZxL1pPQSt6REF5UmFpSUlvOTJ4VXA0dDFpaXViYjlyano5NXBJT0VBQ3pMakxhZm1oNGY4S3k4N3RCQ2Z0RmNvVWFKdHhHZmk1b08vREpQck5XVUhMMVBNV1U5cTFkTldrMmNsQ2dKTGtlaVo1ZEpRclpEUE05eHJlWXFTVjMydmhTVDZLWWZWTG0xWFlQQUFOejNvTS9ROFliNXFBd295UkVOaDBXTE9LeGtJWWx3dXZjenN4N1VRWk8rWkNKbUcxb1B1ZUdySG9GWGN2NFZwaHB3QU1abDU2eWRFamQ2MjNIQVF5akNrYU9uNWovRnRQUDJIV2pFK2R4S0UvZnh5N1dNeCtNNWRYb2NEZjY2TUtBVnNrSXorbXBiUGtmMUVzZ1ljcGN5QUdMOEszRXZVdHc0bFVaY3lMWStnKzNUSENmTmF2cEU5T1kyaEFDcHpwYkhlNWQwTzlYOXFVeHd1UHBjcmVWc1k0TTFzYWFwek1sVE1vMDVUcmhFcStPUG5ad1c0am1tdnJzMEhjYnMrYkNZTWpnaXduZ0JNREo3cDdsa2JSUDRJMkppcXVyTDd6Vk5NMEZtc1NEMFJZRDFveGhRaXNZalhTUGNxblVMWWlrZVJMb3RyMk4zcHRkaG5PNE5WaDlmQWkrVlcvV1lFUEFwU3poR3N4RnRwN0JQZlJYRU5YQkEyeHpDK011OWptNStiVkZwQ25Od1FnOW96THJ6YzN2VmpwenJyRTdPS253Z1o2d0I1V0VqOEFxSUlyaUdaN1lxREJ0alR5Z0ZwM1BRQmRQamd0bFdZQ01OVG42SVM0alBHYlNFRFVteWJWVWsyWi9xeFBLTXdHSFg4TWZhNVFRS01QTmh2MmowUWxSSGJMWjVvNXNwQllhMG1pdFdpOEFFdGIzZ0JuS3JlWnV3QnMzVDNEdm5VNVhmNUdRcTdRS3UxQktrT0M1Ly9BbXh4OGtRbmo0dDIrSkdUb0JOUVlUQy9Iek9YcHI2S0x4K2swM2hGcVp5V3QybEp2SDNwMGZQVEFqZXMvRDQ0QlVWWlAzTFpUVEJzMHJqS3h1MGFxOWd0RFoweGlEYXIySDBYQlJFV3h1ZXVYQmo4MEwyUXlhdjZFZlM2QlFqaGliUllWUlA4SGtQY1hZa2NoS2hOdUdnRXp3TkY4Y3ovVlZiRU0xUFFiYUZrZ1pjRTRCY3JXaUJ2Z1BDbjFpdU9pVWdlVGFRajg3YlRYTmtaVXp6QmZIbW43T3VNU2FBQjNELzBxNG9neUEzVmxBUisvTk15eitKRmJUeWZabkNMbDRZaVEzVjdvTXpWeTJ6bTIrZ2VkOE9URXJQdjE1Z054akV1ZCtweDFhUFVMaGZaaUF1ekRRVUdoOUlNNEVmSW44c0JTSGpiWFU5NWEzQ0JlLzFtWldiMDUyZExRaHcyN0FNVGdKa1BsbVZqblNRK2ZPMXNqdEZ3ZWFWYlFWTWV6RE9LVms0RWVSMlhXWDZJSTFUOCtmd1hseUhYTmpuaGpsNzcyQnhPY28wM2d6NkxaL3dIcnFvd1JDTDNNM0REclRRQVgvbWt2NFN2aldMSUJFNER4Y3BzODNTSkJkU01GWGd6WDhBY0JqR0d5WnBkS1RTZkp3c2g1Q1BVNXNYdlpheUcxdmEweSt3SEJUTHU1bEpRNkMyZDRJdFk1T1k5RlJveGVBdk5iVVh4OFdPZzFXM1h1a1ZWUlBCZnFJdUhzMkw2ZTVINk1EbDZlLzZjTy8yYUtMSmhkcW5mWDhyZUdzY1JnZnNmK2FKVFlpb2hmKzVJSDA0MWhkV21oY1VNKzJpN0p6L1VpbGFmYkY1djZ0ZTJyZ1JLUWlrNHQ5YkdLaGx6d1NuaUx1S25UNllmTk5LcjZpdGJabzg5VnRxaW01Q2xyenV0ckRsdjlhN0JqY0ZKU3AyeDJSN0dERG1hMEMxQmJpOUtuajA4SWtyZzFTaWVhT0hoUVZYd3N4VzJKNWRXQzR1aG0vRWZDdVhqOWRLa2MyTkFIY1pXUkk5NGlreHFRdFRzVDNCc3Via3U1QmtlbHZvSXhyejl0aW9KYldad0lQOGFleW84cVBEVEtuVDlSRzBaVVpOYkk1a0lVZHpCMWRzWFVYYXpMa1g3a0tZZkRLbUN1ajN3ZVE2bG5sZDVZdlQrMVJkTUVhNmVQQWlJQ1huMThMNTU5V0NjTmx6bENlUWF0U1hLN1U9In0%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.2,9.1,9.2,9.2,8.4,9.5
2,Apartahotel Alvear,Santo Domingo,Dominican Republic,Caribbean,America,"Downtown Santo Domingo, Santo Domingo",Very Good,8.4,85.0,2.6,3,https://www.booking.com/hotel/do/apartahotel-residencia-alvear.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ArSV67AGwAIB0gIkYmM1MmNlZjItMWY1ZC00MGUyLTg2NzgtYzk0ODQwYjFjN2Y32AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=5a1c7fda2179010a&srepoch=1713031861&all_sr_blocks=48724707_308112714_2_0_0&highlighted_blocks=48724707_308112714_2_0_0&matching_block_id=48724707_308112714_2_0_0&sr_pri_blocks=48724707_308112714_2_0_0__8838&from=searchresults#hotelTmpl,9.1,8.5,8.7,8.7,8.5,9.3
3,Bposhtels San Juan,San Juan,Puerto Rico,Caribbean,America,"Condado, San Juan",Good,7.8,107.0,4.8,3,https://www.booking.com/hotel/pr/bposhtels-san-juan.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ArCV67AGwAIB0gIkOWFhZjBlZWQtOWFmMy00YWQ3LTkyYmItMTg2YTVlYmUwOGNk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=16807fd8f10f0367&srepoch=1713031858&all_sr_blocks=1063069302_378676447_1_1_0&highlighted_blocks=1063069302_378676447_1_1_0&matching_block_id=1063069302_378676447_1_1_0&sr_pri_blocks=1063069302_378676447_1_1_0__3924&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.4,7.9,8.3,8.4,8.2,9.3
4,Brickell Apart Hotel,Santo Domingo,Dominican Republic,Caribbean,America,"Downtown Santo Domingo, Santo Domingo",Very Good,8.5,247.0,5.8,0,https://www.booking.com/hotel/do/brickell-apart.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ArSV67AGwAIB0gIkYmM1MmNlZjItMWY1ZC00MGUyLTg2NzgtYzk0ODQwYjFjN2Y32AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=5a1c7fda2179010a&srepoch=1713031861&all_sr_blocks=972378104_369643318_2_0_0&highlighted_blocks=972378104_369643318_2_0_0&matching_block_id=972378104_369643318_2_0_0&sr_pri_blocks=972378104_369643318_2_0_0__11520&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.4,8.8,8.8,9.1,8.6,9.2
5,Caribe Hilton,San Juan,Puerto Rico,Caribbean,America,San Juan,Very Good,8.0,835.0,3.3,3,https://www.booking.com/hotel/pr/caribe-hilton.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ArCV67AGwAIB0gIkOWFhZjBlZWQtOWFmMy00YWQ3LTkyYmItMTg2YTVlYmUwOGNk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=16807fd8f10f0367&srepoch=1713031858&all_sr_blocks=4422537_266393349_2_2_0&highlighted_blocks=4422537_266393349_2_2_0&matching_block_id=4422537_266393349_2_2_0&sr_pri_blocks=4422537_266393349_2_2_0__51993&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.6,8.3,8.5,8.5,7.3,8.9
6,Casa Wilson Inn,San Juan,Puerto Rico,Caribbean,America,San Juan,Very Good,8.5,489.0,5.1,0,https://www.booking.com/hotel/pr/casa-wilson-inn.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ArCV67AGwAIB0gIkOWFhZjBlZWQtOWFmMy00YWQ3LTkyYmItMTg2YTVlYmUwOGNk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=16807fd8f10f0367&srepoch=1713031858&all_sr_blocks=506165904_184110758_0_1_0&highlighted_blocks=506165904_184110758_0_1_0&matching_block_id=506165904_184110758_0_1_0&sr_pri_blocks=506165904_184110758_0_1_0__22146&from=searchresults#hotelTmpl,9.2,8.5,8.6,8.6,8.4,9.0
7,Casa de Huespedes Colonial,Santo Domingo,Dominican Republic,Caribbean,America,"Colonial Zone, Santo Domingo",Good,7.9,861.0,1.0,3,https://www.booking.com/hotel/do/the-team.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ArSV67AGwAIB0gIkYmM1MmNlZjItMWY1ZC00MGUyLTg2NzgtYzk0ODQwYjFjN2Y32AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=5a1c7fda2179010a&srepoch=1713031861&all_sr_blocks=129425701_352185992_1_0_0&highlighted_blocks=129425701_352185992_1_0_0&matching_block_id=129425701_352185992_1_0_0&sr_pri_blocks=129425701_352185992_1_0_0__3593&from=searchresults#hotelTmpl,8.7,7.7,8.1,7.9,8.3,8.9
8,Catalonia Santo Domingo,Santo Domingo,Dominican Republic,Caribbean,America,"Downtown Santo Domingo, Santo Domingo",Very Good,8.1,4250.0,2.7,5,https://www.booking.com/hotel/do/catalonia-santo-domingo.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ArSV67AGwAIB0gIkYmM1MmNlZjItMWY1ZC00MGUyLTg2NzgtYzk0ODQwYjFjN2Y32AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=5a1c7fda2179010a&srepoch=1713031861&all_sr_blocks=156931133_266109071_2_2_0&highlighted_blocks=156931133_266109071_2_2_0&matching_block_id=156931133_266109071_2_2_0&sr_pri_blocks=156931133_266109071_2_2_0__12673&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.6,8.3,8.6,8.6,7.799999999999999,8.9
9,Central Park Tower,Santo Domingo,Dominican Republic,Caribbean,America,"Downtown Santo Domingo, Santo Domingo",Very Good,8.4,1357.0,3.8,4,https://www.booking.com/hotel/do/central-park-tower.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ArSV67AGwAIB0gIkYmM1MmNlZjItMWY1ZC00MGUyLTg2NzgtYzk0ODQwYjFjN2Y32AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=5a1c7fda2179010a&srepoch=1713031861&all_sr_blocks=320836308_335416901_0_0_0&highlighted_blocks=320836308_335416901_0_0_0&matching_block_id=320836308_335416901_0_0_0&sr_pri_blocks=320836308_335416901_0_0_0__8499&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.8,8.4,8.6,8.7,8.5,9.0
