Unnamed: 0,Name,City,Country,Region,Continent,Location,Rating,Score,NbReviews,Distance from center,Stars,Url link,Staff_rating,Facilities_rating,Cleanliness_rating,Comfort_rating,Value_for_money_rating,Location_rating
0,"Aloft San Jose Hotel, Costa Rica",San Jose,Costa Rica,Central America,America,San José,Excellent,8.6,879.0,12.8,4,https://www.booking.com/hotel/cr/aloft.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4As2V67AGwAIB0gIkM2Q1N2MzYTYtYWEyZi00YjllLTg3N2UtYTBmYzhmMWI0ZDZh2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=af6b7fe67320005b&srepoch=1713031887&all_sr_blocks=37614304_246430682_2_41_0&highlighted_blocks=37614304_246430682_2_41_0&matching_block_id=37614304_246430682_2_41_0&sr_pri_blocks=37614304_246430682_2_41_0__14125&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.0,8.9,9.2,9.3,8.6,8.9
1,Arbor Inn Monterey,Monterrey,Mexico,Central America,America,"Munras Avenue, Monterey",Very Good,8.0,3610.0,1.1,2,https://www.booking.com/hotel/us/quality-inn-monterey.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AsWV67AGwAIB0gIkMjdiMWJmZWUtNjI4Mi00ZjI3LThiZjYtMjdhYWM0ZWMwMGYx2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=f6967fe26db502b1&srepoch=1713031879&all_sr_blocks=17758206_245365252_0_0_0&highlighted_blocks=17758206_245365252_0_0_0&matching_block_id=17758206_245365252_0_0_0&sr_pri_blocks=17758206_245365252_0_0_0__10781&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.4,8.1,8.5,8.5,8.2,8.5
2,Art House Hostel Guadalajara,Guadalajara,Mexico,Central America,America,"Centro, Guadalajara",Excellent,8.7,107.0,0.5,0,https://www.booking.com/hotel/mx/art-house-hostel-guadalajara.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AruV67AGwAIB0gIkNDczNWFiMjgtMmVjNy00OTQyLWI0NWYtYTQxZGIwNTY3NTU42AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=a53d7fddea760048&srepoch=1713031869&all_sr_blocks=972118501_369623583_1_1_0&highlighted_blocks=972118501_369623583_1_1_0&matching_block_id=972118501_369623583_1_1_0&sr_pri_blocks=972118501_369623583_1_1_0__29750&from=searchresults#hotelTmpl,8.9,8.9,9.2,8.7,9.2,9.0
3,Ayenda Frida Costa Azul,Mexico City,Mexico,Central America,America,"Doctores, Mexico City",Very Good,8.5,3044.0,1.1,3,https://www.booking.com/hotel/mx/otel-osta-zul.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AsKV67AGwAIB0gIkNGFmNTA2NGMtNmVmNC00MTUzLWE5ZDUtN2RhMzllOWVlYTJj2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=09877fe1e9fa0108&srepoch=1713031876&all_sr_blocks=104273717_362209488_2_0_0&highlighted_blocks=104273717_362209488_2_0_0&matching_block_id=104273717_362209488_2_0_0&sr_pri_blocks=104273717_362209488_2_0_0__109821&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.9,8.5,8.9,8.5,8.8,8.6
4,"Balmoral Hotel San José CR, Historic District",San Jose,Costa Rica,Central America,America,San José,Good,7.6,1487.0,0.9,4,https://www.booking.com/hotel/cr/balmoral.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4As2V67AGwAIB0gIkM2Q1N2MzYTYtYWEyZi00YjllLTg3N2UtYTBmYzhmMWI0ZDZh2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=af6b7fe67320005b&srepoch=1713031887&all_sr_blocks=39848920_372609886_2_41_0&highlighted_blocks=39848920_372609886_2_41_0&matching_block_id=39848920_372609886_2_41_0&sr_pri_blocks=39848920_372609886_2_41_0__12317&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.5,7.7,8.3,8.3,7.8,8.9
5,Barceló San José,San Jose,Costa Rica,Central America,America,San José,Very Good,8.4,3552.0,3.3,5,https://www.booking.com/hotel/cr/barcelo-san-jose-palacio.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4As2V67AGwAIB0gIkM2Q1N2MzYTYtYWEyZi00YjllLTg3N2UtYTBmYzhmMWI0ZDZh2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=af6b7fe67320005b&srepoch=1713031887&all_sr_blocks=33408402_89163953_2_34_0&highlighted_blocks=33408402_89163953_2_34_0&matching_block_id=33408402_89163953_2_34_0&sr_pri_blocks=33408402_89163953_2_34_0__9450&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.7,8.6,9.0,9.0,8.5,8.5
6,Becquer Hotel Guadalajara,Guadalajara,Mexico,Central America,America,"Chapalita, Guadalajara",Excellent,8.9,1463.0,5.4,4,https://www.booking.com/hotel/mx/becquer-guadalajara.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AruV67AGwAIB0gIkNDczNWFiMjgtMmVjNy00OTQyLWI0NWYtYTQxZGIwNTY3NTU42AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=a53d7fddea760048&srepoch=1713031869&all_sr_blocks=662749801_357053532_2_1_0&highlighted_blocks=662749801_357053532_2_1_0&matching_block_id=662749801_357053532_2_1_0&sr_pri_blocks=662749801_357053532_2_1_0__142443&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.8,9.1,9.2,9.2,8.9,9.4
7,Best Western De Anza Inn,Monterrey,Mexico,Central America,America,"North Fremont, Monterey",Good,7.7,553.0,3.0,3,https://www.booking.com/hotel/us/best-western-de-anza-inn.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AsWV67AGwAIB0gIkMjdiMWJmZWUtNjI4Mi00ZjI3LThiZjYtMjdhYWM0ZWMwMGYx2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=f6967fe26db502b1&srepoch=1713031879&all_sr_blocks=52477405_93765432_2_1_0&highlighted_blocks=52477405_93765432_2_1_0&matching_block_id=52477405_93765432_2_1_0&sr_pri_blocks=52477405_93765432_2_1_0__16591&from=searchresults#hotelTmpl,8.6,7.9,8.2,8.1,7.6,8.1
8,Best Western Park Crest Inn,Monterrey,Mexico,Central America,America,"Munras Avenue, Monterey",Good,7.7,1449.0,1.1,3,https://www.booking.com/hotel/us/best-western-park-crest-inn-monterey.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AsWV67AGwAIB0gIkMjdiMWJmZWUtNjI4Mi00ZjI3LThiZjYtMjdhYWM0ZWMwMGYx2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=f6967fe26db502b1&srepoch=1713031879&all_sr_blocks=27470707_246111892_2_1_0&highlighted_blocks=27470707_246111892_2_1_0&matching_block_id=27470707_246111892_2_1_0&sr_pri_blocks=27470707_246111892_2_1_0__22637&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.4,7.8,8.2,8.2,7.7,8.2
9,Best Western Plus Monterey Inn,Monterrey,Mexico,Central America,America,Monterey,Very Good,8.4,1017.0,0.8,3,https://www.booking.com/hotel/us/best-western-plus-monterey-inn.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AsWV67AGwAIB0gIkMjdiMWJmZWUtNjI4Mi00ZjI3LThiZjYtMjdhYWM0ZWMwMGYx2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=f6967fe26db502b1&srepoch=1713031879&all_sr_blocks=42009906_246058342_2_1_0&highlighted_blocks=42009906_246058342_2_1_0&matching_block_id=42009906_246058342_2_1_0&sr_pri_blocks=42009906_246058342_2_1_0__22547&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.9,8.4,8.9,8.9,8.0,8.7
