Unnamed: 0,Name,City,Country,Region,Continent,Location,Rating,Score,NbReviews,Distance from center,Stars,Url link,Staff_rating,Facilities_rating,Cleanliness_rating,Comfort_rating,Value_for_money_rating,Location_rating
0,'Alohilani Resort Waikiki Beach,Honolulu,United States,Northern America,America,"Waikiki, Honolulu",Very Good,8.0,3332.0,5.1,5,https://www.booking.com/hotel/us/alohilani-resort.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AteW67AGwAIB0gIkNThkOTJkOTYtYWIyYy00OTNiLTgyYzktOWNlZTg5NDA1Yzk42AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=20ab802bcefd0134&srepoch=1713032025&all_sr_blocks=5849708_187505385_2_2_0&highlighted_blocks=5849708_187505385_2_2_0&matching_block_id=5849708_187505385_2_2_0&sr_pri_blocks=5849708_187505385_2_2_0__44345&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.4,8.2,8.3,8.4,7.2,9.3
1,1 Hotel West Hollywood,Los Angeles,United States,Northern America,America,"West Hollywood, Los Angeles",Very Good,8.4,719.0,13.1,5,https://www.booking.com/hotel/us/1-west-hollywood.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Au-W67AGwAIB0gIkMTU1OGU4MDQtOTNjYS00MzhkLWJhMjgtNzg1MzYzYzA5NGEz2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=d8dc80378e4b03e5&srepoch=1713032048&all_sr_blocks=490921101_163914546_2_2_0&highlighted_blocks=490921101_163914546_2_2_0&matching_block_id=490921101_163914546_2_2_0&sr_pri_blocks=490921101_163914546_2_2_0__67471&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.5,8.8,9.0,9.0,7.800000000000001,9.1
2,21c Museum Hotel Chicago,Chicago,United States,Northern America,America,"River North, Chicago",Very Good,8.3,1403.0,1.2,5,https://www.booking.com/hotel/us/twentyonec-museum-hotel-chicago-mgallery.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AraW67AGwAIB0gIkMzAyOWFkYzctZTE3OC00YTU1LTg3ODQtNmE2Nzg4MDJmMmIz2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=72b3801ba82c0068&srepoch=1713031992&all_sr_blocks=5668836_358409200_2_2_0&highlighted_blocks=5668836_358409200_2_2_0&matching_block_id=5668836_358409200_2_2_0&sr_pri_blocks=5668836_358409200_2_2_0__21626&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.6,8.5,8.8,8.9,8.2,9.4
3,21c Museum Hotel Cincinnati,Cincinnati,United States,Northern America,America,"Downtown Cincinnati, Cincinnati",Very Good,8.5,486.0,0.2,4,https://www.booking.com/hotel/us/museumcincinnati.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ArqW67AGwAIB0gIkN2ViZDAyNjYtN2I0YS00ZDNmLWEyYjMtMjVhMTZlMzA0NWU32AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=bfcd801db27e02c1&srepoch=1713031995&all_sr_blocks=46505306_117514800_3_42_0&highlighted_blocks=46505306_117514800_3_42_0&matching_block_id=46505306_117514800_3_42_0&sr_pri_blocks=46505306_117514800_3_42_0__39620&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.2,8.6,8.9,9.0,7.8,9.4
4,315 LoSo Hotel Airport,Charlotte,United States,Northern America,America,Charlotte,Very Good,8.2,1019.0,6.2,3,https://www.booking.com/hotel/us/315-loso.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ArKW67AGwAIB0gIkZTI5YTNkZmQtMTQ0Ny00Zjk5LTliMWEtY2Y4YTI4ODQxNDEy2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=1e49801975e20005&srepoch=1713031988&all_sr_blocks=950282003_371050135_4_0_0&highlighted_blocks=950282003_371050135_4_0_0&matching_block_id=950282003_371050135_4_0_0&sr_pri_blocks=950282003_371050135_4_0_0__18065&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.3,8.4,8.7,8.7,8.6,8.4
5,41,London,Canada,Northern America,America,"Westminster Borough, London",Exceptional,9.7,1124.0,1.5,5,https://www.booking.com/hotel/gb/41clubredcarnations.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ApqX67AGwAIB0gIkNmMxMjNkZTYtNjA4NC00ZDg2LWFiNzEtMTY5NzllMjYyY2Y52AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=7b07804db8160017&srepoch=1713032092&all_sr_blocks=16031812_94309330_1_2_0&highlighted_blocks=16031812_94309330_1_2_0&matching_block_id=16031812_94309330_1_2_0&sr_pri_blocks=16031812_94309330_1_2_0__31595&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.9,9.6,9.8,9.8,9.1,9.7
6,42 Hotel,Brooklyn,United States,Northern America,America,"Williamsburg, Brooklyn",Very Good,8.3,1399.0,3.0,4,https://www.booking.com/hotel/us/42-kings-county1.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AqiW67AGwAIB0gIkMTc4ZjU3YjAtYzUxNS00YTFjLTkyYTAtMWI4Nzg5YThmZmIz2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=383d801437720010&srepoch=1713031977&all_sr_blocks=836391004_382510368_2_34_0&highlighted_blocks=836391004_382510368_2_34_0&matching_block_id=836391004_382510368_2_34_0&sr_pri_blocks=836391004_382510368_2_34_0__45217&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.6,8.6,9.0,8.9,8.1,8.2
7,6080 Design Hotel by Eskape Collection,Miami,United States,Northern America,America,"Mid-Beach, Miami Beach",Very Good,8.2,2796.0,6.0,4,https://www.booking.com/hotel/us/sixty80-design.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AvWW67AGwAIB0gIkNWNkZGRkYzQtNzcxMS00MzcyLWFiMDQtOGY3NzA3NjAzZWNl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=d503803a2969025c&srepoch=1713032055&all_sr_blocks=410051002_386110355_2_0_0&highlighted_blocks=410051002_386110355_2_0_0&matching_block_id=410051002_386110355_2_0_0&sr_pri_blocks=410051002_386110355_2_0_0__27816&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.6,8.6,8.7,8.6,8.1,8.5
8,750 Saint-Joseph,Quebec City,Canada,Northern America,America,"Saint-Roch, Quebec City",Good,7.4,806.0,0.9,3,https://www.booking.com/hotel/ca/750-saint-joseph.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AoeX67AGwAIB0gIkYjkxZThkNWEtNGE0Zi00ZmE2LWE5NTQtNWEzMzdjNzMwZGVl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=9baa804343860197&srepoch=1713032073&all_sr_blocks=694339801_372261364_2_0_0&highlighted_blocks=694339801_372261364_2_0_0&matching_block_id=694339801_372261364_2_0_0&sr_pri_blocks=694339801_372261364_2_0_0__13530&from=searchresults#hotelTmpl,7.599999999999999,7.5,7.900000000000001,7.7,7.7,8.2
9,A Quiet Hideaway in Saskatoon,Saskatoon,Canada,Northern America,America,"Saskatoon Downtown, Saskatoon",Exceptional,10.0,1.0,1.9,0,https://www.booking.com/hotel/ca/a-quiet-hideaway-in-saskatoon.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AqWX67AGwAIB0gIkZjFhY2QxODgtMDBjNy00N2IxLTk5YTYtMzBmZWVjYzBiZDY22AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=0f1e80526d6001d7&srepoch=1713032103&all_sr_blocks=1167852501_389361198_1_0_0&highlighted_blocks=1167852501_389361198_1_0_0&matching_block_id=1167852501_389361198_1_0_0&sr_pri_blocks=1167852501_389361198_1_0_0__6494&from=searchresults#hotelTmpl,10.0,10.0,10.0,10.0,10.0,10.0
10,"A and FayeBed and Breakfast, Inc,",Brooklyn,United States,Northern America,America,"Flatbush, Brooklyn",Wonderful,9.3,143.0,5.4,3,https://www.booking.com/hotel/us/a-and-fayebed-and-breakfast-inc.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AqiW67AGwAIB0gIkMTc4ZjU3YjAtYzUxNS00YTFjLTkyYTAtMWI4Nzg5YThmZmIz2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=383d801437720010&srepoch=1713031977&all_sr_blocks=568356906_237498305_1_1_0&highlighted_blocks=568356906_237498305_1_1_0&matching_block_id=568356906_237498305_1_1_0&sr_pri_blocks=568356906_237498305_1_1_0__29436&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.7,9.1,9.5,9.4,9.3,9.1
11,AC Hotel Chicago Downtown,Chicago,United States,Northern America,America,"River North, Chicago",Very Good,8.3,630.0,1.3,4,https://www.booking.com/hotel/us/rush.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AraW67AGwAIB0gIkMzAyOWFkYzctZTE3OC00YTU1LTg3ODQtNmE2Nzg4MDJmMmIz2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=72b3801ba82c0068&srepoch=1713031992&all_sr_blocks=119319613_375411654_0_2_0&highlighted_blocks=119319613_375411654_0_2_0&matching_block_id=119319613_375411654_0_2_0&sr_pri_blocks=119319613_375411654_0_2_0__31581&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.8,8.6,8.7,8.7,8.3,9.4
12,AC Hotel by Marriott Cincinnati at The Banks,Cincinnati,United States,Northern America,America,"Downtown Cincinnati, Cincinnati",Excellent,8.7,473.0,0.6,3,https://www.booking.com/hotel/us/ac-by-marriott-cincinnati-at-the-banks.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ArqW67AGwAIB0gIkN2ViZDAyNjYtN2I0YS00ZDNmLWEyYjMtMjVhMTZlMzA0NWU32AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=bfcd801db27e02c1&srepoch=1713031995&all_sr_blocks=214371202_96756074_0_2_0&highlighted_blocks=214371202_96756074_0_2_0&matching_block_id=214371202_96756074_0_2_0&sr_pri_blocks=214371202_96756074_0_2_0__50378&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.2,9.0,9.1,9.2,7.9,9.7
13,AC Hotel by Marriott Fort Worth Downtown,Fort Worth,United States,Northern America,America,"Downtown Ft. Worth - Sundance Square, Fort Worth",Excellent,8.9,556.0,0.1,4,https://www.booking.com/hotel/us/ac-fort-worth-downtown.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4As-W67AGwAIB0gIkMjA2YWE2MTYtZjQ2OC00MmMxLWJiMmYtMmI2NTlkZDljMTE12AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=6327802737a8004d&srepoch=1713032017&all_sr_blocks=661590401_270806443_0_2_0&highlighted_blocks=661590401_270806443_0_2_0&matching_block_id=661590401_270806443_0_2_0&sr_pri_blocks=661590401_270806443_0_2_0__73782&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.1,9.2,9.4,9.3,8.6,9.4
14,AC Hotel by Marriott Minneapolis Downtown,Minneapolis,United States,Northern America,America,"Downtown Minneapolis, Minneapolis",Very Good,8.5,337.0,0.6,4,https://www.booking.com/hotel/us/ac-by-marriott-minneapolis-downtown.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AvmW67AGwAIB0gIkZWI0N2VhMTgtMTlhMC00MzdjLWEzNmUtM2QzNmRlODJjODg12AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=7913803cf49d011f&srepoch=1713032059&all_sr_blocks=194800103_94636117_0_2_0&highlighted_blocks=194800103_94636117_0_2_0&matching_block_id=194800103_94636117_0_2_0&sr_pri_blocks=194800103_94636117_0_2_0__24294&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.0,8.8,9.0,9.0,8.2,8.9
15,AC Hotel by Marriott Oklahoma City Bricktown,Oklahoma City,United States,Northern America,America,"Bricktown, Oklahoma City",Very Good,8.1,315.0,1.3,4,https://www.booking.com/hotel/us/ac-by-marriott-oklahoma-city-bricktown.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AtGV67AGwAIB0gIkZmIyZGZmOTYtMDNiYy00ZTIyLWFjM2EtZjg1YTFhMDlhZjk12AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=ec507fe87011024b&srepoch=1713031891&all_sr_blocks=266430301_105746516_0_34_0&highlighted_blocks=266430301_105746516_0_34_0&matching_block_id=266430301_105746516_0_34_0&sr_pri_blocks=266430301_105746516_0_34_0__18017&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.6,8.5,8.7,8.7,8.0,9.1
16,AC Hotel by Marriott Phoenix Downtown,Phoenix,United States,Northern America,America,"Downtown Phoenix, Phoenix",Excellent,8.7,640.0,0.7,0,https://www.booking.com/hotel/us/ac-by-marriott-phoenix-downtown.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AtyV67AGwAIB0gIkYTAxZDk4ZmItOWYzZi00ZGEyLWE4YzAtOTM5N2RhMmE1YmYx2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=92007fed277c0535&srepoch=1713031901&all_sr_blocks=693320102_285400090_0_34_0&highlighted_blocks=693320102_285400090_0_34_0&matching_block_id=693320102_285400090_0_34_0&sr_pri_blocks=693320102_285400090_0_34_0__30361&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.1,9.1,9.2,9.3,8.7,9.3
17,"ARC HOTEL Washington DC, Georgetown",Washington,United States,Northern America,America,"Northwest, Washington, D.C.",Very Good,8.0,2185.0,1.4,4,https://www.booking.com/hotel/us/arc-the-hotel-dc.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ApWW67AGwAIB0gIkNjZiMWYxYWEtMmYxNS00ZTJiLTk4ZTMtMjA5NzRiNjU5ZmE02AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=1d26800ae6eb0215&srepoch=1713031958&all_sr_blocks=5703920_329233753_2_0_0&highlighted_blocks=5703920_329233753_2_0_0&matching_block_id=5703920_329233753_2_0_0&sr_pri_blocks=5703920_329233753_2_0_0__26028&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.6,8.0,8.5,8.6,8.1,9.0
