Unnamed: 0,Name,City,Country,Region,Continent,Location,Rating,Score,NbReviews,Distance from center,Stars,Url link,Staff_rating,Facilities_rating,Cleanliness_rating,Comfort_rating,Value_for_money_rating,Location_rating
0,1253 Recoleta Small Hotel,Buenos Aires,Argentina,South America,America,"Retiro, Buenos Aires",Very Good,8.1,3570.0,1.2,4,https://www.booking.com/hotel/ar/park-chateau-unique.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AsTY67AGwAIB0gIkMGE4MzEwYTgtZDI0Ny00N2FlLTllZTQtZTAzMWMyYzM4MWIw2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=4be690a2db810021&srepoch=1713040454&all_sr_blocks=7926501_389252513_0_2_0&highlighted_blocks=7926501_389252513_0_2_0&matching_block_id=7926501_389252513_0_2_0&sr_pri_blocks=7926501_389252513_0_2_0__12562&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.8,7.900000000000001,8.2,8.2,8.0,9.2
1,61Prado Hotel,Medellin,Colombia,South America,America,"La Candelaria, Medellín",Wonderful,9.0,839.0,2.7,3,https://www.booking.com/hotel/co/61prado-guesthouse.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AqvY67AGwAIB0gIkZTFiZDE5MDMtMDYxYy00ZjdjLWFlNTAtNzk4MWNjZDExZWEw2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=1ecb90958ff301f2&srepoch=1713040429&all_sr_blocks=27981301_363031418_0_0_0&highlighted_blocks=27981301_363031418_0_0_0&matching_block_id=27981301_363031418_0_0_0&sr_pri_blocks=27981301_363031418_0_0_0__11310000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.7,8.9,9.3,9.1,9.3,7.8
2,ABC Apart Hotel,Brasilia,Brazil,South America,America,"North Wing, Brasília",Good,7.2,2432.0,0.6,3,https://www.booking.com/hotel/br/abc-apart.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Av_X67AGwAIB0gIkNDcxNTg4MGYtMmJjZS00ZTgzLWE4MjEtNmJkYTRiZWJkMGRi2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=478c907f6e6100da&srepoch=1713040385&all_sr_blocks=114514502_357659166_2_0_0&highlighted_blocks=114514502_357659166_2_0_0&matching_block_id=114514502_357659166_2_0_0&sr_pri_blocks=114514502_357659166_2_0_0__25000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.2,7.0,7.6,7.3,7.6,9.1
3,APTO Bras expo center 25 marco Feirinha Da Madrugada - ESPAÇO INTEIRO,Sao Paulo,Brazil,South America,America,"Bras, São Paulo",Very Good,8.4,84.0,1.6,3,https://www.booking.com/hotel/br/ap-bras-47-templo-salomao-47-expocenter-47-25-de-marco-47-metro-bras.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AunX67AGwAIB0gIkODIxNjk0MzYtYjBkOC00MzIzLWEzMDQtMWRkYjdjNzNjNzA02AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=8e0a9074d58b00ee&srepoch=1713040363&all_sr_blocks=400637801_123486819_4_0_0&highlighted_blocks=400637801_123486819_4_0_0&matching_block_id=400637801_123486819_4_0_0&sr_pri_blocks=400637801_123486819_4_0_0__30204&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.6,8.6,8.4,8.2,8.8,8.6
4,After Hotel Montevideo,Montevideo,Uruguay,South America,America,"Buceo, Montevideo",Very Good,8.4,2563.0,4.9,4,https://www.booking.com/hotel/uy/after-montevideo.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AsnY67AGwAIB0gIkY2ViOWQ3ZjctZGI4ZS00MmRkLTgwNWQtMWM1N2I0OWJhZGUy2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=26dd90a43a1900af&srepoch=1713040459&all_sr_blocks=0_0_1_1_0&highlighted_blocks=0_0_1_1_0&matching_block_id=0_0_1_1_0&sr_pri_blocks=0_0_1_1_0__8373&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.7,8.5,8.8,8.7,8.4,9.1
5,Aloft Lima Miraflores,Lima,Peru,South America,America,"Miraflores, Lima",Wonderful,9.1,338.0,9.3,4,https://www.booking.com/hotel/pe/aloft-lima-miraflores.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4As3Y67AGwAIB0gIkYzEyYmRjNzEtNGYwMS00OWVjLTk5NTEtMzg2NWNjNTYxMjYx2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=245490a634b301e9&srepoch=1713040463&all_sr_blocks=387107911_121718720_2_42_0&highlighted_blocks=387107911_121718720_2_42_0&matching_block_id=387107911_121718720_2_42_0&sr_pri_blocks=387107911_121718720_2_42_0__42900&nad_id=c12c9e5d-4ea4-44f4-8738-214cfbef804b_0&nad_cpc=0.45&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6ImJ5d1UwT0R6dHFQZlpZSW0xVWlTcnNudlptd2NZeE5yL29xVzRudC9waE9zSUhrVVF0bTVBUit1Q2NhNkxSUUxITm54cHpKV3h5dXZOUWJVM2JTQWxJekpQM1ZnWjFqcExXclVaUmkwWUlJZGgzRERBbkFwem1abUJoZ1RFNWlSb2hpKzFCdUNDUXVTRmdud2crZzh5WmV4YWpiM0xQQVNyZExWbUxoMXRUTGE2c2d6NW5hQlFGblB5VjJ0Qno3K2dQWk1ZYWhUcEJHMktQQlJJeE1kTVVCN2t1SUZ4TTRCZ1JlOWhXVEdQRi9xQnh6ajdRVElOemFRTVNkSk5DdUpqRHpycDlyQXNPWHJCQmxRRm1hVEN6N0hZc1piLzZtT2QvbXF3RndMMWxhdTk0eUpHVUdQcGI2MHNEMmFrSkN2Wkp4WDFPQzNNQnBsNmZjbDYyM2N0Vk4wQkxNR0VicFc2dFBSSHVVRUsyalBLVEtrN3JRd2draVRNb05KQlZQUE43K1d2UUJZdHRjZ2M0YWlxbENOenhCMDlzTEpWTEUvL1JYclMvdVN4TG9PS0RhaVNXNXdXSDhMU2EzR2drcDJSZTdxdjZLNm9OaFpQSEN2d3hxV3gzU2tZNE9YcWxYdkcxT1dtKzNPdllLWWV4VEc2bkpNWGhMNHhUMjh6aFNQcllTNmFPTmgrYURSdFVhZ1NvWXJsOEVZV0l2NWtab2p0czNwUHhudXpUaHBENHZ2M3JRc3lOa1RaQk4zVTFhdTM2MzQ2ekprSzhCSVVWc3RNVlF4LzJMR2Via1B4UUZzTnprV2pERDVNVjNNZ295djdDNnp5MzU4WlN3TGJHYWJac2V6NE9RM0tRT0d5QkV0TElOUldrcjUzWi9uNU1NWkdZaXpyRElZSjhiQ1RkeGVaY3c2V1ByMHVvc0xTNHV3ZXFaWkdWTGJKa1dTOEM1VWlJazVoTGR2cnBYaWN6WlhNRXlwSHZFd3NXeHNpclFIenZhMGVVTE1VSnF5SlRoc25JZ2RuMisxOHJIYXB0T2FQS2szNms5aTVCZFpkbnVzemtmVDBuK0tRd3NaRWRpa1Q0TjBvYkpIdmZXMjNvNVEwMkVuYWZFcGpZRmphSkJKN2pRSkJiWXc3cGpuVU5zWDI1SmtFZzM3WEFLQjJZZ1pXT0NRU1JvR1FYUVlzeFJqMTZqMXhrc2FJdHpXdmRLZFdjVFZrSTlaWW1EZWVmSk5PeHpxNVl1S2RJUjJsaTdzc2xjelNFblk0aDlJR09aNGh1SXIvb25lREUrbk5DVnNwcCtpRHZ3TkhPZjJvYnFTNEVLYkVIUk44VXpiR2h6aFJGUmVnNlFWT2d3ZGFDdVBKNTQ4K1F0Y3R1TnZzRnV3aFdsUkp5ZnUwRGpOVnlKKzdoVFhWaTR0bEkzRWFicm0rckNURkltU0laV1A2VkFscnVobUxZcW9oRTJmNENDa28wOFF0MEx1QUpKSFlyRlVGSEhCR2pMdWJJcHRlNXNhSkFFN3RWVUlFcFlqbW53VVV6ekRXVi8wbDVWVjF2TEt2Zy9PaEhnSDhuTW1wVnRkRnk2WmZpVHo3eDNGakxUQWZSRFEvWEVQbXR6VUJCWktCdStnVmFVbG9BUWNWVi9CSmg2bHh4VFJMRytYcHliMm13azE1K0lEUmI0bnpEa2JwWGN4am93TlZHMFJlTVRPZmwyeFg5cStDcUtPMGhvNWcyeWY0VndzbHpoRlZ4TVFoRXB1SUJFVEpKV2RSQW5tUmp4WVh5ZXZvZ0tDaW5jTXpqRmtFS1VjcXRLdERnRHliVGtqcHZrY3FuZGdqV2VFb0o5MXFrejRlbUlmR1JYYW0vNE9WcVRKRVhJb3k1Z2pCTko0YWJhU25OMGRraFVXNDJrVTc2R2UvYVFRSWF3Mm1ZWTBBWVhkZXJDeC85TzJubG5mNnBsb0FEcGwxUlp5UkVndWMrZWV3QlZ4aTA4djJKZUpGcnRzbGVtUUhDeVFTa3YzMkVJaCtQditZdlViRVVzOVY4UnV6RmpZQXJ3SkxyQTZyUnJPS0NaREo3NFQzeEFBeDJ3NjY3bTIrSkZGOGRZbVoyWTlMVUZ6a2xGRnhWWXNBYURETEVEQjFub2tGK2V2eUlxMGc0V1A2cENWZCtLZ3VzRnl6VitSR1k4Vk5xWDZsNmRrWjk2V3Vyb1MyQTlIVnE1NENBbExCWlRXUDIrOFZraVlFandxSXZITytJRDdQeGVxekRDanNDeE9VcHdHNHBpMnd5a3hURkRYUWJIWEw3T3dQUy9qMXpBZk95R1c0cFFCRVVrMDQ4VGdvMngzU2tocE9BWkhiSWJqQjQyNlpwRXdyOVlkRFZTNEZZMjZ2RWVrbThidTA4VmNjek1BNTRkcmZublR3WU5DZHBtdzV6TXl2dVhDRTN4VDF4N1A3c3dhU0pmZEw5U0dKaEljaUxMVndac2VGM1pUKzFDV3dqbjNiNXlXaWpBeTNSK2J4UUdOelJKOHp4WmxkQi9RZlVDM29OM3pkWnBJekQrZ29iR3NodmpTNlhPVWlGWmk2QzJ3UTRZeCsxdFVuWXQ0TTBsV0E5ZWpuMklsN2thN0RyMmVFaldlOG5RZktiS3RIUXlSY0M2QVlxNWZZUnc0eTZMR0cxS0FnSS9NbGNTOFRJSDNVSFRnRHduQkZvbXFnUVcyT0pxUjZNUVl0cFJwVFhNSlZBdW9PZ2Z4V016cmNoNUxTOWJna1BqYUthSzBYZjZ6Z2xhOG51L0FDMkZ0bE1WSDNTYTdUODFkNDFKTW0vd0xhNUNFVkpKTDVDa0ZKNm42c0lqWFdlSk4waXB4dVpEYjN3elg0Slk1S0l6SmJ0WnIwTTIyU09JV2dsNVBrU25Ea0kyWFFPZWgxVGVOS1ZWY2RQZXhWVTN0eEY4NzNNYk5TRTN6TXBXR3pnRWhSdSs1OEs1NE5xZDdMRW8rYXdZSTlXT1NwQ3BIZDFNRzRKQXdDVFRESytTNUJUM3U2VytOQWRiN2dSbzBYSXM0SjBzT2hvY1BHNGJNWDJ4SnY3MXRDVjhwZGY0bG4rekJqUTA5UUFqZk0wWDdqbFdJVG4zWUg3ZUVMRFF6TG82TEhycDBMUFRJN0ZxanVVdzFzcHljK1JKU2dzQm9ScWNJelgxcDVZc1F6TTh3SWk3OUZYWHlLb3hmVDJUQWV3N0ZCMzl3L256UjVTWGhLZVRYRFR6TFZsMjBaNi9DTm5aaUtkZTF4SGxaelBuUjJFUTR5UzZLcHdQVUZIeDNycm9KT3hRVTJuQ3VwODBqSUZ6cFJpa1U3S1NkWWtFa2YwY01aa2ZIIn0%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.4,9.2,9.5,9.4,8.8,9.4
6,Alpes Lima Kennedy Hostel,Lima,Peru,South America,America,"Miraflores, Lima",Very Good,8.4,404.0,8.6,0,https://www.booking.com/hotel/pe/bean-bag-hostel-lima.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4As3Y67AGwAIB0gIkYzEyYmRjNzEtNGYwMS00OWVjLTk5NTEtMzg2NWNjNTYxMjYx2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=245490a634b301e9&srepoch=1713040463&all_sr_blocks=253001801_103865019_2_2_0&highlighted_blocks=253001801_103865019_2_2_0&matching_block_id=253001801_103865019_2_2_0&sr_pri_blocks=253001801_103865019_2_2_0__3610&from=searchresults#hotelTmpl,8.8,8.5,8.7,8.6,8.5,9.4
7,Apê Paulista Bela Cintra,Sao Paulo,Brazil,South America,America,"Consolação, São Paulo",Very Good,8.4,8546.0,2.8,3,https://www.booking.com/hotel/br/ape-paulista-bela-cintra.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AunX67AGwAIB0gIkODIxNjk0MzYtYjBkOC00MzIzLWEzMDQtMWRkYjdjNzNjNzA02AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=8e0a9074d58b00ee&srepoch=1713040363&all_sr_blocks=880320704_357214978_0_0_0&highlighted_blocks=880320704_357214978_0_0_0&matching_block_id=880320704_357214978_0_0_0&sr_pri_blocks=880320704_357214978_0_0_0__44185&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.6,8.3,8.4,8.4,8.6,9.6
8,Arevalos Hotel,Cuenca,Ecuador,South America,America,Cuenca,Excellent,8.9,652.0,0.3,3,https://www.booking.com/hotel/es/arevalos.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ArHY67AGwAIB0gIkMDFiZjE4YjItZTIxYi00NDY3LWI0MWYtNzYzMzZmOTg1NGQ12AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=1ce990981625000e&srepoch=1713040434&all_sr_blocks=1059919302_378353450_1_2_0&highlighted_blocks=1059919302_378353450_1_2_0&matching_block_id=1059919302_378353450_1_2_0&sr_pri_blocks=1059919302_378353450_1_2_0__7963&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.7,9.2,9.4,9.3,9.1,9.3
9,Armon Suites Hotel,Montevideo,Uruguay,South America,America,"Pocitos, Montevideo",Excellent,8.6,1879.0,3.4,4,https://www.booking.com/hotel/uy/armon-suites.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AsnY67AGwAIB0gIkY2ViOWQ3ZjctZGI4ZS00MmRkLTgwNWQtMWM1N2I0OWJhZGUy2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=26dd90a43a1900af&srepoch=1713040459&all_sr_blocks=24504901_285025234_0_2_0&highlighted_blocks=24504901_285025234_0_2_0&matching_block_id=24504901_285025234_0_2_0&sr_pri_blocks=24504901_285025234_0_2_0__8000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.4,8.5,9.0,9.0,8.5,9.4
