Unnamed: 0,Name,City,Country,Region,Continent,Location,Rating,Score,NbReviews,Distance from center,Stars,Url link,Staff_rating,Facilities_rating,Cleanliness_rating,Comfort_rating,Value_for_money_rating,Location_rating
0,281 Hostel,Bishkek,Kyrgyzstan,Central Asia,Asia,Bishkek,Wonderful,9.3,99.0,1.7,0,https://www.booking.com/hotel/kg/281-hostel.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ApmY67AGwAIB0gIkZjA3ZmYzNmYtM2EwZi00YTA0LTk2YzUtNThhZGQxMzU5MzNi2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=96a3808cddea0299&srepoch=1713032219&all_sr_blocks=916667002_363178499_1_2_0&highlighted_blocks=916667002_363178499_1_2_0&matching_block_id=916667002_363178499_1_2_0&sr_pri_blocks=916667002_363178499_1_2_0__1200&from=searchresults#hotelTmpl,9.4,9.4,9.3,9.2,9.3,8.4
1,5 Wood Hotel & SPA,Tashkent,Uzbekistan,Central Asia,Asia,Tashkent,Wonderful,9.1,252.0,1.8,0,https://www.booking.com/hotel/uz/5woodhotel-amp-spa.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ApaY67AGwAIB0gIkYjAxODZiYWQtNzRlZC00MDczLWE0ZjktNzc4Y2I5OWQ5OGE52AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=3421808b86bb00a2&srepoch=1713032215&all_sr_blocks=1001637402_384416050_1_1_0&highlighted_blocks=1001637402_384416050_1_1_0&matching_block_id=1001637402_384416050_1_1_0&sr_pri_blocks=1001637402_384416050_1_1_0__5482&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.4,9.0,9.3,9.3,9.1,9.0
2,AQ Capsule Hotel,Almaty,Kazakhstan,Central Asia,Asia,Almaty,Exceptional,9.5,281.0,1.0,0,https://www.booking.com/hotel/kz/aq-capsule-almaty1.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Ao6Y67AGwAIB0gIkMjU3MDQ0MjEtYjBkZi00YmYwLWFiNGQtMDVmOWJjNjA3OTVh2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=fc9b8087f0ec0153&srepoch=1713032209&all_sr_blocks=1085520303_381411801_1_2_0&highlighted_blocks=1085520303_381411801_1_2_0&matching_block_id=1085520303_381411801_1_2_0&sr_pri_blocks=1085520303_381411801_1_2_0__1000000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.6,9.5,9.5,9.5,9.4,9.6
3,ART RESIDENCE Hotel,Tashkent,Uzbekistan,Central Asia,Asia,Tashkent,Wonderful,9.3,295.0,6.4,3,https://www.booking.com/hotel/uz/art-resident.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ApaY67AGwAIB0gIkYjAxODZiYWQtNzRlZC00MDczLWE0ZjktNzc4Y2I5OWQ5OGE52AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=3421808b86bb00a2&srepoch=1713032215&all_sr_blocks=1106462902_383441419_0_0_0&highlighted_blocks=1106462902_383441419_0_0_0&matching_block_id=1106462902_383441419_0_0_0&sr_pri_blocks=1106462902_383441419_0_0_0__3960&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.5,9.3,9.5,9.4,9.5,9.3
4,Aiva Hostel,Bishkek,Kyrgyzstan,Central Asia,Asia,Bishkek,Wonderful,9.2,183.0,0.6,0,https://www.booking.com/hotel/kg/aiva-hostel-bishkek.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ApmY67AGwAIB0gIkZjA3ZmYzNmYtM2EwZi00YTA0LTk2YzUtNThhZGQxMzU5MzNi2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=96a3808cddea0299&srepoch=1713032219&all_sr_blocks=1050682902_377308110_1_1_0&highlighted_blocks=1050682902_377308110_1_1_0&matching_block_id=1050682902_377308110_1_1_0&sr_pri_blocks=1050682902_377308110_1_1_0__1700&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.6,9.2,9.5,9.1,9.2,9.4
5,Alma,Almaty,Kazakhstan,Central Asia,Asia,Almaty,Good,7.8,557.0,1.9,3,https://www.booking.com/hotel/kz/alma.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Ao6Y67AGwAIB0gIkMjU3MDQ0MjEtYjBkZi00YmYwLWFiNGQtMDVmOWJjNjA3OTVh2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=fc9b8087f0ec0153&srepoch=1713032209&all_sr_blocks=38603109_364832903_0_1_0&highlighted_blocks=38603109_364832903_0_1_0&matching_block_id=38603109_364832903_0_1_0&sr_pri_blocks=38603109_364832903_0_1_0__2200000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.4,7.599999999999999,7.900000000000001,7.900000000000001,7.7,9.1
6,Almaty Hotel,Almaty,Kazakhstan,Central Asia,Asia,Almaty,Very Good,8.5,2224.0,0.6,3,https://www.booking.com/hotel/kz/alma-ata.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Ao6Y67AGwAIB0gIkMjU3MDQ0MjEtYjBkZi00YmYwLWFiNGQtMDVmOWJjNjA3OTVh2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=fc9b8087f0ec0153&srepoch=1713032209&all_sr_blocks=44222701_362691386_0_1_0&highlighted_blocks=44222701_362691386_0_1_0&matching_block_id=44222701_362691386_0_1_0&sr_pri_blocks=44222701_362691386_0_1_0__3500000&from=searchresults#hotelTmpl,8.5,8.3,8.5,8.7,8.3,9.5
7,Asia Hotel,Bishkek,Kyrgyzstan,Central Asia,Asia,Bishkek,Excellent,8.8,351.0,2.2,3,https://www.booking.com/hotel/kg/asia-mountains-hotel.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ApmY67AGwAIB0gIkZjA3ZmYzNmYtM2EwZi00YTA0LTk2YzUtNThhZGQxMzU5MzNi2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=96a3808cddea0299&srepoch=1713032219&all_sr_blocks=44177003_224237745_0_42_0&highlighted_blocks=44177003_224237745_0_42_0&matching_block_id=44177003_224237745_0_42_0&sr_pri_blocks=44177003_224237745_0_42_0__4208&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.3,8.8,9.1,9.0,9.0,8.5
8,Asli Makon Hotel,Tashkent,Uzbekistan,Central Asia,Asia,Tashkent,Excellent,8.6,95.0,8.2,0,https://www.booking.com/hotel/uz/asli-makon-tashkent.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ApaY67AGwAIB0gIkYjAxODZiYWQtNzRlZC00MDczLWE0ZjktNzc4Y2I5OWQ5OGE52AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=3421808b86bb00a2&srepoch=1713032215&all_sr_blocks=800137401_385198732_1_41_0&highlighted_blocks=800137401_385198732_1_41_0&matching_block_id=800137401_385198732_1_41_0&sr_pri_blocks=800137401_385198732_1_41_0__6000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.9,8.5,8.8,8.5,8.3,8.9
9,Astana Hotel,Almaty,Kazakhstan,Central Asia,Asia,Almaty,Review score,5.8,902.0,3.3,0,https://www.booking.com/hotel/kz/astana-almaty.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Ao6Y67AGwAIB0gIkMjU3MDQ0MjEtYjBkZi00YmYwLWFiNGQtMDVmOWJjNjA3OTVh2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=fc9b8087f0ec0153&srepoch=1713032209&all_sr_blocks=42409401_389592825_0_1_0&highlighted_blocks=42409401_389592825_0_1_0&matching_block_id=42409401_389592825_0_1_0&sr_pri_blocks=42409401_389592825_0_1_0__700000&from=searchresults#hotelTmpl,7.2,5.9,5.9,5.8,6.6,8.0
