Unnamed: 0,Name,City,Country,Region,Continent,Location,Rating,Score,NbReviews,Distance from center,Stars,Url link,Staff_rating,Facilities_rating,Cleanliness_rating,Comfort_rating,Value_for_money_rating,Location_rating
0,105m2 Central 3 BR new apartment w airport pickup,Ulaanbaatar,Mongolia,Eastern Asia,Asia,"Sukhbaatar, Ulaanbaatar",Exceptional,9.7,12.0,0.8,4,https://www.booking.com/hotel/mn/105m2-central-3-br-new-apartment-w-airport-pickup.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AqSY67AGwAIB0gIkZDI2ZDliMjgtMDc0NC00MmM1LWE1ZjAtZGY1NDM3NmM1NzI22AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=a11c8092f7450170&srepoch=1713032230&all_sr_blocks=857777501_369008727_1_0_0&highlighted_blocks=857777501_369008727_1_0_0&matching_block_id=857777501_369008727_1_0_0&sr_pri_blocks=857777501_369008727_1_0_0__15488&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.8,9.8,9.8,10.0,9.6,9.8
1,"125m2 new apartment, 5 rooms with airport pickup",Ulaanbaatar,Mongolia,Eastern Asia,Asia,"Bayanzurkh, Ulaanbaatar",Exceptional,9.8,4.0,1.7,0,https://www.booking.com/hotel/mn/125m2-new-apartment-5-rooms-with-airport-pickup.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AqSY67AGwAIB0gIkZDI2ZDliMjgtMDc0NC00MmM1LWE1ZjAtZGY1NDM3NmM1NzI22AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=a11c8092f7450170&srepoch=1713032230&all_sr_blocks=841975701_369008583_2_0_0&highlighted_blocks=841975701_369008583_2_0_0&matching_block_id=841975701_369008583_2_0_0&sr_pri_blocks=841975701_369008583_2_0_0__15513&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,10.0,10.0,10.0,10.0,10.0,10.0
2,AC Hotel by Marriott Suzhou China,Suzhou,China,Eastern Asia,Asia,"Gu Su District, Suzhou",Excellent,8.8,105.0,3.7,4,https://www.booking.com/hotel/cn/jinjiang-inn-suzhou-humble-administrator-garden-guanqian-street.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Aq-Y67AGwAIB0gIkM2FiYTllYzItMjk5MC00ZTJiLWFlYmUtMTUwZjhjZjdiMGMx2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=7f8d80978d6f0163&srepoch=1713032241&all_sr_blocks=193416011_375544132_0_2_0&highlighted_blocks=193416011_375544132_0_2_0&matching_block_id=193416011_375544132_0_2_0&sr_pri_blocks=193416011_375544132_0_2_0__70776&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.9,9.0,9.2,9.3,8.9,9.2
3,Aiden by Best Western Cheongdam,Seoul,South Korea,Eastern Asia,Asia,"Gangnam-Gu, Seoul",Very Good,8.3,1096.0,6.4,3,https://www.booking.com/hotel/kr/aiden-by-best-western-cheongdam.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AtaY67AGwAIB0gIkYjNkZDE4ZTYtODk1My00OTgyLWE5M2YtZGE2ZDBjZjhhYWJm2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=29f380ab5b150386&srepoch=1713032280&all_sr_blocks=405479606_363555212_2_2_0&highlighted_blocks=405479606_363555212_2_2_0&matching_block_id=405479606_363555212_2_2_0&sr_pri_blocks=405479606_363555212_2_2_0__18630000&from=searchresults#hotelTmpl,8.6,8.5,8.7,8.7,8.2,8.6
4,Airline Inn - Kaohsiung Station,Kaohsiung,Taiwan,Eastern Asia,Asia,"Sanmin District , Kaohsiung",Excellent,8.7,2150.0,2.2,3,https://www.booking.com/hotel/tw/airline-inn-kaohsiung-station.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AsuY67AGwAIB0gIkMTk5MTYzNmYtYWVhMi00Nzk1LWEzZjMtYzNmYWM4NWFjNTUz2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=c3d580a537720240&srepoch=1713032269&all_sr_blocks=202688901_371211477_0_1_0&highlighted_blocks=202688901_371211477_0_1_0&matching_block_id=202688901_371211477_0_1_0&sr_pri_blocks=202688901_371211477_0_1_0__210000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.3,8.9,9.0,9.0,8.8,9.2
5,Airline Inn Green Park Way,Taichung,Taiwan,Eastern Asia,Asia,"West District, Taichung",Excellent,8.8,3795.0,1.7,4,https://www.booking.com/hotel/tw/tou-deng-cang-fan-dian-lu-yuan-dao-guan.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4As6Y67AGwAIB0gIkOTI4Nzk2OTMtYTFhYS00ODA0LWIyOWQtYmQwOTFmOWU3MmE22AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=049e80a7c14002d0&srepoch=1713032272&all_sr_blocks=155620411_361698552_0_2_0&highlighted_blocks=155620411_361698552_0_2_0&matching_block_id=155620411_361698552_0_2_0&sr_pri_blocks=155620411_361698552_0_2_0__360000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.3,8.9,9.0,9.0,8.9,9.4
6,Akihabara Washington Hotel,Tokyo,Japan,Eastern Asia,Asia,"Chiyoda, Tokyo",Very Good,8.3,3368.0,4.2,3,https://www.booking.com/hotel/jp/akihabara-washington.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Ap2Y67AGwAIB0gIkYzlmMTIwMjktMmEzYS00NzI2LTk4YTgtNjVlZWNkMjZhZGYw2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=93c0808eb7b300b1&srepoch=1713032223&all_sr_blocks=25929537_206032434_0_2_0&highlighted_blocks=25929537_206032434_0_2_0&matching_block_id=25929537_206032434_0_2_0&sr_pri_blocks=25929537_206032434_0_2_0__1646730&from=searchresults#hotelTmpl,8.9,8.5,8.6,8.6,8.4,9.1
7,Andaz Xintiandi Shanghai-Free Minibar & Lounge Happy Hour,Shanghai,China,Eastern Asia,Asia,"Huangpu, Shanghai",Very Good,8.1,141.0,0.8,5,https://www.booking.com/hotel/cn/andaz-shanghai.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AqiY67AGwAIB0gIkNGU4ZjUzMjMtZGMxZS00MmQ4LTlhNjgtZjRjM2FjYThlMTFh2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=34a18094bf110156&srepoch=1713032233&all_sr_blocks=54224917_269951162_2_2_0&highlighted_blocks=54224917_269951162_2_2_0&matching_block_id=54224917_269951162_2_2_0&sr_pri_blocks=54224917_269951162_2_2_0__186560&nad_id=a9f321ac-ae07-403d-aa9d-bae388af6330_0&nad_cpc=0.5&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6ImFWY0daSlBTSGdkdURrNFdSMmtLNDFrQjNmN3lDby9RSTRaLzZwa1FtMlZBTXVaQmxMMzZWcXRkNi9QQS84czl5dkE2THpXemtLL1FDRTlUOFRyUGVIKzJjRHVMYmY2TW5pSHpmNTdBZ1ZLdU5uSkJzLy9MaWp3N1NDNHB1b0dEa09RU251UXZNd25SaGJxNnlpNmhaUGUrSi9iY3UrTFYvYXZUdlFpUXQ2OGVvNzIxUno1QkJjYXZ1dno4S1pCV0VBeGE0V0tKQ1lVMGp5aWNZTCt4OHp6Wmt0ZUdsMEtWcjhvckdvS3JhMFF2Z0t2TE4rSGJlbUk0bFdRUXZ1ZEMyWjIvMjZHdUwybzBFN3lNMGFzYVY2d1lrSlpFVGpZVjRXdEVkSEdMRDFIUEhqSUtWc29Id1Z5eEVYeTJTbXZNOVgwZGVmSXlmbjFwZUcyNkVkd1E0QUt1aWM0WHVLOXNCbWpObDZNR3VqczNYaDlJVkNHQ1NnMDI2a1QxajJWNm5FWlpXbmNPdGc5SnJ1UWp5SUZvQWxQZFNmcXV4aHBoaERNOEJGcklyTE5VU0xDS2pXNXEvbngxNzRTOC8vbS9FUHp1dFY0V1BlbU9NTmFyaEE5U2hZb3BOOGtIMFFVUzQ3akgwVVlGWmg3VEdseEhGckI5V0xjZ1ZqM2NrSHF1SEVuREJOTmtBNlhUMWZLdkREUXNBb3dvRVVISm5yMEFra3RkT2RlUXBvL2p5WnFFN2hIUlcyS2F6djBKVDZoeVFhMFFDZUlhYkYrbEZ1RG1keFpnUjhUamtIVWhKZHczbVMxVlp5NW1UcERFRlJOOFBWUkdjaC9td2tVU2s0RTQ1Y1FJMmR6Si9sYmEzbUlzdTFXZjVWelFieUloSlozSnlpWWZlcU9rNzBuaW9McXQ0dkxaalpmaFNDa1EwanE0Y2thY1o3RzNJcUhxZFJFandKb2tnaWtYYmVDYXREN1FzVlBjSVFsUEF0SW1iSTZZTTJyR3U5dVhWbkJLTVd4SExSRUtIdXRNYWZkNURUTGdmZWhUWlVFRkkzVWZuUnc4QzJTOC9RT294YXBRMEVNQWpIQ3cvVUp1K1kxOFFFUWtsMmF1WWtLZklhTU1GN0laM3Fwak5OeFRRdnUwNlBPTWROQjRPanJLK1JXL3owR2ZFT0dmMmpPOVMrK3VzWWhNS2ozWW5WV1hoM21aR0tKRVorT0FxWjROMXl2TFN6NmsxTTJ1M2JIZGU1enZXYVhNQ29Ic3hqOVdzdC9KNnI5L3U5RVp2TDJ6YUtKbFJVWmY5ZTVyRnNKYW81d29MQitxUU5zWUxkd2tRRmtmcSt1dnJSdDFOd1FIZmVNZlRJdytmR0Y5dU9ncGpoV05KdTZFbllpdDVHRXZTRVpXUW9OL1k0aXFVRVNTUVlZazBMeGM5aWFKV0hHcnNxWDhSQSt5ODdwQjRKSjFpcm4xYzQ2NlFuRWJFZE5SOEovWVFuWjJKbzBiT2lNaE8wMnUwYm9BQzRucVdrVm9OdUpJOWRvQ1owOE9uSEpUWUZFUE1udS9ValhYVDh5MFpGRGN5NlZIOW4xbVI3emNyZHBibXoyTjNvMjlYcGg5TmY2Qk5kM0pjMlhHTlYwWTRvNFZacUdFbHkzRjhYMndZQUZ4M3EwRis3STRDbGdiY1NYUFoyNVMrbTlwSENQd2dCb3dZSGR5bWo2ZDJ6RiswcXpZbkxNbTIwZnpzUTdwaG9pbGxWRm44ODNyRlB4VTl4aHg4aVJzSkFZZzFKcHBGeU85MVR3anlIRGhFaTRUWEN6REhDeXc4NTUxOWlSVVQyTXBiWDY5SVZaU1h2NHdvak1tdE5EOVhIMDB1S2Y2U0JGUlkvUkovMWhObVBuM0t0aVFmYzdoMnZVRGllS3ZCZVlVMkI3MUZIT0VKK3l6cDZkbXd5M3FDUDdlQUtxQlNHUGRPNTJHMG9sa3MvTnpPaGs3eXkrMktiSnRYSXNpQ2J6TzFJNE1zUFVHWHhhY09oM2JZY2lEZm1MclQrempzTDd1ZTFLYVNMOVlmb0Q0OXoybm1TSGFidmFybTdMN0xhQkllWk5DbnRhR24zcVk3a204MStTWWxWS0VDMTkydHZhbVo1d3BQUmhlRTNyYXpmcUttNzNjRTRZNzhucFgvV3dhL1NudEZzY1hBdEVDVE1LUWpGc2JEOVlEQnRWMnZVbmdZMjV6L0dpZXJncG1pSlIyNThsWnpMZFgvcmc4YjJFZ2xhYmZOdFJLRmhpUWk5RVFMMXNnVVdiNlNxSUJud2JBT09LNmtBMThiZkh1KytrKy9RVDZiRVY2bk5pR25CRVpkR3RDU3FYbzEwdjMvc2F6cUxrWk5MTnFNNWdWT2p3N3ZZQjE5ay9rc0ZVN1JUZmVCTTBmcU1oejNFMkcydzBDSkUxZVVsSEtGV2g2T25kVmJWT1lIODFiNjYzY24wQTcrLzh1M01peHhHZThReEw1dGNyQm45Q2lGNkZCc1RSeU10NDFaWnRuR01FOFBTSWs3L3VCMWttTThyTVRJK2JIMEhYbWpFT2R6NFQwT29ZK2JsNXhXMTZkaHp0RVJYMnlyRmhiTVdQZy9GMmJWLzdibmpQM3VOTm5Ma0hKclk5R05lZ1NFTWU4T0pOQ0ZqeDJmRGs5dUkydDhiYWtNbEFmNUNPVEpMRzRtd1o0UjkzZUNPT3dHWC9SZVRCd093ZlEvajlhWFhucldXeWV6R3dNemYyTWZUY29vbEdIZGtERWFydlNRMHdtcUtEV3hHVDJUcGxzcG5OeGxyTzhjWjdLTUlCVlErbXlvNTFUaUFoRGFPMFlOQys0dEx4TVc2QnRtaEFGc0hYYytrbFV1TWJZQ2tTSDZKVEVJVm9ZQXJnQTNpYXkzZW9YSVFQZ2diQzVRamJ3RGlTc215WktnbTllY0Nwa1NhdnpFM2wzZUtIN1dLWnVJNXZXTVZkQ0pDb2l4NUhrV2lCbUh3S05TT1lEejJVOFQ0MUV0OTJTWS9td044TDlMbEE1QllzTHY1bVlzZ1h4NmlmdlFNOXFzWHpkWVRKak1MYVBZZkQxdjE5Ry9kTHZyejlYM1VHbTVWdyt2UE1hQnBjSG5YTm1QNDhMNE5ncDhJSlNxQktMY0pvRFcwMWRWOFVqWVlsUE5kcnNFalRWTitPTllKSXNVeTR5aWRiQ203UVBHK0kvbWZvdWRDNXdXcWZEd1FyN1BTUnVSNWVWTG5TMGtCeGdHdHVWY1Z5d05uR09taTlSc1lPMU5CODlvQUZwend0d3NDMlVRa1BMWTFvTEt6RHczajFmbERUTmozaUVDRG11In0%3D&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.8,8.1,8.6,8.5,7.7,9.4
8,Arthur Hotel Luogang Guangzhou-Free Shuttle Bus For Canton Fair,Guangzhou,China,Eastern Asia,Asia,"Huang Pu, Guangzhou",Wonderful,9.0,13.0,14.7,4,https://www.booking.com/hotel/cn/yan-zhou-luo-gang-ke-xue-cheng-qi-shi-wu-yu-jiu-dian.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AsSY67AGwAIB0gIkNTllNWFiNzctZTFkOC00MGZiLTk5YmMtNzY5MzNkZmZkOTRl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=4a3b80a2f01601a6&srepoch=1713032262&all_sr_blocks=958499701_368431109_2_1_0&highlighted_blocks=958499701_368431109_2_1_0&matching_block_id=958499701_368431109_2_1_0&sr_pri_blocks=958499701_368431109_2_1_0__49588&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.2,9.4,9.2,9.2,9.6,8.5
9,Ascott Heng Shan Shanghai,Shanghai,China,Eastern Asia,Asia,"Xuhui, Shanghai",Review score,5.5,2.0,3.9,5,https://www.booking.com/hotel/cn/ascott-heng-shan-shanghai.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AqiY67AGwAIB0gIkNGU4ZjUzMjMtZGMxZS00MmQ4LTlhNjgtZjRjM2FjYThlMTFh2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=34a18094bf110156&srepoch=1713032233&all_sr_blocks=127326912_143115646_0_1_0&highlighted_blocks=127326912_143115646_0_1_0&matching_block_id=127326912_143115646_0_1_0&sr_pri_blocks=127326912_143115646_0_1_0__402800&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,5.0,6.3,6.3,6.3,3.8,6.3
