Unnamed: 0,Name,City,Country,Region,Continent,Location,Rating,Score,NbReviews,Distance from center,Stars,Url link,Staff_rating,Facilities_rating,Cleanliness_rating,Comfort_rating,Value_for_money_rating,Location_rating
0,AMOY by Far East Hospitality,Singapore,Singapore,South-Eastern Asia,Asia,"Chinatown, Singapore",Excellent,8.7,555.0,0.9,4,https://www.booking.com/hotel/sg/amoy-by-far-east-hospitality.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Ar6Z67AGwAIB0gIkNjQyMmFiOTAtOTU5YS00ODQyLThjMjItMzIyMjFlZDA0MWVm2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=faae80df70740287&srepoch=1713032383&all_sr_blocks=61387203_91476064_0_1_0&highlighted_blocks=61387203_91476064_0_1_0&matching_block_id=61387203_91476064_0_1_0&sr_pri_blocks=61387203_91476064_0_1_0__29136&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.6,8.6,9.0,8.9,8.1,9.7
1,ASTON Pasteur,Bandung,Indonesia,South-Eastern Asia,Asia,"Sukajadi, Bandung",Very Good,8.1,601.0,3.5,4,https://www.booking.com/hotel/id/aston-pasteur.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AsmZ67AGwAIB0gIkNGZiYzJiZGMtMmU3My00OTlmLTg2ZGUtMjI5NDhkNGNhZjAw2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=5a3f80e43cf0051e&srepoch=1713032394&all_sr_blocks=180316001_372183930_0_2_0&highlighted_blocks=180316001_372183930_0_2_0&matching_block_id=180316001_372183930_0_2_0&sr_pri_blocks=180316001_372183930_0_2_0__80000000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.8,8.1,8.4,8.3,8.2,8.4
2,Acorn Saigon Hotel - Bui Vien,Ho Chi Minh City,Vietnam,South-Eastern Asia,Asia,"District 1, Ho Chi Minh City",Good,7.6,597.0,0.6,3,https://www.booking.com/hotel/vn/acorn-amp-cafe-quan-1.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AvOZ67AGwAIB0gIkMzk2NjUyZDUtNDU2Yy00MTlmLWI4MmEtZThkZDY2OTdhZGZm2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=8a4080f9927d00e8&srepoch=1713032437&all_sr_blocks=914505905_382193019_2_0_0&highlighted_blocks=914505905_382193019_2_0_0&matching_block_id=914505905_382193019_2_0_0&sr_pri_blocks=914505905_382193019_2_0_0__44030000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.1,7.4,7.6,7.6,8.1,9.0
3,Adventure Hotel,Ho Chi Minh City,Vietnam,South-Eastern Asia,Asia,"District 1, Ho Chi Minh City",Excellent,8.8,37.0,0.2,3,https://www.booking.com/hotel/vn/adventure.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AvOZ67AGwAIB0gIkMzk2NjUyZDUtNDU2Yy00MTlmLWI4MmEtZThkZDY2OTdhZGZm2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=8a4080f9927d00e8&srepoch=1713032437&all_sr_blocks=1157048604_390325735_2_2_0&highlighted_blocks=1157048604_390325735_2_2_0&matching_block_id=1157048604_390325735_2_2_0&sr_pri_blocks=1157048604_390325735_2_2_0__63360000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.7,8.8,9.2,9.2,9.0,9.2
4,Ahyu Hotel,Kuala Lumpur,Malaysia,South-Eastern Asia,Asia,"Downtown Kuala Lumpur, Kuala Lumpur",Very Good,8.1,1366.0,1.2,2,https://www.booking.com/hotel/my/ahyu.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AsWZ67AGwAIB0gIkZWIyMDUxMjYtMDA0Ni00YjQ3LThmODYtMjkyMWE3NDI4Nzc12AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=f95780e270e10044&srepoch=1713032391&all_sr_blocks=268525306_265527329_0_0_0&highlighted_blocks=268525306_265527329_0_0_0&matching_block_id=268525306_265527329_0_0_0&sr_pri_blocks=268525306_265527329_0_0_0__14738&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.8,8.2,8.4,8.4,8.6,8.6
5,Airport Classic Hotel & Travel,Hanoi,Vietnam,South-Eastern Asia,Asia,Hanoi,Wonderful,9.0,773.0,19.8,3,https://www.booking.com/hotel/vn/airport-classi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AuyZ67AGwAIB0gIkMGViY2ExNjktODEyNS00YzI3LWE2NDUtNTE1M2IyNTcwNTI42AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=dac580f6b06001b6&srepoch=1713032430&all_sr_blocks=662180602_361393797_0_2_0&highlighted_blocks=662180602_361393797_0_2_0&matching_block_id=662180602_361393797_0_2_0&sr_pri_blocks=662180602_361393797_0_2_0__58850000&from=searchresults#hotelTmpl,9.7,8.9,9.3,9.2,9.4,9.0
6,All Seasons Jakarta Thamrin,Jakarta,Indonesia,South-Eastern Asia,Asia,"Central Jakarta, Jakarta",Good,7.8,579.0,0.7,3,https://www.booking.com/hotel/id/all-seasons-jakarta-thamrin.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AsyZ67AGwAIB0gIkMjMyZjEzYzktZGQxMC00NDQ2LTkyYmUtMTI1ZjBkYTg4YmQ52AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=deb980e6181a035b&srepoch=1713032398&all_sr_blocks=57950902_246010741_2_2_0&highlighted_blocks=57950902_246010741_2_2_0&matching_block_id=57950902_246010741_2_2_0&sr_pri_blocks=57950902_246010741_2_2_0__82885000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.7,7.7,8.1,8.0,7.900000000000001,9.1
7,Amara Hanoi Hotel,Hanoi,Vietnam,South-Eastern Asia,Asia,"Hoan Kiem, Hanoi",Wonderful,9.0,100.0,0.6,4,https://www.booking.com/hotel/vn/amara-hanoi.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AuyZ67AGwAIB0gIkMGViY2ExNjktODEyNS00YzI3LWE2NDUtNTE1M2IyNTcwNTI42AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=dac580f6b06001b6&srepoch=1713032430&all_sr_blocks=1160214501_388722588_2_0_0&highlighted_blocks=1160214501_388722588_2_0_0&matching_block_id=1160214501_388722588_2_0_0&sr_pri_blocks=1160214501_388722588_2_0_0__169001000&from=searchresults#hotelTmpl,9.7,8.9,9.1,9.3,9.1,9.6
8,Anumat Premium Budget Hotel,Chiang Mai,Thailand,South-Eastern Asia,Asia,"Phra Sing, Chiang Mai",Very Good,8.4,1507.0,0.6,3,https://www.booking.com/hotel/th/anumat-premium-budget.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AtSZ67AGwAIB0gIkN2FmNGMzZGMtY2RhMS00Zjc5LWI4MjUtMjM0MTRiY2E4NTg22AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=1d2680eafbbe021a&srepoch=1713032406&all_sr_blocks=428424404_386164476_2_0_0&highlighted_blocks=428424404_386164476_2_0_0&matching_block_id=428424404_386164476_2_0_0&sr_pri_blocks=428424404_386164476_2_0_0__102976&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.7,8.4,8.8,8.7,9.0,9.0
9,Aquarius Hotel and Urban Resort,Phnom Penh,Cambodia,South-Eastern Asia,Asia,"Daun Penh, Phnom Penh",Excellent,8.9,1506.0,1.1,4,https://www.booking.com/hotel/kh/aquarius-and-urban-resort-phnom-penh.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AviZ67AGwAIB0gIkN2YwYjlkNDgtZTg5ZS00MzkxLTk5NmItZTU5ZDU4Mzk5ZmE12AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=c9c280fc0c8e005c&srepoch=1713032442&all_sr_blocks=174232104_264938029_0_41_0&highlighted_blocks=174232104_264938029_0_41_0&matching_block_id=174232104_264938029_0_41_0&sr_pri_blocks=174232104_264938029_0_41_0__7200&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.4,9.0,9.1,9.1,8.9,9.2
