Unnamed: 0,Name,City,Country,Region,Continent,Location,Rating,Score,NbReviews,Distance from center,Stars,Url link,Staff_rating,Facilities_rating,Cleanliness_rating,Comfort_rating,Value_for_money_rating,Location_rating
0,1 Constitution Avenue by Goldfinch,Islamabad,Pakistan,Southern Asia,Asia,Islamabad,Good,7.6,57.0,0.3,3,https://www.booking.com/hotel/pk/neon.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Ap2Z67AGwAIB0gIkNmQ4ZWQwNzAtNGNiMC00YmQzLWFjZjEtNmY3ZTJmODhlMjJi2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=aab780ce7d0701e1&srepoch=1713032351&all_sr_blocks=912748602_386520163_2_0_0&highlighted_blocks=912748602_386520163_2_0_0&matching_block_id=912748602_386520163_2_0_0&sr_pri_blocks=912748602_386520163_2_0_0__4329000&from=searchresults#hotelTmpl,7.9,7.8,8.1,8.2,7.9,8.8
1,12th Avenue,Lahore,Pakistan,Southern Asia,Asia,Lahore,Good,7.9,344.0,13.1,3,https://www.booking.com/hotel/pk/12th-ave.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AqSZ67AGwAIB0gIkYWUwNThkMWMtYzk1Ny00NTQwLWE3NTEtZjU1ZGI4MDZlMjlj2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=4c1380d288080094&srepoch=1713032357&all_sr_blocks=421009823_285372846_1_1_0&highlighted_blocks=421009823_285372846_1_1_0&matching_block_id=421009823_285372846_1_1_0&sr_pri_blocks=421009823_285372846_1_1_0__892620&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.4,7.699999999999999,8.1,8.2,8.0,8.5
2,Abad Metro,Kochi,India,Southern Asia,Asia,"Ernakulam, Cochin",Very Good,8.1,871.0,1.1,2,https://www.booking.com/hotel/in/abad-metro.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AuuY67AGwAIB0gIkMTA2ZWI3YzgtODQwZS00MjU3LTk2ZjEtYzBkMjVjNzc0Mzcw2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=dc4f80b5fb6b0353&srepoch=1713032301&all_sr_blocks=28644904_386357131_1_42_0&highlighted_blocks=28644904_386357131_1_42_0&matching_block_id=28644904_386357131_1_42_0&sr_pri_blocks=28644904_386357131_1_42_0__224000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.9,7.900000000000001,8.4,8.3,8.3,9.0
3,Adarsh Hamilton,Bangalore,India,Southern Asia,Asia,Bangalore,Excellent,8.8,271.0,1.4,4,https://www.booking.com/hotel/in/adarsh-hamilton.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Av6Y67AGwAIB0gIkNTI2ZTkwYzUtYTRiZi00OTNjLWFjMDctYTMyNzI0ZWFhNTRi2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=17fc80be54300273&srepoch=1713032320&all_sr_blocks=31183702_374729758_1_41_0&highlighted_blocks=31183702_374729758_1_41_0&matching_block_id=31183702_374729758_1_41_0&sr_pri_blocks=31183702_374729758_1_41_0__770000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.3,8.8,9.1,9.0,8.9,8.9
4,Adarsh Palace Hotel,Bhopal,India,Southern Asia,Asia,Bhopal,Good,7.1,112.0,0.8,0,https://www.booking.com/hotel/in/adarsh-palace.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AoGZ67AGwAIB0gIkYmU4MDE4ZTEtM2NmOS00NjkyLThlZTMtMjBlMzM3ZTEzZDI52AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=99bc80c0cf1d01fb&srepoch=1713032323&all_sr_blocks=129254705_385314613_1_0_0&highlighted_blocks=129254705_385314613_1_0_0&matching_block_id=129254705_385314613_1_0_0&sr_pri_blocks=129254705_385314613_1_0_0__193220&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.2,7.3,7.4,7.5,7.4,5.7
5,Airport Hotel Asian Blue Luxury,Delhi,India,Southern Asia,Asia,"South West, New Delhi",Good,7.2,239.0,14.7,4,https://www.booking.com/hotel/in/airport-clayton.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AomZ67AGwAIB0gIkMDVmODI5YmEtMTk1Yy00MTRkLTk1MGQtMDAzOGM0ZGY5MDBm2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=e45d80c461ed01d9&srepoch=1713032331&all_sr_blocks=942890904_366479410_1_41_0&highlighted_blocks=942890904_366479410_1_41_0&matching_block_id=942890904_366479410_1_41_0&sr_pri_blocks=942890904_366479410_1_41_0__66655&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.2,7.9,8.1,8.1,8.2,8.2
6,Alpha Guest House,Rawalpindi,Pakistan,Southern Asia,Asia,Rawalpindi,Exceptional,10.0,37.0,7.3,4,https://www.booking.com/hotel/pk/alpha-guest-house-islamabad.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AqeZ67AGwAIB0gIkYmI1MjRkYTUtYTQxMC00NzgzLWIyNWYtOTJhNDk4NGJlOTk52AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=164a80d36a1001e8&srepoch=1713032361&all_sr_blocks=702533401_358160528_1_42_0&highlighted_blocks=702533401_358160528_1_42_0&matching_block_id=702533401_358160528_1_42_0&sr_pri_blocks=702533401_358160528_1_42_0__666900&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.8,9.8,10.0,9.9,9.9,9.5
7,Amahi Inn,Gurgaon,India,Southern Asia,Asia,"Sector 40 - 44, Gurgaon",Very Good,8.4,168.0,0.7,3,https://www.booking.com/hotel/in/amahi-inn-gurugram.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AoyZ67AGwAIB0gIkM2M5NzAxNzYtY2ZhMy00Y2MwLWI1ZGItNzc4Y2M2ODlkNmE32AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=e7ba80c6b7f300c1&srepoch=1713032333&all_sr_blocks=978322102_370223391_0_42_0&highlighted_blocks=978322102_370223391_0_42_0&matching_block_id=978322102_370223391_0_42_0&sr_pri_blocks=978322102_370223391_0_42_0__388003&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.6,8.4,8.7,8.7,8.5,8.5
8,Ambiance Boutique Art Hotel Karachi,Karachi,Pakistan,Southern Asia,Asia,"Clifton, Karachi",Wonderful,9.2,269.0,5.3,5,https://www.booking.com/hotel/pk/ambiance-boutique-art.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AqGZ67AGwAIB0gIkMGFiZWMzNjMtNDFjOS00Y2M4LThmODctZjZkMmFiYjlmODUy2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=7d1580d080ec0216&srepoch=1713032354&all_sr_blocks=900851001_384111672_1_1_0&highlighted_blocks=900851001_384111672_1_1_0&matching_block_id=900851001_384111672_1_1_0&sr_pri_blocks=900851001_384111672_1_1_0__4068000&from=searchresults#hotelTmpl,9.6,9.2,9.4,9.4,8.9,9.4
9,Ambiance Boutique Art Hotel Lahore,Lahore,Pakistan,Southern Asia,Asia,"Gulberg, Lahore",Wonderful,9.4,990.0,5.3,5,https://www.booking.com/hotel/pk/ambiance.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AqSZ67AGwAIB0gIkYWUwNThkMWMtYzk1Ny00NTQwLWE3NTEtZjU1ZGI4MDZlMjlj2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=4c1380d288080094&srepoch=1713032357&all_sr_blocks=687706302_391191670_1_1_0&highlighted_blocks=687706302_391191670_1_1_0&matching_block_id=687706302_391191670_1_1_0&sr_pri_blocks=687706302_391191670_1_1_0__2662200&from=searchresults#hotelTmpl,9.6,9.3,9.5,9.5,9.2,9.4
