Unnamed: 0,Name,City,Country,Region,Continent,Location,Rating,Score,NbReviews,Distance from center,Stars,Url link,Staff_rating,Facilities_rating,Cleanliness_rating,Comfort_rating,Value_for_money_rating,Location_rating
0,2 Bedrooms Apartment in Centre With Balcony,Yerevan,Armenia,Western Asia,Asia,Yerevan,Exceptional,10.0,2.0,0.3,0,https://www.booking.com/hotel/am/2-bedrooms-apartment-in-centre-with-balcony.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Atjb67AGwAIB0gIkZmQ5YWNjMWQtNWE0OS00NDNkLTk2MmUtZmFkOGZmMzcyMTYx2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=d376916ce85001ad&srepoch=1713040858&all_sr_blocks=1144091701_387259702_1_0_0&highlighted_blocks=1144091701_387259702_1_0_0&matching_block_id=1144091701_387259702_1_0_0&sr_pri_blocks=1144091701_387259702_1_0_0__2576000&from=searchresults#hotelTmpl,10.0,10.0,10.0,10.0,10.0,10.0
1,22 R1 Single 1 Master Room in 3 bedroom apartment with attached washroom and with fantastic city view 22 R1 غرفة مفردة 1 رئيسية في شقة مكونة من 3 غرف نوم مع حمام ملحق وإطلالة رائعة على المدينة,Ajman,United Arab Emirates,Western Asia,Asia,Ajman,Wonderful,9.3,4.0,2.6,0,https://www.booking.com/hotel/ae/seaview-room-in-3-bedroom-apartment-ft2403-r1-with-seperate-washroom-and-balcony.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Ar7b67AGwAIB0gIkZDVmMWEzNGItMjU5ZC00MWVjLWExNmEtMmRjZTQwNWJiYjBl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=ab30915fe12a0063&srepoch=1713040832&all_sr_blocks=1126346001_385290966_0_0_0&highlighted_blocks=1126346001_385290966_0_0_0&matching_block_id=1126346001_385290966_0_0_0&sr_pri_blocks=1126346001_385290966_0_0_0__32709&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.0,9.0,9.0,8.5,8.5,9.5
2,A Little House In Rechavia,Jerusalem,Israel,Western Asia,Asia,"West Jerusalem, Jerusalem",Good,7.5,339.0,0.6,0,https://www.booking.com/hotel/il/a-little-house-in-rechavia.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4At_b67AGwAIB0gIkMTJjOTgzNjMtYjM2ZC00MGU3LTlkMmEtNjBjODk4OWUxMzA52AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=7493916f77820155&srepoch=1713040864&all_sr_blocks=2197104_373397001_0_1_0&highlighted_blocks=2197104_373397001_0_1_0&matching_block_id=2197104_373397001_0_1_0&sr_pri_blocks=2197104_373397001_0_1_0__37629&from=searchresults#hotelTmpl,8.2,7.1,7.6,7.5,7.6,9.2
3,AEF Hotel and Restaurants,Baku,Azerbaijan,Western Asia,Asia,"Sabayil , Baku",Very Good,8.3,3.0,4.1,4,https://www.booking.com/hotel/az/aef-and-restaurants.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Aqjb67AGwAIB0gIkNmI5MTFjZmItNTkwYy00ZjdkLWJhN2UtMjFmYTUzZTIwYzdm2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=9c58915496c7008d&srepoch=1713040810&all_sr_blocks=1074797105_391243100_1_41_0&highlighted_blocks=1074797105_391243100_1_41_0&matching_block_id=1074797105_391243100_1_41_0&sr_pri_blocks=1074797105_391243100_1_41_0__54000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,,,,,
4,Abraham Tel Aviv,Tel Aviv-Yafo,Israel,Western Asia,Asia,"Tel Aviv City-Centre, Tel Aviv",Very Good,8.4,2864.0,1.7,0,https://www.booking.com/hotel/il/abraham-hostel-tel-aviv.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AuLb67AGwAIB0gIkNDM5OTdiMTQtMjJiMS00ZTUwLTkwNzUtNGQzMmQwYWFmNzdh2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=18679171ff4d0293&srepoch=1713040868&all_sr_blocks=171341606_241653925_0_1_0&highlighted_blocks=171341606_241653925_0_1_0&matching_block_id=171341606_241653925_0_1_0&sr_pri_blocks=171341606_241653925_0_1_0__12600&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.0,8.4,8.4,8.3,8.4,9.1
5,Ada Hotel Istanbul,Istanbul,Turkey,Western Asia,Asia,"Fatih, Istanbul",Wonderful,9.0,1470.0,0.4,0,https://www.booking.com/hotel/tr/ada-istanbul.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ApDb67AGwAIB0gIkOWI1NjVjYzUtNDI3Yi00ZDZmLTk0OWQtNDljYWQzMDIwYTIy2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=d6a691489d120009&srepoch=1713040786&all_sr_blocks=18661119_88796361_2_1_0&highlighted_blocks=18661119_88796361_2_1_0&matching_block_id=18661119_88796361_2_1_0&sr_pri_blocks=18661119_88796361_2_1_0__5979&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.6,8.9,9.3,9.2,9.1,9.5
6,Agora Park Hotel,Izmir,Turkey,Western Asia,Asia,"Konak, İzmir",Review score,4.7,42.0,0.5,0,https://www.booking.com/hotel/tr/agora-park-otel.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ApXb67AGwAIB0gIkYThjYjg4YjctMTIwNC00OGJkLWIzMWQtZmMwZGNiM2ViZWMx2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=4d3d914ac1080200&srepoch=1713040790&all_sr_blocks=209981601_195384733_1_0_0&highlighted_blocks=209981601_195384733_1_0_0&matching_block_id=209981601_195384733_1_0_0&sr_pri_blocks=209981601_195384733_1_0_0__2250&from=searchresults#hotelTmpl,7.4,5.0,5.0,4.8,5.6,6.7
7,Ahjar hostel only ladies,Muscat,Oman,Western Asia,Asia,Muscat,Very Good,8.5,6.0,13.6,3,https://www.booking.com/hotel/om/ahjar-muscat.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AtTb67AGwAIB0gIkZjQ0ODE5ODctMTIyOC00OGNjLTk0OWYtNzVhMmU4YTExMTJk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=4cd1916a13fd003c&srepoch=1713040854&all_sr_blocks=1099072201_382770722_6_0_0&highlighted_blocks=1099072201_382770722_6_0_0&matching_block_id=1099072201_382770722_6_0_0&sr_pri_blocks=1099072201_382770722_6_0_0__500&from=searchresults#hotelTmpl,8.8,8.8,8.8,8.8,9.6,8.3
8,Ajax Hotel,Limassol,Cyprus,Western Asia,Asia,Limassol,Very Good,8.5,3178.0,3.1,4,https://www.booking.com/hotel/cy/ajaxhotelmesayeitonia.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4As3b67AGwAIB0gIkZDE5ZmMzZjUtNWJiMy00Nzc5LWE5YTAtYThkN2RhZDIzNDg42AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=cf5b916672bb004c&srepoch=1713040846&all_sr_blocks=1705326_105945061_1_41_0&highlighted_blocks=1705326_105945061_1_41_0&matching_block_id=1705326_105945061_1_41_0&sr_pri_blocks=1705326_105945061_1_41_0__10830&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.0,8.6,9.0,8.9,8.5,8.3
9,"Ajman Saray, a Luxury Collection Resort, Ajman",Ajman,United Arab Emirates,Western Asia,Asia,Ajman,Excellent,8.7,1441.0,3.0,5,https://www.booking.com/hotel/ae/ajman-saray-a-luxury-collection-resort.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Ar7b67AGwAIB0gIkZDVmMWEzNGItMjU5ZC00MWVjLWExNmEtMmRjZTQwNWJiYjBl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=ab30915fe12a0063&srepoch=1713040832&all_sr_blocks=85785506_94552247_3_42_0&highlighted_blocks=85785506_94552247_3_42_0&matching_block_id=85785506_94552247_3_42_0&sr_pri_blocks=85785506_94552247_3_42_0__107100&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.0,8.9,9.0,9.1,8.1,8.9
