Unnamed: 0,Name,City,Country,Region,Continent,Location,Rating,Score,NbReviews,Distance from center,Stars,Url link,Staff_rating,Facilities_rating,Cleanliness_rating,Comfort_rating,Value_for_money_rating,Location_rating
0,#8 Apartments,Odessa (Odesa),Ukraine,Eastern Europe,Europe,"Primorsky, Odesa",Good,7.9,677.0,1.5,3,https://www.booking.com/hotel/ua/8apartments.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AtWb67AGwAIB0gIkYWNiNGU2ZGUtOTlkYy00ZmM2LTkxNDktN2VjODQxMjE1Njk02AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=c6f7816a0ff900e3&srepoch=1713032663&all_sr_blocks=499110401_337621313_0_0_0&highlighted_blocks=499110401_337621313_0_0_0&matching_block_id=499110401_337621313_0_0_0&sr_pri_blocks=499110401_337621313_0_0_0__70000&from=searchresults#hotelTmpl,8.2,7.8,8.2,8.1,8.3,9.0
1,-- ESTE PARK HOTEL -- part of Urban Chic Luxury Design Hotels - Parking & Compliments - next to Shopping & Dining Mall Plovdiv,Plovdiv,Bulgaria,Eastern Europe,Europe,Plovdiv,Exceptional,9.7,989.0,2.9,4,https://www.booking.com/hotel/bg/este-park.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4At2b67AGwAIB0gIkYTdjOTEwZTQtYjMxYy00NjZjLWEzZjQtYjY3NTQwNmJiNjM22AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=82be816e1c2f02e4&srepoch=1713032670&all_sr_blocks=907426102_370027227_2_2_0&highlighted_blocks=907426102_370027227_2_2_0&matching_block_id=907426102_370027227_2_2_0&sr_pri_blocks=907426102_370027227_2_2_0__16405&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.7,9.7,9.9,9.8,9.6,9.3
2,"10 Seconds Away from the Main street, Free Secured Parking",Sofia,Bulgaria,Eastern Europe,Europe,"Centrum, Sofia",Very Good,8.0,34.0,0.9,3,https://www.booking.com/hotel/bg/10-seconds-away-from-the-main-street-free-parking.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AuCb67AGwAIB0gIkODA2OGRkZWUtNzQ2ZS00M2MzLWEyZDgtMTZmODRmZTNkMDA42AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=26dd8170301401c4&srepoch=1713032674&all_sr_blocks=1068572801_379338561_2_0_0&highlighted_blocks=1068572801_379338561_2_0_0&matching_block_id=1068572801_379338561_2_0_0&sr_pri_blocks=1068572801_379338561_2_0_0__38751&from=searchresults#hotelTmpl,8.6,7.9,7.9,8.1,8.7,9.9
3,12th Floor Apartments,Odessa (Odesa),Ukraine,Eastern Europe,Europe,"Primorsky, Odesa",Wonderful,9.2,423.0,6.1,4,https://www.booking.com/hotel/ua/12-th-floor-odessa.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AtWb67AGwAIB0gIkYWNiNGU2ZGUtOTlkYy00ZmM2LTkxNDktN2VjODQxMjE1Njk02AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=c6f7816a0ff900e3&srepoch=1713032663&all_sr_blocks=101229701_271832466_1_2_0&highlighted_blocks=101229701_271832466_1_2_0&matching_block_id=101229701_271832466_1_2_0&sr_pri_blocks=101229701_271832466_1_2_0__133000&from=searchresults#hotelTmpl,9.3,9.2,9.3,9.4,9.1,9.3
4,3 rooms apartment Palace View,Iasi,Romania,Eastern Europe,Europe,Iaşi,Wonderful,9.1,59.0,1.2,4,https://www.booking.com/hotel/ro/3-rooms-apartment-palace-view.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Ar-b67AGwAIB0gIkMWE3MmM4YWEtYTQ2YS00ZDdlLWI1YjItOWM3OWIwMDI1ZTIx2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=43e0815f799301b6&srepoch=1713032641&all_sr_blocks=1015229801_374053202_2_0_0&highlighted_blocks=1015229801_374053202_2_0_0&matching_block_id=1015229801_374053202_2_0_0&sr_pri_blocks=1015229801_374053202_2_0_0__32490&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.2,9.1,9.1,9.1,9.3,9.5
5,5 Stars High Hostel,Bucharest,Romania,Eastern Europe,Europe,"Sector 1, Bucharest",Excellent,8.6,831.0,1.8,0,https://www.booking.com/hotel/ro/5-stars-high-hostel.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Arib67AGwAIB0gIkMmU3OThmYWEtOTZjZS00OTQ4LWExYjItOTkxZDQzMGM1Y2U42AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=0e0a815c930c059b&srepoch=1713032634&all_sr_blocks=781578701_337595380_0_2_0&highlighted_blocks=781578701_337595380_0_2_0&matching_block_id=781578701_337595380_0_2_0&sr_pri_blocks=781578701_337595380_0_2_0__13528&from=searchresults#hotelTmpl,9.4,8.3,8.7,8.5,8.9,9.0
6,60m2 Old Town,Rzeszow,Poland,Eastern Europe,Europe,Rzeszów,Good,7.8,29.0,0.2,3,https://www.booking.com/hotel/pl/60m2-old-town.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AqWb67AGwAIB0gIkODE1YTI4NDEtNDQzMS00OTY0LWJhYzUtMmMwY2E1NzY2Njdi2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=f9358152899b01fb&srepoch=1713032615&all_sr_blocks=1046274101_376935967_1_0_0&highlighted_blocks=1046274101_376935967_1_0_0&matching_block_id=1046274101_376935967_1_0_0&sr_pri_blocks=1046274101_376935967_1_0_0__34680&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.7,8.4,7.4,8.0,8.2,9.7
7,AL-Tour,Gdynia,Poland,Eastern Europe,Europe,Gdynia,Excellent,8.7,1339.0,0.9,0,https://www.booking.com/hotel/pl/al-tour.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Apeb67AGwAIB0gIkZGI2NzNhMDItMmZiYi00ZGNlLTk1OTUtMTI2ZThlZjdmMzVj2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=47b0814bd1f40046&srepoch=1713032601&all_sr_blocks=57104002_89093392_1_2_0&highlighted_blocks=57104002_89093392_1_2_0&matching_block_id=57104002_89093392_1_2_0&sr_pri_blocks=57104002_89093392_1_2_0__13680&from=searchresults#hotelTmpl,9.3,8.7,9.1,8.6,9.1,9.4
8,AMADA CITY CENTER,Iasi,Romania,Eastern Europe,Europe,Iaşi,Exceptional,9.6,699.0,0.5,3,https://www.booking.com/hotel/ro/amada-city-center.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Ar-b67AGwAIB0gIkMWE3MmM4YWEtYTQ2YS00ZDdlLWI1YjItOWM3OWIwMDI1ZTIx2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=43e0815f799301b6&srepoch=1713032641&all_sr_blocks=894578401_360587311_2_42_0&highlighted_blocks=894578401_360587311_2_42_0&matching_block_id=894578401_360587311_2_42_0&sr_pri_blocks=894578401_360587311_2_42_0__24192&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.7,9.7,9.8,9.7,9.6,9.5
9,ANNA GYÖNGYE APARTMAN DEBRECEN,Debrecen,Hungary,Eastern Europe,Europe,Debrecen,Exceptional,9.9,93.0,0.4,4,https://www.booking.com/hotel/hu/anna-gyongye-apartman-debrecen.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Aoqb67AGwAIB0gIkZjZjOGFiYjEtZGVhMS00ZjRmLWI5ZTctN2JiYjBiMGIxOWRm2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=a97781451b92001e&srepoch=1713032588&all_sr_blocks=788208401_369075876_2_0_0&highlighted_blocks=788208401_369075876_2_0_0&matching_block_id=788208401_369075876_2_0_0&sr_pri_blocks=788208401_369075876_2_0_0__17524&from=searchresults#hotelTmpl,9.9,9.9,9.9,9.9,9.9,9.9
