Unnamed: 0,Name,City,Country,Region,Continent,Location,Rating,Score,NbReviews,Distance from center,Stars,Url link,Staff_rating,Facilities_rating,Cleanliness_rating,Comfort_rating,Value_for_money_rating,Location_rating
0,1 Castle Yard,Coventry,United Kingdom,Northern Europe,Europe,"Coventry City Centre, Coventry",Good,7.8,856.0,0.1,3,https://www.booking.com/hotel/gb/1-castle-yard.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AqGc67AGwAIB0gIkN2Y1MjAzNjEtZGJlMS00NzJjLTlkNWItNmM5YWU0NGQzNmUy2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=2182819035f70129&srepoch=1713032738&all_sr_blocks=738973708_387435922_1_0_0&highlighted_blocks=738973708_387435922_1_0_0&matching_block_id=738973708_387435922_1_0_0&sr_pri_blocks=738973708_387435922_1_0_0__5850&from=searchresults#hotelTmpl,8.1,8.2,8.6,8.6,8.4,9.0
1,100 Iceland Hotel,Reykjavik,Iceland,Northern Europe,Europe,"Reykjavík 101, Reykjavík",Good,7.4,2140.0,1.2,0,https://www.booking.com/hotel/is/100-iceland.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AuSc67AGwAIB0gIkMWQyMDc3NGYtNjhkNC00YWZmLTk0MmItNmE2ODJhOGIyZGVh2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=cd7f81b2b4f30174&srepoch=1713032806&all_sr_blocks=126135201_89110155_1_0_0&highlighted_blocks=126135201_89110155_1_0_0&matching_block_id=126135201_89110155_1_0_0&sr_pri_blocks=126135201_89110155_1_0_0__12546&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,7.6,7.0,7.7,7.6,7.6,9.2
2,101 Guesthouse Hotel,Reykjavik,Iceland,Northern Europe,Europe,"Reykjavík 101, Reykjavík",Good,7.5,2020.0,1.2,3,https://www.booking.com/hotel/is/101-guesthouse-reykjavik.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AuSc67AGwAIB0gIkMWQyMDc3NGYtNjhkNC00YWZmLTk0MmItNmE2ODJhOGIyZGVh2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=cd7f81b2b4f30174&srepoch=1713032806&all_sr_blocks=30019301_91919745_1_2_0&highlighted_blocks=30019301_91919745_1_2_0&matching_block_id=30019301_91919745_1_2_0&sr_pri_blocks=30019301_91919745_1_2_0__9720&from=searchresults#hotelTmpl,8.5,7.2,7.6,7.6,7.6,9.1
3,3 Luxury En-suite Bedrooms,Cardiff,United Kingdom,Northern Europe,Europe,"Cardiff Outskirts, Cardiff",Excellent,8.7,716.0,1.7,0,https://www.booking.com/hotel/gb/2-luxury-ensuite-bedrooms.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Ap2c67AGwAIB0gIkZDhlYjRmMjctMTJkYy00Njg4LWFlZjQtZTY3NzYwNTRiOWIw2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=efcf818e7a6406ca&srepoch=1713032735&all_sr_blocks=240378905_232663767_0_0_0&highlighted_blocks=240378905_232663767_0_0_0&matching_block_id=240378905_232663767_0_0_0&sr_pri_blocks=240378905_232663767_0_0_0__12900&from=searchresults#hotelTmpl,9.4,8.8,9.2,9.1,8.9,9.2
4,3BED Maisonette Near CityCentre,Birmingham,United Kingdom,Northern Europe,Europe,"Birmingham City Centre, Birmingham",Wonderful,9.0,29.0,1.5,0,https://www.booking.com/hotel/gb/3bed-maisonette-near-citycentre.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Ao-c67AGwAIB0gIkOTAxZjExMjktZjFjMy00YjA5LWEyN2QtOTIxYWRkMjk1Y2Qw2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=4be38187420c05ba&srepoch=1713032721&all_sr_blocks=1144407502_391250101_2_0_0&highlighted_blocks=1144407502_391250101_2_0_0&matching_block_id=1144407502_391250101_2_0_0&sr_pri_blocks=1144407502_391250101_2_0_0__5485&from=searchresults#hotelTmpl,9.7,9.2,9.2,9.3,9.3,8.4
5,4 mereside walk,Manchester,United Kingdom,Northern Europe,Europe,Manchester,Excellent,8.9,29.0,2.2,0,https://www.booking.com/hotel/gb/4-mereside-walk.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Arqc67AGwAIB0gIkMTA1MzMyMzYtM2Q3Ny00ODkyLWE2NTctNzYzNzA5Y2QxZDcw2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=49fd819df5ee012c&srepoch=1713032764&all_sr_blocks=1054204001_377606173_1_0_0&highlighted_blocks=1054204001_377606173_1_0_0&matching_block_id=1054204001_377606173_1_0_0&sr_pri_blocks=1054204001_377606173_1_0_0__5400&from=searchresults#hotelTmpl,9.5,8.7,8.4,8.7,9.1,8.8
6,50m2 Apartment FREE Parking + Laundry 20min Center,Espoo,Finland,Northern Europe,Europe,Espoo,Review score,6.1,8.0,2.6,0,https://www.booking.com/hotel/fi/50m2-apartment-free-parking-laundry-20min-center.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Avyb67AGwAIB0gIkNmM1NDUxN2ItMjJjYS00MmRhLWJjMjgtNTllYjIwZWVkNWRm2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=e982817e63ea0005&srepoch=1713032702&all_sr_blocks=1146500901_387472048_2_0_0&highlighted_blocks=1146500901_387472048_2_0_0&matching_block_id=1146500901_387472048_2_0_0&sr_pri_blocks=1146500901_387472048_2_0_0__5000&from=searchresults#hotelTmpl,8.4,6.3,5.6,5.0,6.9,7.8
7,A & B Guest House Cambridge Ltd,Cambridge,United Kingdom,Northern Europe,Europe,Cambridge,Very Good,8.3,1569.0,1.3,3,https://www.booking.com/hotel/gb/a-b-guest-house.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Apqc67AGwAIB0gIkMmNjN2MyNWUtMzY5ZS00ZTEzLWEzYWItZTVmMjhiMDkxODM12AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=888f818d6fcf014e&srepoch=1713032731&all_sr_blocks=28126213_93884491_1_0_0&highlighted_blocks=28126213_93884491_1_0_0&matching_block_id=28126213_93884491_1_0_0&sr_pri_blocks=28126213_93884491_1_0_0__4600&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.1,8.2,9.2,8.8,8.6,9.2
8,"A Place To Stay Stavanger, apartment 2",Stavanger,Norway,Northern Europe,Europe,Stavanger,Excellent,8.8,108.0,0.4,3,https://www.booking.com/hotel/no/leilighet-3-min-gange-fra-stavanger-sentrum-stavanger.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Avmb67AGwAIB0gIkNWE3OTI2MjctNDNiNC00NjY5LWFhYmYtYTFhMGMwYTNkNzdi2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=8b1e817ce38e01ca&srepoch=1713032699&all_sr_blocks=817487801_344256725_1_0_0&highlighted_blocks=817487801_344256725_1_0_0&matching_block_id=817487801_344256725_1_0_0&sr_pri_blocks=817487801_344256725_1_0_0__225500&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.2,9.1,9.3,9.3,8.7,9.2
9,AC Hotel by Marriott Belfast,Belfast,United Kingdom,Northern Europe,Europe,"Cathedral Quarter, Belfast",Very Good,8.5,3369.0,1.1,4,https://www.booking.com/hotel/gb/ac-by-marriott-belfast.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Aoec67AGwAIB0gIkNTFmMTNlMGUtMWZhOS00Yzk3LWIyNWMtYzVkMGI2MDc2Y2Zh2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=88938183f5ec0083&srepoch=1713032713&all_sr_blocks=324695702_114802992_0_34_0&highlighted_blocks=324695702_114802992_0_34_0&matching_block_id=324695702_114802992_0_34_0&sr_pri_blocks=324695702_114802992_0_34_0__16110&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.0,8.8,9.0,9.0,8.2,9.1
