Unnamed: 0,Name,City,Country,Region,Continent,Location,Rating,Score,NbReviews,Distance from center,Stars,Url link,Staff_rating,Facilities_rating,Cleanliness_rating,Comfort_rating,Value_for_money_rating,Location_rating
0,1926 Le Soleil Hotel & Spa,Sliema,Malta,Southern Europe,Europe,Sliema,Excellent,8.7,5218.0,0.7,4,https://www.booking.com/hotel/mt/1926-sliema.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4At2d67AGwAIB0gIkZjZkMzhiZjgtY2Q2ZS00NzM3LTk3NWUtMTI5ZDYzMWU3MTI52AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=44c281ee98840153&srepoch=1713032927&all_sr_blocks=284207228_255041093_2_2_0&highlighted_blocks=284207228_255041093_2_2_0&matching_block_id=284207228_255041093_2_2_0&sr_pri_blocks=284207228_255041093_2_2_0__8550&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.4,8.8,9.2,9.2,8.6,8.9
1,2 bedroom Centre apartment,Podgorica,Montenegro,Southern Europe,Europe,Podgorica,Good,7.5,99.0,0.8,3,https://www.booking.com/hotel/me/stan-podgorica-podgorica1.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Apid67AGwAIB0gIkNjY2OTdlYTItOWMxZS00YWY5LTgwNWQtODMxZDkwNWRjOTk22AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=4ad681cc690001af&srepoch=1713032858&all_sr_blocks=262098701_373982355_6_0_0&highlighted_blocks=262098701_373982355_6_0_0&matching_block_id=262098701_373982355_6_0_0&sr_pri_blocks=262098701_373982355_6_0_0__5090&from=searchresults#hotelTmpl,8.6,7.4,7.6,7.9,8.1,8.9
2,21 House of Stories Città Studi,Milan,Italy,Southern Europe,Europe,"Città Studi, Milan",Wonderful,9.1,5187.0,2.9,3,https://www.booking.com/hotel/it/21wol-milano-centro.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AoKd67AGwAIB0gIkYmQ1NjdmMmUtY2QwYi00MmZjLTlkZjItMDVhNzhmODExMDI22AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=6a7f81c1c28f00b1&srepoch=1713032836&all_sr_blocks=521990401_182686817_1_1_0&highlighted_blocks=521990401_182686817_1_1_0&matching_block_id=521990401_182686817_1_1_0&sr_pri_blocks=521990401_182686817_1_1_0__8845&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.6,9.3,9.5,9.4,8.9,8.6
3,3Jolie,Verona,Italy,Southern Europe,Europe,"Città Antica, Verona",Good,7.5,994.0,0.6,0,https://www.booking.com/hotel/it/threejolie.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ApOd67AGwAIB0gIkNGQxZTY2NTQtYzRkZS00OTZjLWI2OGEtMjE1NDZkN2I5MWJi2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=1d2681c92b1f00a7&srepoch=1713032852&all_sr_blocks=42703108_91990437_0_0_0&highlighted_blocks=42703108_91990437_0_0_0&matching_block_id=42703108_91990437_0_0_0&sr_pri_blocks=42703108_91990437_0_0_0__6250&from=searchresults#hotelTmpl,8.2,7.400000000000001,8.0,7.900000000000001,7.7,8.9
4,4 Bears Sharehome,Madrid,Spain,Southern Europe,Europe,"Madrid City Center, Madrid",Wonderful,9.1,21.0,0.6,0,https://www.booking.com/hotel/es/4-bears-sharehome.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Aqmd67AGwAIB0gIkNTQ1ZTNkM2EtNmU1OC00YTNmLWFiNjktNTJmMTNmZTBmZjVm2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=178c81d42e5300b4&srepoch=1713032875&all_sr_blocks=1176117805_390147018_1_0_0&highlighted_blocks=1176117805_390147018_1_0_0&matching_block_id=1176117805_390147018_1_0_0&sr_pri_blocks=1176117805_390147018_1_0_0__5551&from=searchresults#hotelTmpl,8.9,9.3,9.8,9.5,9.0,10.0
5,4th FLOOR ROOMS,Turin,Italy,Southern Europe,Europe,Turin,Very Good,8.4,37.0,4.0,3,https://www.booking.com/hotel/it/4th-floor-rooms.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ApCd67AGwAIB0gIkZTJjNzkzM2ItODI1NC00YzU1LTgzZGEtMzI2MTI0Y2JhZjA12AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=430381c8e4b30391&srepoch=1713032850&all_sr_blocks=1105725102_386275119_1_0_0&highlighted_blocks=1105725102_386275119_1_0_0&matching_block_id=1105725102_386275119_1_0_0&sr_pri_blocks=1105725102_386275119_1_0_0__8780&from=searchresults#hotelTmpl,9.1,8.5,9.1,9.1,8.9,7.2
6,7 Hills Suites,Podgorica,Montenegro,Southern Europe,Europe,Podgorica,Very Good,8.0,1040.0,0.1,4,https://www.booking.com/hotel/me/seven-hills-bed-amp-bike.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Apid67AGwAIB0gIkNjY2OTdlYTItOWMxZS00YWY5LTgwNWQtODMxZDkwNWRjOTk22AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=4ad681cc690001af&srepoch=1713032858&all_sr_blocks=143749201_87123210_0_0_0&highlighted_blocks=143749201_87123210_0_0_0&matching_block_id=143749201_87123210_0_0_0&sr_pri_blocks=143749201_87123210_0_0_0__5400&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.4,8.0,8.4,8.3,8.6,9.5
7,7PocketHouse,Thessaloniki,Greece,Southern Europe,Europe,"Ano Poli, Thessaloniki",Excellent,8.8,496.0,1.2,3,https://www.booking.com/hotel/gr/7pockethouse-thessalonike.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Asqd67AGwAIB0gIkMTMzMDk5ZWUtMjU5NC00ZGJmLTg5NzktN2JiODUwMmU1MTQy2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=a9be81e5bf0e004b&srepoch=1713032907&all_sr_blocks=630984108_365325198_2_0_0&highlighted_blocks=630984108_365325198_2_0_0&matching_block_id=630984108_365325198_2_0_0&sr_pri_blocks=630984108_365325198_2_0_0__6050&from=searchresults#hotelTmpl,9.0,8.7,9.0,8.9,9.1,8.8
8,A Casa di Amici,Palermo,Italy,Southern Europe,Europe,Palermo,Wonderful,9.0,1698.0,0.6,0,https://www.booking.com/hotel/it/a-casa-di-amici-hostel-and-guest-house.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Aoud67AGwAIB0gIkOWI4MzNkMzMtOGMzNi00ODE4LTlmZWMtNWZiZDU4ZjI0MTIz2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=b97181c551d301c4&srepoch=1713032844&all_sr_blocks=80262007_378721534_0_2_0&highlighted_blocks=80262007_378721534_0_2_0&matching_block_id=80262007_378721534_0_2_0&sr_pri_blocks=80262007_378721534_0_2_0__3075&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.7,9.0,9.2,9.0,9.3,9.1
9,A&A,Novi Sad,Serbia,Southern Europe,Europe,Novi Sad,Very Good,8.5,700.0,1.3,0,https://www.booking.com/hotel/rs/a-amp-a.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Atqd67AGwAIB0gIkNDlhMmQyMGYtMWU1MS00NjY4LWI3MDAtMGU2MDk3YzIzZjdh2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=bb2881ede0630230&srepoch=1713032924&all_sr_blocks=361243705_169679050_0_0_0&highlighted_blocks=361243705_169679050_0_0_0&matching_block_id=361243705_169679050_0_0_0&sr_pri_blocks=361243705_169679050_0_0_0__1410&from=searchresults#hotelTmpl,9.1,8.5,8.5,8.5,9.0,9.0
