Unnamed: 0,Name,City,Country,Region,Continent,Location,Rating,Score,NbReviews,Distance from center,Stars,Url link,Staff_rating,Facilities_rating,Cleanliness_rating,Comfort_rating,Value_for_money_rating,Location_rating
0,133 Boutique Hotel,Karlsruhe,Germany,Western Europe,Europe,"Karlsruhe City Centre, Karlsruhe",Very Good,8.1,1791.0,0.7,3,https://www.booking.com/hotel/de/133-boutique-karlsruhe.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Avze67AGwAIB0gIkMTEyMDc2MjgtOWNjMy00OGVhLWEzZTAtZDlhODIzYjJhMjBl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=cb80923ee7de062d&srepoch=1713041278&all_sr_blocks=568832405_216886764_0_0_0&highlighted_blocks=568832405_216886764_0_0_0&matching_block_id=568832405_216886764_0_0_0&sr_pri_blocks=568832405_216886764_0_0_0__11340&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.0,8.1,8.4,8.3,8.2,8.9
1,25hours Hotel Das Tour,Dusseldorf,Germany,Western Europe,Europe,"City Center, Düsseldorf",Excellent,8.6,3213.0,1.5,4,https://www.booking.com/hotel/de/25hours-das-tour.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ApPf67AGwAIB0gIkMmMzODk1YzUtMzhlNy00ODk4LWI2NmEtNDE5ZTMzZWZiZjFh2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=ff4c924968f80110&srepoch=1713041300&all_sr_blocks=280867110_107194577_2_2_0&highlighted_blocks=280867110_107194577_2_2_0&matching_block_id=280867110_107194577_2_2_0&sr_pri_blocks=280867110_107194577_2_2_0__10750&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.3,8.7,8.8,8.8,8.0,8.6
2,25hours Hotel The Royal Bavarian,Munich,Germany,Western Europe,Europe,"Ludwigsvorstadt, Munich",Very Good,8.4,2577.0,1.1,4,https://www.booking.com/hotel/de/25hours-the-royal-bavarian.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AoXf67AGwAIB0gIkMDlkYmEwZTAtZjc0NC00MDZhLTlmNzYtNmE3NjAwMDhiZGUy2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=d4b29242b826015b&srepoch=1713041287&all_sr_blocks=234243211_100821549_2_2_0&highlighted_blocks=234243211_100821549_2_2_0&matching_block_id=234243211_100821549_2_2_0&sr_pri_blocks=234243211_100821549_2_2_0__13345&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.0,8.6,8.7,8.6,7.8,9.0
3,2L De Blend,Utrecht,Netherlands,Western Europe,Europe,"West, Utrecht",Very Good,8.1,1326.0,2.8,4,https://www.booking.com/hotel/nl/2l-de-blend-utrecht.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4As_f67AGwAIB0gIkN2I3MzNkNGItNzE0MC00ODIxLTlkMGMtZDQ4NTNjYmU0Yzll2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=79e792673cbc0026&srepoch=1713041360&all_sr_blocks=367047801_124119222_2_2_0&highlighted_blocks=367047801_124119222_2_2_0&matching_block_id=367047801_124119222_2_2_0&sr_pri_blocks=367047801_124119222_2_2_0__15857&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.1,8.2,8.6,8.5,7.6,7.7
4,ACHAT Hotel Darmstadt Griesheim,Darmstadt,Germany,Western Europe,Europe,Darmstadt,Good,7.0,1025.0,4.4,3,https://www.booking.com/hotel/de/achdarmstadtat.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Aune67AGwAIB0gIkN2YwM2YwNjctMzM2ZC00N2MwLWFiZjUtNTU3ZDQ0YmMyODA32AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=f3a39234315400b7&srepoch=1713041259&all_sr_blocks=6130112_88920670_1_2_0&highlighted_blocks=6130112_88920670_1_2_0&matching_block_id=6130112_88920670_1_2_0&sr_pri_blocks=6130112_88920670_1_2_0__6120&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.3,7.0,7.6,7.3,7.5,7.4
5,ACHAT Hotel Karlsruhe City,Karlsruhe,Germany,Western Europe,Europe,"Karlsruhe City Centre, Karlsruhe",Good,7.7,3649.0,0.7,4,https://www.booking.com/hotel/de/renaissance-karlsruhe.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Avze67AGwAIB0gIkMTEyMDc2MjgtOWNjMy00OGVhLWEzZTAtZDlhODIzYjJhMjBl2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=cb80923ee7de062d&srepoch=1713041278&all_sr_blocks=7458817_115056503_2_2_0&highlighted_blocks=7458817_115056503_2_2_0&matching_block_id=7458817_115056503_2_2_0&sr_pri_blocks=7458817_115056503_2_2_0__8000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.6,7.7,8.2,8.1,7.8,8.6
6,ARCOTEL Camino Stuttgart,Stuttgart,Germany,Western Europe,Europe,"Stuttgart-Nord, Stuttgart",Very Good,8.2,3067.0,1.5,4,https://www.booking.com/hotel/de/arcotel-camino.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ApDf67AGwAIB0gIkYjQwNGJiMTMtNzFlNy00ZjI5LWJlOGUtNmI4NWJjYTg4NDg02AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=66eb9248664c0025&srepoch=1713041298&all_sr_blocks=6747809_88925666_1_2_0&highlighted_blocks=6747809_88925666_1_2_0&matching_block_id=6747809_88925666_1_2_0&sr_pri_blocks=6747809_88925666_1_2_0__11181&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.8,8.3,8.7,8.7,8.0,8.8
7,ARCOTEL Castellani Salzburg,Salzburg,Austria,Western Europe,Europe,Salzburg,Very Good,8.0,2486.0,1.5,4,https://www.booking.com/hotel/at/castellaniparkhotel.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Arbf67AGwAIB0gIkM2YxYWU3NjItMzFiYy00ODUwLWEwOTUtZTFiOGQ1OWE0YjMz2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=9522925b3bd504a8&srepoch=1713041335&all_sr_blocks=7015111_310076546_1_34_0&highlighted_blocks=7015111_310076546_1_34_0&matching_block_id=7015111_310076546_1_34_0&sr_pri_blocks=7015111_310076546_1_34_0__15475&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.4,8.1,8.7,8.6,7.8,8.3
8,ART-INN Design Self-Check-in-Hotel,Linz,Austria,Western Europe,Europe,"Innere Stadt, Linz",Very Good,8.4,1215.0,0.3,0,https://www.booking.com/hotel/at/art-inn.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ArPf67AGwAIB0gIkZmFkNDQ4MjctYWQ5My00Y2Y3LTllOWItZmQ5NTc0OTYzZDIw2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=cf5b92598874006e&srepoch=1713041333&all_sr_blocks=893551701_359759492_1_0_0&highlighted_blocks=893551701_359759492_1_0_0&matching_block_id=893551701_359759492_1_0_0&sr_pri_blocks=893551701_359759492_1_0_0__8399&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.1,8.8,9.2,9.0,8.6,9.3
9,AWA Hotel,Munich,Germany,Western Europe,Europe,"Ludwigsvorstadt, Munich",Very Good,8.0,5014.0,1.1,4,https://www.booking.com/hotel/de/devillemuenchen.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AoXf67AGwAIB0gIkMDlkYmEwZTAtZjc0NC00MDZhLTlmNzYtNmE3NjAwMDhiZGUy2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=d4b29242b826015b&srepoch=1713041286&all_sr_blocks=6096608_330693632_1_0_0&highlighted_blocks=6096608_330693632_1_0_0&matching_block_id=6096608_330693632_1_0_0&sr_pri_blocks=6096608_330693632_1_0_0__13608&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.8,8.2,8.4,8.4,8.0,8.3
