Unnamed: 0,Name,City,Country,Region,Continent,Location,Rating,Score,NbReviews,Distance from center,Stars,Url link,Staff_rating,Facilities_rating,Cleanliness_rating,Comfort_rating,Value_for_money_rating,Location_rating
0,A by Adina Sydney,Sydney,Australia,Oceania,Oceania,"Sydney Central Business District, Sydney",Excellent,8.8,4288.0,0.6,5,https://www.booking.com/hotel/au/a-by-adina-sydney.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4At_f67AGwAIB0gIkMGQyZTc4MGQtMjM3YS00OTNjLTg2ZjQtNTU3Y2Y3NmIxODcx2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=b3c9926f59930142&srepoch=1713041377&all_sr_blocks=641445202_384740304_2_2_0&highlighted_blocks=641445202_384740304_2_2_0&matching_block_id=641445202_384740304_2_2_0&sr_pri_blocks=641445202_384740304_2_2_0__51900&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.1,9.1,9.3,9.3,8.5,9.6
1,ASURE Camelot Arms Motor Lodge,Auckland,New Zealand,Oceania,Oceania,"Manukau, Auckland",Good,7.6,423.0,17.7,4,https://www.booking.com/hotel/nz/camelot-arms-motor-lodge.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AuLf67AGwAIB0gIkMjIzOWUwZDAtOTdlNi00ZjdhLWEwOTAtZDM4NjgwY2Y5Nzhi2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=26&hapos=26&sr_order=popularity&srpvid=20549271dbe9023a&srepoch=1713041380&all_sr_blocks=23587605_232590202_0_0_0&highlighted_blocks=23587605_232590202_0_0_0&matching_block_id=23587605_232590202_0_0_0&sr_pri_blocks=23587605_232590202_0_0_0__17300&from=searchresults#hotelTmpl,8.2,7.900000000000001,8.3,8.2,7.699999999999999,8.2
2,Abode Belconnen,Canberra,Australia,Oceania,Oceania,Canberra,Very Good,8.4,3120.0,7.0,4,https://www.booking.com/hotel/au/abode-belconnen.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AtHf67AGwAIB0gIkZTEwYjIwY2MtNzRjMC00ZmVjLWI5NTItODM3ZGUzOTA5MmM12AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=64049268937a0066&srepoch=1713041363&all_sr_blocks=661859602_270921985_2_2_0&highlighted_blocks=661859602_270921985_2_2_0&matching_block_id=661859602_270921985_2_2_0&sr_pri_blocks=661859602_270921985_2_2_0__18800&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.8,8.8,8.9,8.9,8.5,8.7
3,Abode Woden,Canberra,Australia,Oceania,Oceania,Canberra,Very Good,8.2,2729.0,7.8,5,https://www.booking.com/hotel/au/abode-woden.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AtHf67AGwAIB0gIkZTEwYjIwY2MtNzRjMC00ZmVjLWI5NTItODM3ZGUzOTA5MmM12AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=64049268937a0066&srepoch=1713041363&all_sr_blocks=53854401_121110270_0_2_0&highlighted_blocks=53854401_121110270_0_2_0&matching_block_id=53854401_121110270_0_2_0&sr_pri_blocks=53854401_121110270_0_2_0__21300&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.6,8.5,8.7,8.8,8.2,8.8
4,Abstract Hotel & Residences,Auckland,New Zealand,Oceania,Oceania,"Auckland Central Business District, Auckland",Good,7.4,79.0,1.1,4,https://www.booking.com/hotel/nz/abstract-amp-residences.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AuLf67AGwAIB0gIkMjIzOWUwZDAtOTdlNi00ZjdhLWEwOTAtZDM4NjgwY2Y5Nzhi2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=20549271dbe9023a&srepoch=1713041380&all_sr_blocks=1052582403_377456614_2_34_0&highlighted_blocks=1052582403_377456614_2_34_0&matching_block_id=1052582403_377456614_2_34_0&sr_pri_blocks=1052582403_377456614_2_34_0__54000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.1,8.0,8.5,7.8,6.9,8.5
5,Adelaide Riviera Hotel,Adelaide,Australia,Oceania,Oceania,"Adelaide Central Business District, Adelaide",Very Good,8.0,6426.0,1.1,4,https://www.booking.com/hotel/au/comfort-adelaide-riviera.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AtTf67AGwAIB0gIkM2U4NzIzZmItMGM4Mi00ODQ0LWE4ZjMtN2IwNDk1MDY3MTEw2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=84c9926a42a30276&srepoch=1713041366&all_sr_blocks=36805209_94451060_0_0_0&highlighted_blocks=36805209_94451060_0_0_0&matching_block_id=36805209_94451060_0_0_0&sr_pri_blocks=36805209_94451060_0_0_0__28900&from=searchresults#hotelTmpl,9.0,7.900000000000001,8.5,8.5,8.5,8.9
6,Adelaide Rockford,Adelaide,Australia,Oceania,Oceania,"Adelaide Central Business District, Adelaide",Very Good,8.4,1152.0,0.8,4,https://www.booking.com/hotel/au/rockford-adelaide.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AtTf67AGwAIB0gIkM2U4NzIzZmItMGM4Mi00ODQ0LWE4ZjMtN2IwNDk1MDY3MTEw2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=84c9926a42a30276&srepoch=1713041366&all_sr_blocks=4360912_246024397_0_2_0&highlighted_blocks=4360912_246024397_0_2_0&matching_block_id=4360912_246024397_0_2_0&sr_pri_blocks=4360912_246024397_0_2_0__29900&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.0,8.5,8.8,8.9,8.5,8.9
7,"Aerotel Sydney (Arrivals B, International Terminal 1)",Sydney,Australia,Oceania,Oceania,"Mascot, Sydney",Good,7.2,1210.0,8.3,4,https://www.booking.com/hotel/au/aerotel-sydney-arrivals-b-international-terminal-1.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4At_f67AGwAIB0gIkMGQyZTc4MGQtMjM3YS00OTNjLTg2ZjQtNTU3Y2Y3NmIxODcx2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=b3c9926f59930142&srepoch=1713041377&all_sr_blocks=747644010_330884848_0_2_0&highlighted_blocks=747644010_330884848_0_2_0&matching_block_id=747644010_330884848_0_2_0&sr_pri_blocks=747644010_330884848_0_2_0__25290&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,8.5,7.4,8.2,8.1,6.5,9.4
8,Airedale Boutique Suites,Auckland,New Zealand,Oceania,Oceania,"Auckland Central Business District, Auckland",Excellent,8.9,1507.0,0.5,5,https://www.booking.com/hotel/nz/scenic-circle-airedale.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AuLf67AGwAIB0gIkMjIzOWUwZDAtOTdlNi00ZjdhLWEwOTAtZDM4NjgwY2Y5Nzhi2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=20549271dbe9023a&srepoch=1713041380&all_sr_blocks=4315817_129888726_2_0_0&highlighted_blocks=4315817_129888726_2_0_0&matching_block_id=4315817_129888726_2_0_0&sr_pri_blocks=4315817_129888726_2_0_0__57500&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.3,9.1,9.5,9.5,8.8,9.3
9,Airport Clayfield Motel,Brisbane,Australia,Oceania,Oceania,"Clayfield, Brisbane",Very Good,8.1,2173.0,6.8,4,https://www.booking.com/hotel/au/airport-clayfield-motel.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Atzf67AGwAIB0gIkOTYzMTY5OTgtNGI1Zi00NTkxLThlMDQtZTBhMGJlMjAwYzM22AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=6771926ef7ef008e&srepoch=1713041374&all_sr_blocks=33993801_213489388_2_2_0&highlighted_blocks=33993801_213489388_2_2_0&matching_block_id=33993801_213489388_2_2_0&sr_pri_blocks=33993801_213489388_2_2_0__15900&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,9.2,8.2,8.6,8.5,8.5,8.7
