Name,Description,City,Country,Region,Continent,Region Number_x,Continent Number_x,Location,Rating,Score,NbReviews,Url link,Room Type,Guests nb,Price,Staff_rating,Facilities_rating,Cleanliness_rating,Comfort_rating,Value_for_money_rating,Location_rating,Breakfast,Cancellation,Region Number_y,Continent Number_y,Price per Square Meter to Buy Apartment Outside of Centre,Price per Square Meter to Buy Apartment in City Centre,"International Primary School, Yearly for 1 Child","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",1 Pair of Jeans (Levis 501 Or Similar),1 Pair of Men Leather Business Shoes,1 Pair of Nike Running Shoes (Mid-Range),"1 Summer Dress in a Chain Store (Zara, H&M, ...)",Apples (1kg),Banana (1kg),Beef Round (1kg) (or Equivalent Back Leg Red Meat),Bottle of Wine (Mid-Range),Chicken Fillets (1kg),Cigarettes 20 Pack (Marlboro),Domestic Beer (0.5 liter bottle),Eggs (regular) (12),Imported Beer (0.33 liter bottle)_x,Lettuce (1 head),Loaf of Fresh White Bread (500g),Local Cheese (1kg),"Milk (regular), (1 liter)",Onion (1kg),Oranges (1kg),Potato (1kg),"Rice (white), (1kg)",Tomato (1kg),Water (1.5 liter bottle),Apartment (1 bedroom) Outside of Centre,Apartment (1 bedroom) in City Centre,Apartment (3 bedrooms) Outside of Centre,Apartment (3 bedrooms) in City Centre,Cappuccino (regular),Coke/Pepsi (0.33 liter bottle),Domestic Beer (0.5 liter draught),Imported Beer (0.33 liter bottle)_y,McMeal at McDonalds (or Equivalent Combo Meal),"Meal for 2 People, Mid-range Restaurant, Three-course","Meal, Inexpensive Restaurant",Water (0.33 liter bottle),Average Monthly Net Salary (After Tax),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","Cinema, International Release, 1 Seat","Fitness Club, Monthly Fee for 1 Adult",Tennis Court Rent (1 Hour on Weekend),Gasoline (1 liter),Monthly Pass (Regular Price),One-way Ticket (Local Transport),Taxi 1hour Waiting (Normal Tariff),Taxi 1km (Normal Tariff),Taxi Start (Normal Tariff),Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car),Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car),"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment","Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",Mobile Phone Monthly Plan with Calls and 10GB+ Data,Population,Yearly Change,net_change,density,land_area,migrants,fert_rate,med_age,urban_pop,world_share,Tourism,Tourism_year
1-комнатная квартира ЖК Тандау. Посуточно.,Managed by a private host,Astana (Nur-Sultan),Kazakhstan,Central Asia,Asia,143,142,Taldykolʼ,Exceptional,10.0,1.0,https://www.booking.com/hotel/kz/1-komnatnaia-kvartira-zhk-tandau-posutochno.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ArfOlbAGwAIB0gIkZDAzYTljZDUtZTBiMC00NTY4LTkzMzgtMTU3Yjk1ODQzNGZk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=005c5a1bda2001d1&srepoch=1711630136&all_sr_blocks=1109414501_383687207_1_0_0&highlighted_blocks=1109414501_383687207_1_0_0&matching_block_id=1109414501_383687207_1_0_0&sr_pri_blocks=1109414501_383687207_1_0_0__1530000&from=searchresults#hotelTmpl,One-Bedroom Apartment,1,31.0,10.0,10.0,10.0,10.0,10.0,10.0,-1,1,143,142,745.47,1081.94,7477.06,208.05,77.93,91.85,102.6,47.01,1.28,1.93,6.93,7.18,5.02,1.54,0.97,1.7,1.68,0.96,0.48,9.67,1.15,0.47,2.26,0.51,1.47,2.22,0.66,324.38,481.23,556.72,858.12,2.06,0.83,1.23,2.46,5.54,30.78,10.26,0.49,586.14,15.49,5.13,54.08,13.54,0.47,15.39,0.18,4.1,0.37,1.28,25327.54,21546.25,50.69,12.16,8.94,19606633.0,1.08,208635.0,7,2699700.0,0.0,3.0,30.0,57.0,0.24,2035000,2020
1-комнатная квартира ЖК Тандау. Посуточно.,Managed by a private host,Astana (Nur-Sultan),Kazakhstan,Central Asia,Asia,143,142,Taldykolʼ,Exceptional,10.0,1.0,https://www.booking.com/hotel/kz/1-komnatnaia-kvartira-zhk-tandau-posutochno.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ArfOlbAGwAIB0gIkZDAzYTljZDUtZTBiMC00NTY4LTkzMzgtMTU3Yjk1ODQzNGZk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=005c5a1bda2001d1&srepoch=1711630136&all_sr_blocks=1109414501_383687207_1_0_0&highlighted_blocks=1109414501_383687207_1_0_0&matching_block_id=1109414501_383687207_1_0_0&sr_pri_blocks=1109414501_383687207_1_0_0__1530000&from=searchresults#hotelTmpl,One-Bedroom Apartment,2,35.0,10.0,10.0,10.0,10.0,10.0,10.0,-1,1,143,142,745.47,1081.94,7477.06,208.05,77.93,91.85,102.6,47.01,1.28,1.93,6.93,7.18,5.02,1.54,0.97,1.7,1.68,0.96,0.48,9.67,1.15,0.47,2.26,0.51,1.47,2.22,0.66,324.38,481.23,556.72,858.12,2.06,0.83,1.23,2.46,5.54,30.78,10.26,0.49,586.14,15.49,5.13,54.08,13.54,0.47,15.39,0.18,4.1,0.37,1.28,25327.54,21546.25,50.69,12.16,8.94,19606633.0,1.08,208635.0,7,2699700.0,0.0,3.0,30.0,57.0,0.24,2035000,2020
1-комнатная квартира ЖК Тандау. Посуточно.,Managed by a private host,Astana (Nur-Sultan),Kazakhstan,Central Asia,Asia,143,142,Taldykolʼ,Exceptional,10.0,1.0,https://www.booking.com/hotel/kz/1-komnatnaia-kvartira-zhk-tandau-posutochno.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ArrOlbAGwAIB0gIkZmY3ZmNhMmYtZWJiZS00N2FkLTgzNGMtZmEyZmU5YjljN2Zk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=50&sr_order=popularity&srpvid=69b25a1dbdbb0085&srepoch=1711630140&all_sr_blocks=1109414501_383687207_1_0_0&highlighted_blocks=1109414501_383687207_1_0_0&matching_block_id=1109414501_383687207_1_0_0&sr_pri_blocks=1109414501_383687207_1_0_0__1530000&from=searchresults#hotelTmpl,One-Bedroom Apartment,1,31.0,10.0,10.0,10.0,10.0,10.0,10.0,-1,1,143,142,745.47,1081.94,7477.06,208.05,77.93,91.85,102.6,47.01,1.28,1.93,6.93,7.18,5.02,1.54,0.97,1.7,1.68,0.96,0.48,9.67,1.15,0.47,2.26,0.51,1.47,2.22,0.66,324.38,481.23,556.72,858.12,2.06,0.83,1.23,2.46,5.54,30.78,10.26,0.49,586.14,15.49,5.13,54.08,13.54,0.47,15.39,0.18,4.1,0.37,1.28,25327.54,21546.25,50.69,12.16,8.94,19606633.0,1.08,208635.0,7,2699700.0,0.0,3.0,30.0,57.0,0.24,2035000,2020
1-комнатная квартира ЖК Тандау. Посуточно.,Managed by a private host,Astana (Nur-Sultan),Kazakhstan,Central Asia,Asia,143,142,Taldykolʼ,Exceptional,10.0,1.0,https://www.booking.com/hotel/kz/1-komnatnaia-kvartira-zhk-tandau-posutochno.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4ArrOlbAGwAIB0gIkZmY3ZmNhMmYtZWJiZS00N2FkLTgzNGMtZmEyZmU5YjljN2Zk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=50&sr_order=popularity&srpvid=69b25a1dbdbb0085&srepoch=1711630140&all_sr_blocks=1109414501_383687207_1_0_0&highlighted_blocks=1109414501_383687207_1_0_0&matching_block_id=1109414501_383687207_1_0_0&sr_pri_blocks=1109414501_383687207_1_0_0__1530000&from=searchresults#hotelTmpl,One-Bedroom Apartment,2,35.0,10.0,10.0,10.0,10.0,10.0,10.0,-1,1,143,142,745.47,1081.94,7477.06,208.05,77.93,91.85,102.6,47.01,1.28,1.93,6.93,7.18,5.02,1.54,0.97,1.7,1.68,0.96,0.48,9.67,1.15,0.47,2.26,0.51,1.47,2.22,0.66,324.38,481.23,556.72,858.12,2.06,0.83,1.23,2.46,5.54,30.78,10.26,0.49,586.14,15.49,5.13,54.08,13.54,0.47,15.39,0.18,4.1,0.37,1.28,25327.54,21546.25,50.69,12.16,8.94,19606633.0,1.08,208635.0,7,2699700.0,0.0,3.0,30.0,57.0,0.24,2035000,2020
2 bedroom apartment in Astana,AstanaShow on map1 km from Nur-Astana Mosque,Astana (Nur-Sultan),Kazakhstan,Central Asia,Asia,143,142,Astana,Exceptional,10.0,5.0,https://www.booking.com/hotel/kz/2-bedroom-apartment-in-astana.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AsDOlbAGwAIB0gIkYmRiMWVlZjEtNDI4Mi00ZGU4LTgxOGQtM2QzOTNmMTBkMDgx2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=78&sr_order=popularity&srpvid=e94e5a207087039c&srepoch=1711630147&all_sr_blocks=1147837901_387620600_4_0_0&highlighted_blocks=1147837901_387620600_4_0_0&matching_block_id=1147837901_387620600_4_0_0&sr_pri_blocks=1147837901_387620600_4_0_0__3300000&from=searchresults#hotelTmpl,One-Bedroom Apartment,4,68.0,10.0,10.0,10.0,10.0,10.0,10.0,-1,1,143,142,745.47,1081.94,7477.06,208.05,77.93,91.85,102.6,47.01,1.28,1.93,6.93,7.18,5.02,1.54,0.97,1.7,1.68,0.96,0.48,9.67,1.15,0.47,2.26,0.51,1.47,2.22,0.66,324.38,481.23,556.72,858.12,2.06,0.83,1.23,2.46,5.54,30.78,10.26,0.49,586.14,15.49,5.13,54.08,13.54,0.47,15.39,0.18,4.1,0.37,1.28,25327.54,21546.25,50.69,12.16,8.94,19606633.0,1.08,208635.0,7,2699700.0,0.0,3.0,30.0,57.0,0.24,2035000,2020
4-х комнатная квартира,Managed by a private host,Astana (Nur-Sultan),Kazakhstan,Central Asia,Asia,143,142,Astana,Exceptional,10.0,1.0,https://www.booking.com/hotel/kz/4-kh-komnatnaia-kvartira-astana4.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Ar3OlbAGwAIB0gIkOTFhOGNjODktMDA4OS00NjJiLTg5YmQtMDg0NDYxOTdlY2U32AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=51&sr_order=popularity&srpvid=92555a1eb7570432&srepoch=1711630143&all_sr_blocks=1103356801_383388512_2_0_0&highlighted_blocks=1103356801_383388512_2_0_0&matching_block_id=1103356801_383388512_2_0_0&sr_pri_blocks=1103356801_383388512_2_0_0__3500000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Two-Bedroom Apartment,2,72.0,10.0,10.0,10.0,10.0,10.0,10.0,-1,1,143,142,745.47,1081.94,7477.06,208.05,77.93,91.85,102.6,47.01,1.28,1.93,6.93,7.18,5.02,1.54,0.97,1.7,1.68,0.96,0.48,9.67,1.15,0.47,2.26,0.51,1.47,2.22,0.66,324.38,481.23,556.72,858.12,2.06,0.83,1.23,2.46,5.54,30.78,10.26,0.49,586.14,15.49,5.13,54.08,13.54,0.47,15.39,0.18,4.1,0.37,1.28,25327.54,21546.25,50.69,12.16,8.94,19606633.0,1.08,208635.0,7,2699700.0,0.0,3.0,30.0,57.0,0.24,2035000,2020
4-х комнатная квартира,Managed by a private host,Astana (Nur-Sultan),Kazakhstan,Central Asia,Asia,143,142,Astana,Exceptional,10.0,1.0,https://www.booking.com/hotel/kz/4-kh-komnatnaia-kvartira-astana4.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Ar3OlbAGwAIB0gIkOTFhOGNjODktMDA4OS00NjJiLTg5YmQtMDg0NDYxOTdlY2U32AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=51&sr_order=popularity&srpvid=92555a1eb7570432&srepoch=1711630143&all_sr_blocks=1103356801_383388512_2_0_0&highlighted_blocks=1103356801_383388512_2_0_0&matching_block_id=1103356801_383388512_2_0_0&sr_pri_blocks=1103356801_383388512_2_0_0__3500000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Two-Bedroom Apartment,6,103.0,10.0,10.0,10.0,10.0,10.0,10.0,-1,1,143,142,745.47,1081.94,7477.06,208.05,77.93,91.85,102.6,47.01,1.28,1.93,6.93,7.18,5.02,1.54,0.97,1.7,1.68,0.96,0.48,9.67,1.15,0.47,2.26,0.51,1.47,2.22,0.66,324.38,481.23,556.72,858.12,2.06,0.83,1.23,2.46,5.54,30.78,10.26,0.49,586.14,15.49,5.13,54.08,13.54,0.47,15.39,0.18,4.1,0.37,1.28,25327.54,21546.25,50.69,12.16,8.94,19606633.0,1.08,208635.0,7,2699700.0,0.0,3.0,30.0,57.0,0.24,2035000,2020
53 Апартаменты в центре Астаны с видом на город,AstanaShow on map1 km from Nur-Astana Mosque,Astana (Nur-Sultan),Kazakhstan,Central Asia,Asia,143,142,Astana,Exceptional,10.0,2.0,https://www.booking.com/hotel/kz/53-apartamenty-v-tsentre-astany-s-vidom-na-gorod.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4Ar3OlbAGwAIB0gIkOTFhOGNjODktMDA4OS00NjJiLTg5YmQtMDg0NDYxOTdlY2U32AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=57&sr_order=popularity&srpvid=92555a1eb7570432&srepoch=1711630143&all_sr_blocks=1073889701_380312189_4_0_0&highlighted_blocks=1073889701_380312189_4_0_0&matching_block_id=1073889701_380312189_4_0_0&sr_pri_blocks=1073889701_380312189_4_0_0__3300000&from=searchresults#hotelTmpl,One-Bedroom Apartment,4,68.0,10.0,10.0,10.0,10.0,10.0,10.0,-1,1,143,142,745.47,1081.94,7477.06,208.05,77.93,91.85,102.6,47.01,1.28,1.93,6.93,7.18,5.02,1.54,0.97,1.7,1.68,0.96,0.48,9.67,1.15,0.47,2.26,0.51,1.47,2.22,0.66,324.38,481.23,556.72,858.12,2.06,0.83,1.23,2.46,5.54,30.78,10.26,0.49,586.14,15.49,5.13,54.08,13.54,0.47,15.39,0.18,4.1,0.37,1.28,25327.54,21546.25,50.69,12.16,8.94,19606633.0,1.08,208635.0,7,2699700.0,0.0,3.0,30.0,57.0,0.24,2035000,2020
AQ Capsule Hotel,AlmatyShow on map1 km from center,Almaty,Kazakhstan,Central Asia,Asia,143,142,Almaty,Exceptional,9.5,248.0,https://www.booking.com/hotel/kz/aq-capsule-almaty1.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AqjOlbAGwAIB0gIkZWU4NjhjNWEtNmI1YS00MDhiLThkYWItMmU4ZmYzOWUxYzc02AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=ca545a1452f20165&srepoch=1711630122&all_sr_blocks=1085520303_381411801_1_2_0&highlighted_blocks=1085520303_381411801_1_2_0&matching_block_id=1085520303_381411801_1_2_0&sr_pri_blocks=1085520303_381411801_1_2_0__1000000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Single Bed in Male Dormitory Room,1,21.0,9.6,9.5,9.5,9.5,9.4,9.6,3,1,143,142,1304.86,1871.35,9691.33,265.29,79.39,114.4,112.21,43.36,1.2,1.89,7.91,6.16,4.95,1.64,0.87,1.65,2.1,1.15,0.55,9.5,1.23,0.48,2.19,0.52,1.54,1.92,0.68,496.11,703.48,908.88,1334.55,2.23,0.86,1.23,2.87,5.64,41.04,8.21,0.45,655.9,17.17,5.13,48.12,16.7,0.47,14.77,0.21,4.92,0.62,1.03,27512.29,20520.24,63.11,11.68,7.95,19606633.0,1.08,208635.0,7,2699700.0,0.0,3.0,30.0,57.0,0.24,2035000,2020
AQ Capsule Hotel,AlmatyShow on map1 km from center,Almaty,Kazakhstan,Central Asia,Asia,143,142,Almaty,Exceptional,9.5,248.0,https://www.booking.com/hotel/kz/aq-capsule-almaty1.html?aid=304142&label=gen173nr-1FCAQoggI46wdIMVgEaE2IAQGYATG4ARnIAQzYAQHoAQH4AQaIAgGoAgO4AqjOlbAGwAIB0gIkZWU4NjhjNWEtNmI1YS00MDhiLThkYWItMmU4ZmYzOWUxYzc02AIF4AIB&ucfs=1&arphpl=1&checkin=2024-11-16&checkout=2024-11-17&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=ca545a1452f20165&srepoch=1711630122&all_sr_blocks=1085520303_381411801_1_2_0&highlighted_blocks=1085520303_381411801_1_2_0&matching_block_id=1085520303_381411801_1_2_0&sr_pri_blocks=1085520303_381411801_1_2_0__1000000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,Single Bed in Male Dormitory Room,1,24.0,9.6,9.5,9.5,9.5,9.4,9.6,0,1,143,142,1304.86,1871.35,9691.33,265.29,79.39,114.4,112.21,43.36,1.2,1.89,7.91,6.16,4.95,1.64,0.87,1.65,2.1,1.15,0.55,9.5,1.23,0.48,2.19,0.52,1.54,1.92,0.68,496.11,703.48,908.88,1334.55,2.23,0.86,1.23,2.87,5.64,41.04,8.21,0.45,655.9,17.17,5.13,48.12,16.7,0.47,14.77,0.21,4.92,0.62,1.03,27512.29,20520.24,63.11,11.68,7.95,19606633.0,1.08,208635.0,7,2699700.0,0.0,3.0,30.0,57.0,0.24,2035000,2020
